batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Pink Venom - BLACKPINK,"taylorswift, tsmidnights",taylornation,1800000,16400,60000,7703
1,1,original sound - active <3,fyp%E3%82%B7,tina_042,343000,4081,18800,936
1,2,original sound - Luxury Life,"@brittneycastro256, moana, actingaudio, liveaction",n1.que,758200,2105,40600,797
1,3,original sound - Joyceful Tingles,"asmr, asmrpov, asmrdentistroleplay, asmrdentist, pov, fyp",joyceful_tingles,412700,2544,55000,1335
1,4,original sound - Dumb Ways to Die,"@andreas.vince2, trampolinefail",dumbwaystodie,224300,3148,27700,10500
1,5,original sound - spencer 💅,fyp,spencewuah,254700,777,22800,1066
1,6,original sound - Alianna<3,"fyp, slime, school, vlog, viral",aliannamag,70800,560,5249,144
1,7,original sound - Ryan Tang,,itsyaboyryantang,39800,330,4739,117
1,8,som original - mari,,mrandmissdevil,19800,65,1461,161
1,9,original sound - ✨Kay and Tay✨,"kayandtayofficial, couples, relationships, pregnant, postpartum",kayandtayofficial,596900,1391,29700,899
1,10,original sound - Trina🦋,,solo_puncho,85700,604,12400,685
2,0,som original - Pastora e Família,,pastoraefamilia,196600,601,14400,957
2,1,original sound - makabaka popcorn（玛卡巴卡爆米花）,"camping, vlog, carvideos, softcar, homecar, travel, vlog, icefishing",makabaka_popcorn,310200,1950,37200,5327
2,2,TRANSGENDER (PEARL WHITE VIP) - PEARL WHITE,,jumpersrewinds,39700,334,6032,649
2,3,original sound - Fabio&Ben,"fyp, fabioandben",fabioandben,673500,3330,45000,11300
2,4,som original - netobaetas,,netobaetas,615800,2409,31100,3023
2,5,original sound - #v4mp,"viral, relatable",lol.itsniyahhhh,555100,2849,49000,1864
2,6,original sound - hyyhe05,,hyyhedovxo4,412100,1096,34000,666
2,7,original sound - Lala,"@sari_sadi, brother, makeup, siblings, foryou",lala_sadii,137500,812,8254,217
2,8,sonido original - WS10,"roblox, mm2funnymoments, robloxfunny, roblox, mm2fyp, relatable, mm2club",mm2_ws106,72600,145,11100,387
2,9,Paint The Town Red - Doja Cat,"@dojacat, dojacat, doja, rap, singing, edit, scarlet",dojasvault,99000,400,7703,354
2,10,original sound - Salish & Nidal,"alwayssnalish, nidal, fyp, jordanmatter, couple, nalishslovebot, nidalwonder, salishmatter",salishnidalcute,29600,70,1786,101
2,11,original sound - Kkuu00,"fyp, pov, fougou",kkuu2103z1q,25400,190,2765,30
2,12,som original - Gêmeas e família 💙,"gemeas, irmasgemeas",asgeemeas,98400,2080,6345,373
2,13,original sound - Cutie Pie,"fyp, peteachers",xolazx,2200000,28000,234900,41100
2,14,A thousand years - Zeus,"foryou, featureme, foryourpage, tiktok, feature, share",itsdylanhannigan,104700,10100,22700,4851
2,15,original sound - Candy_movie,"movie, fyp, foryou, movieclips",frankyesandoval,302800,1893,25600,1214
2,16,dreamin - audios for edits,"fyp%E3%82%B7, viral, fyp%E3%82%B7%E3%82%9Aviral%F0%9F%96%A4tiktok, fypp, foryourpage, fyp, fouryou, foryou, fyp%E3%82%B7%E3%82%9Aviral",jordan.sativa,199800,4452,35300,2130
2,17,original sound - Preston,,preston,59100,275,4379,76
2,18,nhạc nền - Seven-我是Eight🌔✨,"xuhuong, tiktokawardsvn2023, yolohouse, mcseven, djxiaogongzi, %E8%82%96%E5%85%AC%E5%AD%90, viral",seven260801,3900000,18100,339000,21200
2,19,som original - Jiayi Lin,grwm,lyn_jaa,175400,443,6525,290
2,20,Resonance - Home,"@bhronosfn, electryz, fortnite, fortnitetipsandtricks, fortnitesettings",electryz,34600,589,13600,1365
2,21,original sound - Jom - 🐸jomi,"raikantopeni, dance, wawiidee26, 4wallsdancestudio",4wallsdancestudio,763600,2244,93700,2549
2,22,original sound - NazGotStacks,"bladeball, roblox, bladeballclips, nazgotstacks3k, infinity, bladeballroblox",nazgotstacks3k,66600,665,13700,176
2,23,som original - Pr1nces4👑,,pr1nces4.ff,154200,1620,13400,561
2,24,Kingston by Faye Webster - kolikelii,,skyyjade,40300,1961,3238,50
2,25,son original - KUMALALA,"@cleeveland.e, waduh, kumalala, meme, foodchallenge",thomsofficiel__,55500,333,3730,519
2,26,original sound - Lala,"foryou, coffee, christmas, party, brother",lala_sadii,246500,1335,14500,354
2,27,original sound - Arson lover ᖭི༏ᖫྀ,mrkap,_mr.kap,1400000,6216,146700,7803
2,28,original sound - Elton Castee,"@matt_rife, @coreyscherer",eltoncastee,82700,141,5262,204
2,29,original sound - Derek Lipp,,dereklipp_,133900,619,9354,1814
3,0,original sound - Wyful,"fortnite, fyp",wyful,0,76,1487,49
3,1,original sound - gracie ౨ৎ,"@omgvalty, zepeto, zepetogirl, zepetocouple",leylaa.zpt,0,1517,14300,6376
3,2,original sound - Lala,"loveisbs, foryou, grwm, rageroom",lala_sadii,211200,3508,12500,301
3,3,3005 - audios,,britt2brati,659900,962,42200,1814
3,4,original sound - MILLS,"oxfordhighschool, michigan",millshayesss,0,1179,38900,845
3,5,original sound - Sylvia,@victoria__benitez,sylvia,3700000,3600,559700,23700
3,6,original sound - Thejordanroe21,"fyp, viral, foryou, twins",thejordanroe21,60400,207,7586,127
3,7,original sound - Matthew and Ryan,"guesswhossinging, guesswho, whichone",matthewandryanuk,14400,52600,1976,103
3,8,original sound - spo6kzie,"fyp%E3%82%B7, jujuwalk, trend, rizzingup",defnot.d4sh1a,1200000,4860,153500,5356
3,9,original sound - Hungry FAM,,hungry_fam,1100000,5057,63100,5676
3,10,original sound - Htxx.karlita,,prettyhispanic23,0,1894,52700,1167
3,11,Love You So - The King Khan & BBQ Show,"povs, fyp, foryourpage, standwithkashmir, fypage",amara4607,0,549,10000,90
3,12,original sound - Mony14,"@lala_sadii, foryou, fyp, sister, viral, shopping, snacks",mony_sadi,30800,107,2277,18
3,13,Mirrors - Justin Timberlake,,sofia089761,0,10600,210300,9496
3,14,som original - Jéssica Fidélix,,jessicafidelixofc,266200,2088,9482,4001
3,15,original sound - bobik,"@_theoneandonlystar_, foryoupage, dlaciebie, foryou, viral, viralvideo, xyzbca, frp%E3%82%B7, trend, trending, essa, ez, dc, frp, frpage",twojstarybobik,0,124,19600,184
3,16,som original - Pastora e Família,,pastoraefamilia,0,1831,13200,1306
3,17,original sound - Pierson,,pierson,683000,15400,46600,1668
3,18,original sound - Music playlists,"ohio, sus, %ED%82%A4%EC%9C%B5",95keeyong,5541,330,904,292
3,19,original sound - Sicrepto,"mm2, roblox, robloxfyp, funny, funnymoments, sicrepto",sicrepto,16000,244,3131,87
3,20,som original - netobaetas,,netobaetas,253900,697,15900,2708
3,21,original sound - HaileeHannick,"teacherjokes, specialeducationteacher, selfcontainedclassroom",haileehannick,65800,138,2269,986
3,22,original sound - spencer 💅,fyp,spencewuah,129400,9379,9817,488
3,23,Grrr hihi - Glossiii,"baddies%F0%9F%96%A4, 2020, fypage, viraltiktok, emo%F0%9F%91%84%F0%9F%96%A4%F0%9F%98%9D, baddie, fyp%E3%82%B7%E3%82%9Aviral, makeup, fyyyyyy",glosslipgirl,514799,8928,60100,9769
3,24,original sound - Jett,,lilnatalka,4300000,30600,343300,57600
3,25,som original - Dree Barber,,dreebarber,1400000,5485,63100,5040
3,26,original sound - STARLESS,"drake, drakeconcert, drakethetypeofguy, draketour, itsallablurtour",starlessyt,62900,270,6997,47
3,27,original sound - Manie ✨,"@realtorgirlstep, @t_to_the_ara",manie_doe,0,2095,19800,4070
4,0,original sound - claraandjavi,"couple, couplecomedy, relationship, funny, coupleschallenge",claraandjavi,62500,157,2736,71
4,1,original sound - Aliyah Marie,,aliyahm411,87500,703,7342,2501
4,2,original sound - nemo_drag,,nemo_drag,28600,191,1487,201
4,3,Originalton - Parmar Das,"foryou, fyp, tiktok",parmar.das,377600,8268,57600,9689
4,4,original sound - spo6kzie,"fyp, viral, jujuwalk, blowthisup, school, rizz",avas.chronicles,585900,1142,47000,1843
4,5,son original - 💐𝐵🪐,,brookemonk_,2300000,4338,134400,4134
4,6,original sound - Cassidy Huff,"fyp, disability, foryou, disabled, mercedes, trend, tiktok, viral, accessibility, activism, prosthesis, hardofhearing, prosthetic, blind, lowvision, wheelchair, wheelchairuser, mobility, mobilityaid, deaf, hearingaid",casshuff,4500000,15900,294500,147900
4,7,original sound - 🎧🖤,,benjikrol,1200000,8822,58400,3321
4,8,original sound - Steph and Nova,"fyp, stephandnova, relatable, tiktokfinds, satisfy, parati",stephandnova,220400,555,16900,594
4,9,Witch Familiar (Classical) [Classic](143628) - dice,,mika.sawada,184200,572,7025,191
4,10,som original - yas 🫶🏻,"fyp, carrossel, @foryou, @euuyaass",yaasmkc,2000000,17000,150900,51400
4,11,original sound - Haley Grace McCormick,"movies, newmovies, 2025, hollywoodnews, thunderbolts",hg_fiction,307400,3641,48500,2917
4,12,original sound - nataliejanesings,"@mariahcarey, woohoo",nataliejanesings,2600000,23600,265400,20200
4,13,original sound - Biggie,"robloxfyp, robloxedit, cute, voiceover, dahood, roblox, biggie2pro, robloxvc",biggie2pro,28100,326,5318,164
4,14,original sound - P!X!E,"alabamaarkansas, homeedwardsharpe, homecover, singersongwriter",dontpickonpixie,82200,1343,13200,1616
4,15,original sound - haileena,,kaci_shiers,3000000,0,160400,13000
4,16,original sound - Awks.roo,,awkspewroo,23000,210,1824,18
4,17,оригинальный звук - ㅤㅤㅤㅤㅤㅤㅤ,"diamantblazi, seckoff, bball, basketball, dunk, shoot, duo, basketball, challenge, trend, florida, usa, viral, fyp",diamantblazi,563800,2216,40900,3626
4,18,original sound - Mystxx,"fyp, fyp%E3%82%B7, viral, roblox, mm2roblox, murdermystery2, zyleaksmm2",mm2_mystxx,182000,2842,27500,630
4,19,nhạc nền - Yangg🐬,"yang, yangg, mcseven, seven, mc_seven, sevendouyin",callrimm__,343800,891,32600,1226
4,20,original sound - Bleade,,brookemonk_,357500,876,35700,807
4,21,Fluffing a Duck - Kevin MacLeod,@havenlough,di1araa.s,195100,967,11200,551
4,22,original sound - ∞ redakkai,"shorthair, haircut",morganmcguirept2,186200,760,5925,90
4,23,You Can't Beat Me Challenge Jersey Club (Suunnnlight Vocals) - YKaY,"tjaysturn, tsquad, losangeles, fyp",tjaysturn,114600,599,19700,390
4,24,som original - Katlen,,katlenof,108900,1536,9045,484
4,25,original sound - Lala,"foryou, pineapple, fyp",lala_sadii,249800,1186,13800,167
4,26,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,,infamous_wu13,124200,3285,16400,195
4,27,follow my ig saltyroast - dev,,gibson.avenue,80600,854,4864,298
4,28,original sound - ArabdeTiktok,"theory, conspiration, story",arabdetiktok_,610500,2218,51000,824
