batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Funny For Work,,cappuccinono1,751300,3688,63400,125300
1,1,sunet original - Victor drx99,"makeup, lipgloss, bigfamily, notenoughnelsons, nenfam, viral, paisleenelson",notenoughnelsonsofficial,222300,2212,16100,655
1,2,Originalton - marinas.poison,"fyp, foryou",imthe_annag,172900,838,13500,99
1,3,original sound - Kristen Kash,@imas_problem,officialkristenkash,484600,4847,43700,3569
1,4,"Married Life (From ""Up"") - Gina Luciani","chatgpt, ai, chatgpt4, stewiegriffin, priceless",price1ess.ai,1151,2725,241,188
1,5,original sound - Cassidy Huff,"fyp, disability, foryou, disabled, mercedes, trend, tiktok, viral, accessibility, activism, prosthesis, hardofhearing, prosthetic, blind, lowvision, wheelchair, wheelchairuser, mobility, mobilityaid, deaf, hearingaid",casshuff,4500000,15900,294500,147900
1,6,original sound - sav,"howmuchimade, coutingtips, hooters, hootersgirl, birthday, foryou, fyp%E3%82%B7",savwayy,880000,1823,37100,2469
1,7,original sound - Winta Zesu,"serviceindustry, nycrestaurant, nycgirl",winta_zesu,73700,952,4950,465
1,8,original sound - makabaka popcorn（玛卡巴卡爆米花）,"camping, vlog, carvideos, softcar, homecar, travel, vlog, icefishing",makabaka_popcorn,310200,1950,37200,5327
1,9,hot girl bummer - 🎧,"fy, fyp, biker, booktok, biketok, foryoupage",akuma.mybad,56200,1433,4187,69
1,10,original sound - sage,"momlife, momhacks, toddlermom, teenagermom, cuttinghair, haircut, chop, parentsoftiktok",coffee4lifesage,300100,632,11200,211
1,11,original sound - ethan poisson,,mynameisntmanny,183700,479,11300,6094
2,0,Snowman - Galuh,"snowman, dance, bff, fyp",aisha_offecial_48,60800,0,10300,3334
2,1,SLEEP PARALYSIS DEMON - Ethan Bortnick,,ethanbortnick,479000,2448,51800,5629
2,2,original sound - wrldforeverjuice,"juicewrld, foryou, 999, juicewrldtok, juice",wrldforeverjuice,275800,1299,33200,1505
2,3,Love You So - The King Khan & BBQ Show,"viral, fyp, boyfriend, couple",andrea.lopez44,77200,183,3844,598
2,4,original sound - Autumn Monique,"@rosyshopkin5, viral, stitchsquad, foryoupage",autumnohana,34600,4619,3403,106
2,5,original sound - Krystalkmakeup,"@krystalkmakeupofficial, grwm, contouring, fullmakeup, gullglammakeup, contouringtutorial, makeuptutorial",krissleos,143300,447,20800,438
2,6,master at Work X Money so Big instrumental - i Like Trains,"penspinning, mrnope, mrnopemod, fyp, viral",the_4_couleurs,26500,80,2882,119
2,7,Water by Tyla - Tyla,"fyp, foryou, foryoupage, viral",sophienotjacob,164800,904,13500,7963
2,8,original sound - JAYLLNN,redbull,realjayllnn,397600,2900,23400,3415
2,9,original sound - Mid Michigan Placemats/ Scott,"watchtillend, fyp, jasonbankscomedy, derek, skit, foryou, viral, foryourpage, song",midmichiganplacemats,360500,2314,18200,4214
2,10,TRANSGENDER (PEARL WHITE VIP) - PEARL WHITE,,jumpersrewinds,649500,8161,94400,25600
2,11,original sound - Gael and Ale,"couple, couplegoals, funny, fyp, toxic, gaelandale, justsayyoudontloveme",gaelandale,1000000,5359,87600,20500
2,12,"Horror, Fear, Mystery, Suspense, Criminal, Terror, Halloween, Movie, Soundtrack, OST, TV Game, Creepy(1323087) - SAKUMAMATATA","mystery, horror, jumpersjump, horrorstory, theory",horroriginz,50200,364,6793,29600
2,13,original sound - Funny,"meme, funnyvideos, fyp",memebrzi,4700000,35900,480200,158000
2,14,original sound - conan,,b.e.n_rl,2400000,51000,186200,36700
2,15,original sound - cora,"@alex_livelsberger, fyp, viral",rylynnwagaman,121300,1023,13200,3657
2,16,nhạc nền - Yangg🐬,"yang, yangg, mcseven, seven, mc_seven, sevendouyin, %E8%82%96%E5%85%AC%E5%AD%90",callrimm__,286000,567,18900,588
2,17,original sound - Autumn Marie,,red.banjo,420300,1787,28100,2072
2,18,original sound - mentalitylions,"viral, inspirational, crying, feelings",mentalitylions,2400000,20100,325600,71200
2,19,original sound - Vector,,_vector_,439600,2074,26000,2156
2,20,som original - 👑 ᏆᑎᎢᗴᖇ ᗯᝪᖇしᗞ ᝪᖴᏆᑕᏆᗩし 👑,"natural, nature, fossil, fossils, ancient, animals, art, ammonite, ammonites, dinosaur, scientist, minerals, paleontology, whitby, geologist, dorset, geology, charmouth, jurassic, yorkshire, fyp",yorkshire.fossils,2000000,12500,89900,9047
2,21,original sound - Best Cards Ever 🏆,"fyp, football, joeburrow, @itsgeoffwilson",cardsboulevard,53300,1302,2916,311
2,22,original sound - KEEMOKAZI,"duet, tacata, tacataremix, acapella, trending, tendencia, trendingsong, cancionestendencia",iamtiagz,845500,4880,73000,1024
2,23,som original - manulasilva123,,manulatubarao,425700,10100,38200,44300
2,24,original sound - ✰,fyp,lily_spamz_daily,103700,7,8743,1323
2,25,original sound - abby :),"melaniemartinez, songguessing, music, taylorswift, lgbtq, fyp, imbadatusinghashtags",oldfashioned.loverb0y,223900,2326,23500,787
2,26,original sound - €,"gay, fyp, real, relatable, foryou, fy, flirting, jokes, funny, draft",ifw_violeta,130699,1373,18800,1470
3,0,Roman's Revenge - Nicki Minaj,"nickiminaj, pinkfriday2, barbz, @nickiminaj",alfonsolaris,236100,880,12400,3182
3,1,original sound - Slimm&Trap,"miniphone, forkids, forparents, perfect",slimmtrap,974500,4149,115000,20400
3,2,original sound - ✨Kay and Tay✨,"kayandtayofficial, couples, relationships, pregnant, postpartum",kayandtayofficial,2300000,12300,102500,6341
3,3,original sound - ✨Kay and Tay✨,"kayandtayofficial, couples, relationships, pregnant, postpartum",kayandtayofficial,490300,2590,29100,5057
3,4,original sound - Jumpers Jump Podcast,"fyp, conspiracy, podcast, jumpersjump",jumpersjump,1100000,2265,80500,1621
3,5,som original - CABRA VÉIIIH,,wagnerpedreiroo,208300,566,11600,1445
3,6,original sound - LKmovie,"fouryou, movieclips, fyp%E3%82%B7",conneecyrk4,239900,366,25200,2082
3,7,original sound - Thelolpodcast,,thelolpodcast,243000,1083,23200,260
3,8,original sound - Yeahbox,soundbox,yeahbox_,8019,21,313,205
3,9,nhạc nền - Comedy’s usa,,meme_usa13,788800,7157,59900,58000
3,10,Sativa - _spxdupsounds,"girlsfacts, boycode, boysfacts, girlsadvice, boys, girls, girlscode, advice, butterflies, girlslove",liamadvice3,170900,1471,31700,9772
3,11,original sound - Kj,,kjlovesdads,1400000,12600,85100,22900
3,12,original sound - theshonenshowdown,"naruto, boruto, anime, fyp",theshonenshowdown,26100,5118,2484,295
3,13,original sound - Cameron Roh,fyp,cameronrohpovs,83200,1827,14900,677
3,14,original sound - Kriss&Esme,"getreadywithme, grwmroutine, grwmmakeup, grwmforschool, grounded",krissleos,446900,5241,40400,385
3,15,original sound - Sarah Coomer,"longdistancerelationship, boyfriend, couple",sarahecoomer,1900000,5085,91900,21500
3,16,original sound - Wyful,"fortnite, fyp",wyful,217400,2906,48000,2354
3,17,original sound - D AND LISH,"dnlish, dnlishworld, relatable, foryou",dnlishworld,4700000,21800,440700,27300
3,18,original sound - JAZZY ❤️‍🔥🇮🇩,"fyp, femalefriendships, womenempowerment, love, datingadvice, relationship, selflove, boundaries, bigsisteradvice, girlssupportgirls, oatsidecoffee",jazzybaby99,1800000,23400,221900,26400
3,19,original sound - Darryl,"@omgitskingpaul, streetinterview, streetinterviews, streetprank, prank",darrylskits,3600000,35600,180300,64500
3,20,original sound - Medazelli☔️,,medazelli,339200,691,42600,2705
