batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Ick - Alt Ending - Lay Bankz,"fyp, foryou, viral",xo.miya7,576200,3098,51800,1951
1,1,original sound - REEKON Tools,,reekontools,640300,3854,105200,77500
1,2,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280200,627,15500,165
1,3,som original - Peter ♚,,audizgod,309700,973,39400,3279
1,4,original sound - Lukenizzy,"fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, couplestiktok, couples, blowthisup, foryoupage, funny, lukenizzy",lukenizzy,1200000,5973,101800,43300
1,5,i wouldnt mind wterf11 remix - mereanamordegardglesgorv,,emmalanyi,365700,1868,33100,2176
1,6,som original - Beach Walking Playa Praia,"foryou, fy, fyp, pravoce, 4u, foryoupage, funny, music, fashion, follow, tiktok4fun, beach, praia, brasil, trending, 2024, girls, bikini, maresias, explore, bestvideo, beauty, happy, saopaulo, litoral, sun, life, verao, ferias, summer, tiktok, travel, viral",walkingaround4k,75700,232,6245,1759
1,7,Self Esteem - #1 HIT - Kisses for Me - Lambo4oe,"kiss, bf, valentinesday, hoodie, %E2%9D%A4%EF%B8%8F",kluska.oki,666600,10300,110000,19100
1,8,original sound - Codename Jesse,,codenamejesse,2000000,11900,352200,35900
1,9,Bongos (feat. Megan Thee Stallion) - Cardi B,,esterbron1,35700,109,4487,520
1,10,KYLE RICHH x NO MORE EXCUSES - EazyOnTheTrack,"fyp%E3%82%B7, foryou, blowthisup, content, xyzbca, relatable, viral",melissaa2finee,23000,227,3483,858
2,0,Don't Play With It (feat. Billy B) - Lola Brooke,"fyp, parati",addriianaa.sr,260300,2451,24100,2530
2,1,Cha Cha - ZEDDY WILL,,elleighmariefrancom,26000,119,1647,125
2,2,Wild thoughts - Spe3dupaudiosforyou,,jiah.khann,223800,948,18400,1201
2,3,original sound - aqsaꨄ,@sofiyaheartsu,defnot.dyllan,100600,2884,9464,2033
2,4,Bundles (feat. Taylor Girlz) - Kayla Nicole,"gyat, recoil, baddie, trendingvideo, egirl, fyp%E3%82%B7%E3%82%9Aviral, fakebody, fitcheck, xyz, abcxyz, dance, gymfit, tights, leggings",heavenlyhotties,63500,181,9148,202
2,5,Bongos (feat. Megan Thee Stallion) - Cardi B,,faith.reicher,54000,195,8489,242
2,6,original sound - Jack Doherty,jackdoherty,jackdoherty,15400,314,956,35
2,7,Bodega Flowers - Skyzoo,fyp%E3%82%B7,urrfav._.delusional,2100000,6929,294600,23800
2,8,оригинальный звук - scar1exa,,ruthyoungx,31300,317,1477,131
2,9,Ick - Alt Ending - Lay Bankz,"foryou, trend, ick",lala_sadii,1500000,29000,112600,12100
2,10,my dc suh - sierrah,fyp%E3%82%B7,biancamariee._,10800,59,1399,37
2,11,original sound - daisysdays,"fyp, fyp%E3%82%B7, foryou, koy, emo, princess, goodgirl, police, chickfila, bffs",koy.rose,893400,1685,73400,3322
2,12,09.08 lançamento - Meno Felps,,notburnttoasthehe,219100,3042,26200,2945
2,13,sonido original - Pitukey_wa🕺🎽,"hermanito, trend, tiktokhermanos",giovaroman,75600,141,13200,254
2,14,original sound - EX7STENCE™,"fyp, qrxcba",qrxcba,5400000,67500,448000,75800
2,15,merrily we fall prodbyraesam - deluluestduo,,aroargz,379300,479,44400,2109
2,16,sunet original - Victor drx99,"zyxcba, fyp",levi_neal14,603900,3639,41000,3035
2,17,sonido original - 𝐂𝐡𝐫𝐢𝐬𝐭𝐢𝐚𝐧,,mr.shearhod,841100,6433,99600,7371
2,18,City - lofi'chield,@podfathersshow,barstoolsports,58300,187,2543,258
2,19,Emotional Piano for the Soul (Inspirational Background Music) - Fearless Motivation Instrumentals,question,1kellygeorge,35600,6850,1362,161
2,20,original sound - laughFlix,"foryou, fyp, viral, movie, tv, film, xyzbca, game, storytime, dharmann",moviemirth,264400,2568,32299,749
2,21,alkuperäinen ääni - Aela the huntress,"freepalestine%F0%9F%87%B5%F0%9F%87%B8%E2%9D%A4%EF%B8%8F, ceasefirenow, lps, littlestpetshops, lpstiktok, lpscommunity, lpsmain5, lpstok, lpscommunityisalive, lpscollection, lpsshorthaircat, lpsmascot, lpscustoms, lpscustom, lpscustomizer, basicfunlps, lpsfyp, lps2024, lpspopular, newlpsinstores",majoralps,346,12,50,1
2,22,original sound - Lukenizzy,"fyp%E3%82%B7, couplestiktok, couples, funny, fyp%E3%82%B7%E3%82%9Aviral, lukenizzy",lukenizzy,706900,3051,62400,5119
2,23,Pick up the phone - 𝕮𝖔𝖊𝖑𝖍𝖆✞,,ema_bb0,155500,1518,24100,1311
2,24,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"viral, couple, funny, trending, fyp",andrea.lopez44,99000,167,7119,355
2,25,original sound - Miss_Snowwolf_jku,,miss_snowwolf_jku,88900,1990,3985,9109
2,26,sonido original - halo,,aliciazore,315900,1954,29900,1845
3,0,original sound - 🫀,,jasminee.emm,279900,1283,31400,414
3,1,original sound - spo6kzie,"fyp, princessamelia, nevada",abbysaltzmaniscute,126900,1785,23200,348
3,2,GoodGooglyMooglyyy - Undergroundmusiclover,"fyp, dating, foryou, lesbiansoftiktok, lgbtq",zashiasantiago,1100000,2798,68800,13700
3,3,The Mop - TisaKorean & Kblast & Huncho Da Rockstar,,samdezz,309200,4192,26700,1258
3,4,original sound - Alex,,vaynessvalery,244900,804,36500,6324
3,5,original sound - The Relationship Hub,"viral, couple, fyp",isaacandandrea9,184700,711,10400,1083
3,6,original sound - gianna,screentimecontrol,giannamjoyce,191400,1595,55400,1408
3,7,Bongos (feat. Megan Thee Stallion) - Cardi B,@kennabeann14,zoe.ebarb,57300,120,9414,179
3,8,original sound - Ryu,"humor, forupage, xy, bf, gf, relatable, toxic, trend",karinagtzz,1600000,4483,105800,37900
