batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Ick - Alt Ending - Lay Bankz,"fyp, foryou, viral",xo.miya7,576200,3098,51800,1951
1,1,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280200,627,15500,165
1,2,original sound - REEKON Tools,,reekontools,640300,3854,105200,77500
1,3,original sound - Alex,,itsyourgirlavaa,452700,1643,67700,17800
1,4,KBLAST BACK IT UP - Blast2.0,"dance, fyp, foryou",ariannafspam,25300,88,4787,170
1,5,оригинальный звук - никто,,kawaiisofey,94800,191,13900,756
1,6,original sound - 6footkillaa,"publicinterview, height, heightproblems, fyp, viral, foryou",6footkillaa,23300,222,2336,72
1,7,original sound - Fearless Mentality,"@dfyne.official, gymtok, gymgirl, gymgirls, gymgirlsoftiktok, gymprogress, fitnessprogress, hourglass, hourglassfigure, zyxcba, xyzbca, fyp, foryou, trending",puckvandrenth,62000,244,7270,989
1,8,YoungBoy - 💗,,xoxoashleybih,37000,257,4331,271
1,9,09.08 lançamento - Meno Felps,,notburnttoasthehe,219100,3042,26200,2945
1,10,original sound - Holden Davenport,@ashperez201,holdendavenport,250500,11300,27100,3407
2,0,why u so obsessed with me ugh - DJ LILLI,"obbsessedwithme, l%C3%A5gmidjade, blond",viralinneros,320400,1672,26100,1109
2,1,i wouldnt mind wterf11 remix - mereanamordegardglesgorv,,sarahguimondd,326300,1053,36200,1509
2,2,original sound - 𝒢𝓇𝒶𝒸𝓎𝓃,,user9398924877962,857500,0,37300,1215
2,3,Bongos (feat. Megan Thee Stallion) - Cardi B,,sophieraiin,87100,192,12000,414
2,4,original sound - rits ✿,fyp,hope.kelesis3,436300,1538,31100,2322
2,5,ma best friend - sophia🫡,"foryou, twins",sophia.schweik10,476500,3060,40700,3780
2,6,original sound - 𝔍𝔞𝔰🌺🫧,fyp,jascas55,2200000,10200,275500,58100
2,7,оригинальный звук - никто,,theaishahsofey,600300,5513,97100,3304
2,8,оригинальный звук - scar1exa,,awkspew.roo2,694000,3688,58800,13000
2,9,Originalton - Sigita,"sigita03, foryoupage",sigita03,269200,2124,16200,23800
2,10,That's My Best Friend - Tokyo Vanity,fyp,jayden.hurst,107200,408,11800,463
2,11,original sound - hhghjhddhj,"foryou, tiktok, film",hhghjhddhj,82700,128,4877,83
2,12,You Wish - Flyana Boss,fyp,bitchnamnedbecky,121000,805,27600,2882
2,13,оригинальный звук - никто,,sophieraiin,257300,929,38000,1216
2,14,original sound - Ritsu,,lunathattherian,63,7,23,0
2,15,The Mop - TisaKorean & Kblast & Huncho Da Rockstar,,samdezz,309200,4192,26700,1258
2,16,Body perfect - Ziah150,fyp%E3%82%B7,chasityromann,95200,331,9659,440
2,17,sonido original - 𝐂𝐡𝐫𝐢𝐬𝐭𝐢𝐚𝐧,,mr.shearhod,841100,6433,99600,7371
2,18,MANDA BALA - Ariis,,tabi.fit,90700,179,13600,573
2,19,original sound - zack 🦇,,emmalanyi,770500,6053,73100,12000
2,20,original sound - ABKYS,,aubreykeeyyysss,29800,1308,1068,114
2,21,original sound - kinzieboo,,kinzi3boo,181700,898,21100,576
2,22,original sound - Rae,,notburnttoasthehe,241500,499,30400,1660
2,23,original sound - Dreammm_lov3,,bullybean2.0,152900,1195,20700,794
2,24,bounce (i just wanna dance) - фрози & joyful,,giuliacorrado_,56500,923,5092,1817
2,25,Tu Cómplice Bryant Myers Ft Hozwal - S E B A S 🪐!!,,barbiee.v11,1370,14,75,5
2,26,original sound - annabelle gesson,@jkfools,annabellegesson,37700,402,4376,299
3,0,Dont Drop That KRI X DARILLIS X JJOZIAH - ProdKri,@emdizzle14,aubdizzle21,25400,156,5614,237
3,1,original sound - thick bunny,@weakrizz,thickbunnyx,8429,37,1144,74
3,2,original sound - alexbreakshisback,"rek, school, life, fur, rekomendasi, up",so_fime,1500000,55400,105400,31100
3,3,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,,sabyhesri,162100,1736,19100,341
3,4,son original - RAPoXygène,"fyp, foryou, viral",larissatrofino26,32800,45,4941,85
3,5,Astronaut In The Ocean - Masked Wolf,,aubkeys,190300,12300,7519,3009
3,6,underneath the tree - ‍r7ptor,"@theaishahsofey, @summerxiriss",sophieraiin,179500,1280,29700,1916
