batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ★ seplix,,brookemonk_,984300,2310,51000,1295
1,1,original sound - izzy,"colbybrock, colbybrockedit, fyp, viralvideo, blowup, xyz, xplrizz",xplrizz,257899,5385,84800,5641
1,2,original sound - active <3,fyp%E3%82%B7,tina_042,342700,4078,18800,935
1,3,original sound - 954Enzo,"@daniellearleenree, nio2hard, niolives, foryou, 954enzo, nioflowers, 954enzo%F0%9F%A5%95, 48nio",954enzo,80800,1410,2197,386
1,4,KYLE RICHH x NO MORE EXCUSES - EazyOnTheTrack,"foryoupage, richboytroy, fyp, richboytroy, rbt, rbt, foryourpage",richboytroynewpage,148600,1457,14500,773
1,5,original sound - Jillian !,"fyp, sick, cold, cough",harperzilmer4,528500,5353,41100,3970
1,6,original sound - Jennifer Ngo,@davdlifts,jenniferngo,253200,7300,31100,1303
1,7,original sound - Sweetpea 😍 Her,"fyp%E3%82%B7%E3%82%9Aviral, humour, subwaysurfers",uateugochi,659500,3054,59200,10200
1,8,son original - Laurdich,,madtrinity,176600,3325,10600,5946
1,9,original sound - Trisha Danielle,,trisha.danielle,575500,5355,47000,12500
1,10,original sound - Kream 🧜🏾‍♀️,"fyp, ofcoursetrend, fyp%E3%82%B7, knotlessbraids, braidsoverlocs, charlottebraider",dreamofkream,396400,0,24300,5672
2,0,original sound - Sunonymous,"confessions, usher, superbowl, nickelodeon, spongebob, taylorswift, truestory, fyp, cantmakethisup",sunonymous1,25100,903,1125,2021
2,1,original sound - Errica,"usherhalftime, superbowl, aliciakeys",errica_writes,89700,691,1687,763
2,2,original sound - TK,", usher, halftime, superbowl, football, nfl, bieber",tksjuicypolls,60000,141,1614,51
2,3,original sound - Bobby Finn,"skit, lol, fyp",itsbobbyfinn,56500,1997,3772,5194
2,4,original sound - NFL,"liljon, ludacris, usher, applemusichalftime, nfl",nfl,3500000,36500,218000,62100
2,5,original sound - SauceyAustin✨💦,"superbowl, usher, aliciakeys",saucey_austin,31300,272,1906,200
2,6,Yeah! - Usher / Lil' Jon,"usher, superbowl, halftimeshow, ushersuperbowl, usherhalftime, fyp%E3%82%B7, foryou, explore, aliciakeys",blkcultureunlocked,6874,120,503,272
2,7,original sound - Tayvis World,"taylorswift, swifttok, taylorsversion, taylornation, swiftie, swifties, traviskelce, chiefs, taylorswifttraviskelce, traviskelcetaylorswift, tstheerastourfilm, erastourtaylorswift, erastour, jasonkelce, kyliekelce, newheightspodcast, newheight, tayvis, tayvisnation, swelce, kansascitychiefs, superbowl2024, superbowl, mvp",tayvisnationn,35500,254,1798,272
2,8,original sound - ⚖️ The TikTok Attorney ⚖️,", lawyer, lawyersoftiktok, lawtok, stitch",ugolord,55000,5542,2770,302
2,9,original sound - MuchMusic,"applemusichalftime, sblviii, , ",much,158800,1142,10600,1631
2,10,original sound - Anuschka van lent,"viral, german, us, xybca, germankaren, comedyskit, waitress",nukiinhollywood,150600,4402,7328,1003
2,11,original sound - EscapeTracks,"justinbieber, haileybieber, superbowlhalftimeshow, superbowl2024, usherbowl, superbowlhalftimeshow2024, superbowlsunday, superbowlsunday2024, belieber, justinbieberfan, justinbieberedits, justinbieberofficial, foryou, fyp",escapetracks,2322,18,151,56
2,12,original sound - ULTIMATE VIRAL BOSS,"usher, ushersuperbowl, superbowl, ludacris, lasvegas, trending, fyp, foryoupage, 2024, fyp%E3%82%B7%E3%82%9Aviral, bestof2024, fypviral, foryoupage, bestof2024, ultimateviralboss, vnvideoeditor",ultimateviralboss,21600,471,1770,715
2,13,original sound - $yd,"tip, tipping, cringe, customerservice",poorandhungry,793400,9020,24300,18300
