batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Sweetpea 😍 Her,,glxxmike,3300000,19700,266400,90000
1,1,Originalton - marinas.poison,"fyp, foryou",imthe_annag,172600,837,13500,99
1,2,original sound - active <3,fyp%E3%82%B7,tina_042,342700,4078,18800,936
1,3,original sound - ✨Kay and Tay✨,"kayandtayofficial, couples, relationships, pregnant, postpartum",kayandtayofficial,4400000,12900,296500,20400
1,4,original sound - ⠀ ⠀ ⠀ ⠀ ⠀ ⠀,"relateable, fyp, funny, viral",dats.buddha,3500000,19200,296900,90700
1,5,original sound - Diamond & MOBS,"pranks, family, fun, funnyvideos",vsdiamond7,94300,891,17100,820
1,6,original sound - Luminance Medical,"fyp, foryou, foryoupage, fyp%E3%82%B7, viral, fypage, fyp%E3%82%B7%E3%82%9Aviral, popular, tiktokmademebuyit, brighteyes, redlight, lifehacks, monkey",luminancered,611800,2321,51100,1870
1,7,original sound - RaabyPatty,"fyp, foryou, funny, foryoupage, comedyvideo, xyzbcafyp%E3%82%B7, viralvideo, thanksgiving, holiday, humor, him, dance, athlete, druski, lebron, xyzbca",raabypatty,915400,4008,48600,96800
1,8,IT GIRL OUT SEPT.30th - aliyahsinterlude,"tiktok, foryou, painting",trippydraws,758900,3558,49000,1810
1,9,original sound - KOBBY TV,onthisday,moneymatters100,297900,3400,21900,7102
1,10,original sound - haleyybaylee,grwm,haleyybaylee,469700,2036,19900,377
1,11,Suara Seram Sangat Mencekam - Kholil Buitenzorg,"taylorswift, icespice, god",youwontbelievemeofficial,8075,492,946,254
2,0,original sound - hoopeditz,@rob_the_ref,hoopeditz,48800,321,1887,521
2,1,original sound - Outstanding Screenplays,"tomcruise, tropicthunder, screenwriting, screenwriter, screenplay, fyp, shorts, filmtok, author, writer, movies, film",outstandingscreenplays,16900,212,1028,197
2,2,original sound - Tajahnaee,"fannita, quenblackwell, fannitasresponse, zachjustice, dropoutspodcast, dropoutspodcastclip, bottomsuppodcast, fannitasresponse, pastyourbedtimepodcast, blackhistorymonth, fyp, trending",tajahnae_,42400,1005,2912,68
2,3,suara asli - 🅰️JHUM🅰️,"fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, soundviral, indramayuviral, indramayukotamangga%F0%9F%A5%AD, tarling_indramayu_cirebonan, queenleo%F0%9F%96%A4, capcut",iim_bhae0819,7438,136,640,563
2,4,original sound - LordOmniTha5th,"capcut, marvel, marvelstudios, marveltok, loki, jonathanmajors, breakingnews",lordomnitha1st,42600,527,2513,2805
2,5,sonido original - MALDITOLIO.2,"paratii, viral, fyp, menorqueenrd, luinnycorporan",malditolio..2,3514,10,205,31
2,6,SugarCrash! - ElyOtto,@1luxq_3x,kaylavoid,172200,542,14200,415
2,7,original sound - N͜͡a͜͡z͜͡i͜͡h͜͡a͜͡🍂🧸 - N͜͡a͜͡z͜͡i͜͡h͜͡a͜͡•.🦋,"foryou, naziha%F0%9F%98%82%F0%9F%98%82%F0%9F%92%94, fypage%E3%82%B7, somalitiktok12, 30kfollower, somalitiktok12",quennaziha,44800,1532,10600,6801
2,8,Originalton - Hayati Nakroume,"hayatinakroume, zhacrocazka",hayatinakroume,27900,176,4984,249
2,9,original sound - صابرين 💐❤️‍🔥,"capcut, capcut, moroccan, capcut",zapiriin34,4149,77,949,199
2,10,Tootsee Roll (Dance Version) - 69 Boyz,"throwback, tomcruise, tropicthunder, humor, momsoftiktok, chaperone, teenagers, momsbelike, foryou",brattgirl_2019,49200,529,2771,21900
2,11,DHMIS - Hiba G,"pocgoth, hispanicgoth, gothlatina, gothic, goth, latino, romanticgoth, tradgoth, gothmakeup, whitebase, gothicmakeup, alternative, trending, fyp, parati",yippee_angel,27600,445,2400,35
2,12,original sound - Shekeye Design ▶️,"@hipohappy5, @quen__hodan, muuqdher%F0%9F%87%B8%F0%9F%87%A7, somalitiktok",shakra__boy_,10900,105,1347,131
2,13,original sound - MOHA XOOSH,,quenzamzam00,6161,3420,1016,69
2,14,original sound - JACK LYRIS🤴🔐💔,"therealqueen%F0%9F%91%B8%F0%9F%8F%BB%F0%9F%91%91, aximasmihrabi, samihakhaliil, aximasmihrabi%F0%9F%91%91wll, mss2msamihakhaliil, samihashop, somaliproud, miha, samiha, msscupcake, ogadenia",aximasmihrabi,38100,317,5533,205
2,15,original sound - Tyler,"capcut, fyp, foryou, comedy, avengers, marvel, tropicthunder, mcu",rowdyroddytyler,336200,3706,29000,139900
2,16,sonido original - Manolo Mrls,"lesgrossman, humor, viral, tiktok, tomcruise, movie, tropicthunder",manolomrls,16200,460,2196,687
