batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19900,170800,108600
1,1,original sound - TIANA ᥫ᭡,@cassandramaedavis26,kels.aff,144300,680,8997,839
1,2,original sound - kim,"fyp, travisscott, circusmaximus",kimcabxllero,4700000,9999,257200,53000
1,3,原聲 - Longwang movies,"movie, chucky, tiktok, foryou",bage04.movies,81800,308,7642,387
1,4,original sound - Danni 🇵🇸,"fyp%E3%82%B7, foryoupage, edit, editor, foryou, ae, slendermami%F0%9F%98%8D, roblox, robloxeditor, trendy, robloxfyp%E3%82%B7, animator, robloxanimation, relateable, relate",eyesondannii,106000,3477,23800,1544
1,5,original sound - JAYLLNN,,realjayllnn0,9950,316,760,333
1,6,original sound - Kriss&Esme,"grwmroutine, getreadywithme, grwm, grwmforschool, makeupchallenge",krissleos,204800,1174,16900,210
1,7,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,,itsari.aleise,225900,521,15900,181
1,8,nhạc nền - Seven-我是Eight🌔✨,"xuhuong, tiktokawardsvn2023, yolohouse, mcseven, djxiaogongzi, %E8%82%96%E5%85%AC%E5%AD%90, viral",seven260801,3900000,18100,338800,21200
2,0,original sound - Drew 🇰🇭,@0fficial.va3h,prettyface_.faaith,2600000,8992,152100,31400
2,1,original sound - Him09,"fyp, nfl",emrylamberson6,2200000,6110,225200,14800
2,2,original sound - niyah,"fyp, foryoupage, viral, explorepage%E2%9C%A8, explore, showtimeleo, fyp%E3%82%B7",showtimeleoo,68200,304,6485,678
2,3,It's Beginning to Look a Lot like Christmas - Michael Bublé,"alone, merrychristmas, foryou",clawed_beauty101,101300,2473,17600,304
2,4,cry - favsoundds,,asher.lara,77300,1331,6771,149
2,5,original sound - ali,,4lici4gonzalez,12300,2696,2784,119
2,6,original sound - NOFEELINGS.,"brb, fyp, foryoupage",so_angie7,129800,3645,14300,434
2,7,original sound - Damaury Mikula,,damaurymikula,629700,3587,101600,6558
2,8,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,,infamous_wu13,52100,1490,5660,51
2,9,original sound - rggdhgomhtx,"d%C3%BAo, fyp, parati, viral, humor, top",bryan_alvarez,113700,1907,23300,4151
2,10,original sound - Zakeya_95,"bionic, cikids, cimom, cochlearimplants, cilife, foryou, foryoupage, grateful, blessed",zakeya_95,133400,829,9989,365
2,11,original sound - ✰,"fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, iamwahid_",dreamyabdul,230700,87700,18200,3649
2,12,nhạc nền - Meme human,,meme_ofhuman,12300,80,730,221
2,13,original sound - gracie ౨ৎ,"preppyzepeto, preppy, zepeto, fyp, foryoupage, trending, viral, blowthisup, flexeveryangle, preppyzepetogirls, dontletthisflop, blowthisup, blowthisupovernight, dontshadowbanme, aestheticzepeto, aestheticzepeto, preppylifestyle, aesthetic, blowthisupforme, 4upageonly, 4upage%E3%82%B7, flopera%F0%9F%98%98%F0%9F%92%85%F0%9F%8F%BC",ashlzpet,15200,284,3101,1181
2,14,original sound - Devan Van Tonder,"itmightbekokii, fyp, fyp%E3%82%B7%E3%82%9Aviral, mzansicomedy, relateable, viralvideo",yourneighborhoodstar,197800,1192,28700,2186
2,15,original sound - BritishBantz,"fyp, viral, jijiwonder, fyppppppppppppppppppppppp, viralvideo, tiktok, dance, befamous, fyp, salishmatter, popular, viral, realnidalaccount, siblings, duo, nidalwonder, relateable, funny",nidalspams,304600,1125,28300,979
2,16,son original - Gadyy,"recommendations, %D0%BB%D1%8E%D0%B1%D0%BB%D1%8E%20%D0%B2%D0%B0%D1%81%20%E2%9D%A4%EF%B8%8F, %D1%85%D0%BE%D1%87%D1%83%D0%B2%D1%80%D0%B5%D0%BA, %D0%BC%D1%85%D0%B0%D1%83%D1%81, %D1%82%D1%80%D0%B5%D0%BD%D0%B4%D1%8B, fpy%E3%82%B7",_...m_house..._,1561,15,129,8
2,17,The Ninja Kidz - The Ninja Kidz,"ninjakidz, viralvideo, ninjakidztv, fyp, brytonmyler, paytonmyler, ashtonmyler, paxtonmyler",ninjakidzpark,1534,47,243,16
2,18,som original - Mandelão 48por48,"capcut, fyp, trending, foryou, roblox, quate_0",quate_0,7755,14900,1873,295
2,19,original sound - The Mannii Show,freecomedy,the_mannii,49800,418,6009,575
