batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19900,170800,108600
1,1,Originalton - marinas.poison,"fyp, foryou",imthe_annag,171000,834,13400,98
1,2,original sound - Jack Doherty,jackdoherty,jackdoherty,15500,171,1104,39
1,3,everyone using this sound - Zup,"friends, millionaire",eduardtok,311100,7986,17600,15300
1,4,original sound - Chris and jasmin,"airplane, breakup, drama",chrisandjasmin,3284,111,409,114
1,5,Be Gone Thot! - LIL MAYO,viral,thatgirllaylay_fp,183600,884,7785,1783
1,6,Ick - Alt Ending - Lay Bankz,trending,cassianx,50800,489,4586,111
1,7,ANDO - Jere Klein & Gittobeatz,,darckmarie,408700,1642,23700,2490
1,8,misery meat sodikken - Leon :^,"tutorial, vfx, loop",b3rniem4n,8507,178,1879,88
1,9,original sound - AfroSamuraiT,"lifehack, lifehacks, prime, ksi",afrosamuraitt,33300,706,3263,80
2,0,оригинальный звук - смиш 🥵,"capcut, funnyclips, funnytiktokvideos, pov, meme, funny, funnytiktok, funnyvideos, memetiktok",funny21694,86400,910,13900,11700
2,1,you got my heart got my mind - EX7STENCE™,,hey77185,9,6,0,0
2,2,original sound - massiah90,"jmassiah, fyp, jmassiah90, shadowthedog, shadowrelax",jmassiah901,727800,5862,80600,27700
2,3,Love Me Like You Do - Elena Johnson,"genderrevealideasviral, genderrevealparty, genderreveals, lovemelikeyoudo",adorablebabies2019,7327,16,397,87
2,4,original sound - violingirlprincess,,violingirlprincess,254100,19500,12800,6444
2,5,TEACH ME HOW TO DRILL - Lil Mabu & Fivio Foreign,"lilmabu, ukdrill, nydrill, musicvideo, rap",lilmabu,188300,736,10200,556
2,6,I'm coming for it all - flvmey,,nickbomber047,124900,1282,17900,2919
2,7,original sound - user4812266774952,"movieflim, moviefyp, movieforyou, fyp, flims",joline4839,334100,691,22000,359
2,8,Love You So - The King Khan & BBQ Show,"fyp, foryou, tiktok",pop.movie4,179400,833,27800,968
2,9,original sound - m_yamellow,,theerealnettee,53900,1050,5457,119
2,10,original sound - Marttia,"pipersquad, foryoupage, actives%3F, edits, viedostarpro, tiktok, tunmate, vsp, piperro, piperssquadedits, takebodyy, aftereffects, tiktok",rockelleapp,92,12,11,1
2,11,son original - ♥️cute♥️,"funnybabyvideos, rire, lovebaby, pourtoi, failfyp%E3%82%B7%E3%82%9Aviral, capcut",so.cute.funny,788300,5831,93100,31800
2,12,original sound - nessaabarrett,"aelfriceden, aelfricedenfamily, outfit, ootd, aelfricedenkee",nessaabarrett135,7688,53,429,47
2,13,FUNKED UP by XXANTERIA and ISQ UNRELEASED - ku,"fyp, boogiedown, fortnite",rareseconds,2000000,8259,274100,8060
2,14,original sound - Lucas and Marcus - Lucas_Marcus.officie,,_lucas.marcus_fanpage,181000,1980,31700,1763
2,15,original sound - Tayo Ricci,,tayoricci,13100,125,1192,34
2,16,original sound - TheMacaulleys,"fyp%E3%82%B7, trending, viral, couple, couplegoals, love, boyfriend, tutorial",__themacfamily__,4036,12,214,8
2,17,original sound - Nathan Kessel,"@ww114322gax, fyp, foryou",kessel_nathan_official,291600,1659,31200,4546
2,18,Originalton - 6ix9ine,"6ix9ine, 6ix9inegx, foryou, viral, club",6ix9ine.njr,14600,121,757,153
2,19,original sound - SuperHeroEmpire,"memes, funnyvideos, rizz",superheroempire,315800,2505,42900,10300
2,20,original sound - SuperBounce,"tiktokmademebuyit, toy, fidgetball",superbounce_,228,13,39,30
2,21,الصوت الأصلي - ديري,"fyp, funny, trending, funnyvideos",_funny.official,3700,9,223,69
2,22,original sound - The Rock and Roll Playhouse,"@tontaniaa_, taylorswift, traviskelce",therockandrollplayhouse,22300,329,3466,494
2,23,Originalton - Andri Ragettli,"@ovomaltine, ovomaltine, ad, icebath, winter, ice, tiktok, fyp, foryou",andriragettli,14300,126,467,72
2,24,Takee Myy Bodyy (Cover) - MITI NADA,"film, movie, foryou",xiwangnenghao,35700,125,3373,301
2,25,original sound - hunjoe,,hunjoe,16200,91,1492,124
2,26,original sound - Jesse Lingard,,jesselingard,191500,1169,5157,218
2,27,shake your phone - munhana🤭🤞🫶,"music, tiktok, trending, fyp, views, purple, viral, color",peachpeach20,4671,329,858,159
3,0,Godswill Lord of Lords King of Kings - Godswill,"sturdyoff, fyp, dance",sturdyoff,2622,33,241,53
3,1,MOVE YO BODY - Bryansanon,"fyp, viral, blowthisup, notimomarion, christmas",notimomarion,147900,2222,26900,624
3,2,push pop - tae,"shavingtips, spaathome, shaveyourface, dermaplaning, wildpier, tiktokshopblackfriday",wildpierbeauty,980800,2500,75900,7329
3,3,original sound - ezel🪐,kayflock,ezel_xg8,32500,91,3574,150
3,4,SLOWED CORE - Phonk - J4H3D,"satisfying, tiktokfood, lifehack",kyleistook,88400,1956,11000,1494
3,5,original sound - 🍔,"fyp, asmr, nikocadoavacado, eating, mukbang, takis",nickandorlineat,61800,1093,7733,1408
3,6,original sound - Daniel Rivera,chihuahualove,manchasthetiktoker,66100,1554,13200,1748
3,7,Into Your Arms (feat. Ava Max) - Witt Lowry,,juliana.moon_,3200,647,423,193
3,8,original sound - Artistic Moments,"fyp, erich, bands",bandsbank,1300000,18500,129600,11600
3,9,original sound - Rango Jalex,,rangojalex,207500,1371,30900,845
3,10,الصوت الأصلي - ديري,"fyp, funny, funnyvideo, trending",_funny.official,14000,144,1425,210
3,11,Distance - TWO LANES,"viral, trending, fyp%E3%82%B7, n3on, n3onclips, ddosama, apology",kkreacts,92000,842,6241,187
3,12,original sound - fed daisy,capcut,gabrielzulu15,33400,11700,10100,3337
3,13,original sound - 6ixbuzzTV,"6ixbuzztv, 6ixbuzz, fyp",6ixbuzztv,5027,66,241,74
3,14,original sound - CheezaAfrikanaDancekids,"tengetenge, tenge, tengerere, foryou, fyp, fyp%E3%82%B7",wemblymo1,129100,772,10200,2112
3,15,som original - Mandelão 48por48,"capcut, fyp, trending, foryou, roblox, quate_0",quate_0,7756,14900,1874,295
3,16,original sound - Elroy Red Beard,"fyp%E3%82%B7, foryou, foryoupage, fyp, fy, indiana, waaaygood, everydayfunday, pinkysup, jasonwhatareyoudoing, ayoooo, longervideos",elroyredbeard,1100000,32100,91700,107200
3,17,original sound - Jeremy Littel,"minnesota, winona, kickasslife, 1330331, dadjokes",jeremy_littel,21600,151,2477,476
3,18,original sound - beautymark,"newmusic, indiemusic, altmusic, morethanfriends, lessthanlovers",beautymarkmusic,71,2,4,0
3,19,original sound - Brother Hua loves delicious fo,"food, foodie, foodtiktok, meat, meatlovers, girls, girl",yihuabhf2t1,441800,17200,38600,41200
3,20,original sound - 3Drive,"beamng, beamngdrive",3drife,24400,279,1623,86
3,21,original sound - Editz,"drill, uk, ukdrill, den_dim1, edit, blacklivesmatter, musicpage, blowthisup, fyp%E3%82%B7, trap, edits",notes_rap22,6546,63,970,76
3,22,original sound - 𝐒𝐀𝐑𝐀𝐇,"fyp, kddakid, viral, foryoupage, transition, hair, hairgoals",thelitfamily4l,13900,195,2307,55
3,23,Originalton - 6ix9inefanpage,"tekashi, tekashi69, tekashi6ix9ine, 6ix9ine, 6ix9inefanpage, danielhernandez, viral, fyp%E3%82%B7",6ix9ine2024,3838,85,275,78
3,24,original sound - Fik Fameica,@rangotengetenge,fikfameica,1300000,19900,79900,26600
3,25,original sound - ATM.ETV,"relationship, ex, accept, loyaltytest, yes, swapphones, sob, standingonbusiness, couldabeenrecords",atm.etv,269600,267,35000,576
3,26,original sound - QCP,@cooking_with.kian,itsqcp,309000,524,21100,292
3,27,sonido original - Funny’s is going with me,,baby_ok122,625600,1679,37900,3640
4,0,som original - Rafael Silva,,rendi_popping,10900,251,989,83
4,1,Head Underwater - Tom Walker,"npcjaybond, injaybondwetrust",npcjaybond,4024,4381,461,143
4,2,original sound - 🎶🎧,,yolo_hutcheison11,29,0,1,0
4,3,original sound - Bortazz.24,fyp,hoodbab.y_,195600,1292,7234,1097
4,4,nhạc nền - palama_47 - Baby_Cute_no.1,"trending, funny",thuy22_tqvn,21800,83,1496,809
4,5,original sound - RANGO TENGE TENGE 🇺🇬,"@ediithimonikhe, tiktokuganda%F0%9F%87%BA%F0%9F%87%AC, tiktoknigeria%F0%9F%87%B3%F0%9F%87%AC, tengetenge, alekie08, alekie, alex, fyp, viral",alekie08,76900,1649,5630,2698
4,6,SkeeYee - Sexyy Red,"fyp%E3%82%B7%E3%82%9Aviral, snitchnine, jailynlamasviral",_.figgins1901,664000,3152,52600,39200
4,7,Tenge tenge - BIG WIZ🦅,"foryou, viral, rango, @rangotengetenge, @wemblymofoundation, @wemblymo1",bigwizstarboy,259800,5874,20000,12600
4,8,orijinal ses - Aitemir Akimov,"football, boxing, mma, ufc, fyp, kickboxing",akimaskguy,72600,602,9382,199
4,9,original sound - Bobcat World,,randyfroze17,53400,160,5444,2292
4,10,suono originale - Dieffe Bros,,dieffebros,101700,522,11700,2680
4,11,оригинальный звук - krs050200,"randyorton, foryou, alexabliss, wweuniverse, wwe, fyp, fypage, keepsupporting, keepsupporting, foryoupage, goviral, viral, goviral, blowthisup, wweclips00offical, @.wweclips00_",.wweclips00offical,6152,86,865,42
4,12,الصوت الأصلي - ديري,"funnyvideos, funny, fyp, trending",_funny.official,9008,42,487,207
4,13,original sound - Fly Chicken,"fyp, friedchicken, flychicken, cluckinggood, fried",fly.chicken,30300,202,3252,823
4,14,original sound - Bikini Bottom Sports,"volleyball, volleyballoftiktok, sports, sportscenter, espn, challange, fyp, popular, viral, trending",bikinibottomsportss,116100,155,5252,478
4,15,Um excuse me wtf - joobislop ☦︎,freecomedy,the_mannii,26100,339,3448,267
4,16,original sound - Rango Jalex,@aleclang,rangojalex,426600,5072,70000,3731
4,17,original sound - Rae,"majorettedance, majorette, dance, like, share, comment, follow, fyp, explore, explorepage, exploremore, ohthatsmajah, majahdidit, majahdidthat, dance, viral, viraldances, trending, reels, viralreels, followme, instagram, love, happy, girl, nofilter",majahthadancer,550600,1179,47100,209
4,18,Quer Me Copiar - MC ERIKAH & LeoZera & Millena e Manu Maia,"carretadaalegria, trenzinhodaalegria",memestrenzinhos,75300,409,3226,3914
4,19,original sound - Zup,"fyp, foryou, foryoupage, zupku",zupku,143800,1338,30600,1901
4,20,original sound - #v4mp,,joejoe7711,300700,2548,16700,790
4,21,original sound - Sam,prank,sam8d0,284,10,22,29
4,22,original sound - Wyful,"fortnite, fyp",wyful,102900,719,18100,1112
4,23,original sound - Humorharbor,"lilrt, lilrtmusic, lilrt60miles, 60miles, adonis, drake, rap, raptok, raptokmoment, crazy, trap, trapper, kaicenat, kaicenatclips, kaicenattv, lil50, kids, kidsoftiktok, kidstiktok, childrens, funny, funnyvideos, lol, fyp, foryou, foryoupage, viral, viralvideo, blowthisup, blowthisupforme, lilrt%F0%9F%94%A5, lilrt6omiles",rapharbor,9940,48,1551,41
4,24,MOVE YO BODY - Bryansanon,,skyyjade,76800,1025,12200,210
4,25,Originalton - .,,whytheyhatethaddeus,154800,1732,23700,1730
5,0,оригинальный звук - MELLSTROY 🐗,"money, %D0%B4%D0%B5%D0%BD%D1%8C%D0%B3%D0%B8, moneytok",tellstroy_bonus,25600,288,2523,700
5,1,original sound - 🦧,"transformation, fyp, taper, fluffyhair, haircut, barber, funny",mysterio_taperologist,802200,1720,35400,1289
5,2,original sound - 🖤,"ddot, @sugarhillddot, ddosama, ddosamaandddot, oy, ddandddot, nottiosama%F0%9F%95%8A, sugarhillddotedits, sugarhillddotedit, sugarhillddot, ddotsugarhill, ddosamaedit, ddosamaedits, ddotedit",booyouslut1,22900,46,2671,139
5,3,original sound - Kezzy,"kezzy, familytime, familygames, following, challenge",jkezzyfannew,195400,3616,13400,2262
5,4,original sound - House of Highlights,"cheerleading, cheerpractice, backfliptutorial, backflip",houseofhighlights,160600,892,5167,331
5,5,original sound - CreepyStoriz,"creepy, scarytexts, fyp, foryou",creepytextz,5868,86,1083,55
5,6,original sound - Kevin Silberman,"fyp, teachersoftiktok, nappingclass",silb0017,307900,0,23100,1948
5,7,original sound - FRO 🤠,"dadreflexes, securitycamerafootage, shoutoutot",overtime,5000000,19300,446900,51200
5,8,PISTOL PACCIN - NLE Choppa & BigXthaPlug,"fyp, nlechoppa, bigxthaplug",nlechoppamusic,499100,1964,23500,1593
5,9,original sound - Rowheim Farooqui,"astonmartin, kfc, dallas",rowheimfarooqui,1611,56,241,37
5,10,son original - POPSMOKE 👑,"popsmoke, popsmokeofficial, popsmoke, %F0%9F%92%AB, gatti, okey, lyrics, fyp%E3%82%B7%E3%82%9Aviral, foryou, fyp%E3%82%B7, pourtoi, fyp",pop_smoke1999,10900,0,975,187
5,11,MONTAGEM CORAL 1.0 - HE'S BACKKK! - SHADXWLXRD,,campax7,411,1,30,79
5,12,original sound - Jay Tells You,"fyp, viralvideo",jaytellsyou,12000,67,1449,35
5,13,origineel geluid - Sc : Zevenhamieddd👻,"fyp, airpods, funny",hamiedjackson,72800,516,6577,1826
5,14,I Wouldnt Mind - ♱,"stanleycup, snacks, tumbler, stanley",stanley.bites,246500,4319,23700,10500
5,15,Shotta Flow 7 - NLE Choppa,"shottaflow, fyp, nlechoppa",nlechoppamusic,100200,465,5230,219
5,16,original sound - Unethical LifeHacks,"candaceowens, candacereacts, relationshipadvice, disrespect, modernwomen",onlythoks,576800,34300,41500,6511
5,17,this feeling - Øneheart,"obabubba, fouryoupage, viral, xyzbca",obabubba2,122300,999,7195,423
5,18,original sound - RiseStrong,"n3onclips, n3on",_entertainmentclip,60800,236,2515,67
5,19,original sound - PRIME,drinkprime,drinkprime,308500,2596,19500,979
5,20,original sound - SwagBoyQ on IG,"mystery, gift, fyp, swagboyq",swagboyq,142700,868,6104,340
5,21,الصوت الأصلي - ديري,"fyp, funnyvideo, funny, trending",_respect.official,1106,6,81,21
5,22,original sound - BERNEZ559,"@bffspod, @559bernez",barstoolsports,384300,1568,27000,15200
5,23,sweet caroline but dark academia - fingerbib,"toy, tiktokmademebuyit, fidgettoys, ball",superbounce_,14200,538,682,248
5,24,original sound - 🎧MUSIC & VOICES🎧,"thevoice, thevoicekids, rihanna, diamonds, diamondscover, foryou, fyp, voices",melodymiracles,3400000,19800,323000,25100
5,25,original sound - Amyah💕,"fyp, tiktok, familyflawsandall, tiktokchallenge, rewindablemoments, blowthisup, amyah_bennett, aj, viral, viraltiktok, fypage, trend, notamyahh%F0%9F%92%95",amyahh_bennett,105500,478,18200,356
