batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19900,170800,108600
1,1,You Can't Beat Me Challenge Jersey Club (Suunnnlight Vocals) - YKaY,fyp%E3%82%B7,chasityromann,327900,989,48600,2007
1,2,original sound - Jay,,diamantblazi,18300,434,1933,262
1,3,original sound - Lovelymimi,"@nakia3127, @yafavv..lightskinn, @lecordonbae, @icemikeloveasia_, family",lovelymimi865,253000,377,11300,223
1,4,original sound - :),"guesswhossinging, style, taylorswift, guessthesinger, theatrekids, childrenstheatre, oceancountynj",bcctplay,10100,1879,497,23
1,5,original sound - billy,"lifestyle, party, drinking, vape, fun, holidays",billyvsco,167000,1110,7114,679
1,6,Love You So - The King Khan & BBQ Show,"@nazgotstacks3k, allstar3k, roblox, fyp, foryou, robloxfyp",allstar3k4l,34000,380,6921,147
1,7,Rompe - Daddy Yankee,,kkarlaregina,98700,328,6124,784
1,8,UKRAINE - Jay Hound & Jay5ive & SweepersENT,,nolimitjay_,235200,1588,23000,971
1,9,Ava - Famy,"hair, hairstyle, best, hairmenstyle, barber, fyp",misterminds_,689800,1999,61600,1638
1,10,original sound - Alana Cho,,alanachoofficial,475800,224,19700,390
2,0,original sound - Nickelodeon Edits,"diegovalazquez, thethundermansreturn, mayaleclark",de_nick_actor,947100,3618,87400,2950
2,1,Lovin On Me - Jack Harlow,"jackharlow, lovinonme, cats, rap, hiphop, raptok, cat, catsoftiktok, fyp",chillestcat,1800000,20800,209400,78300
2,2,original sound - princeandtati,"@fashionnova, @novamen, couples, cute, couplegoals, tati, fyp, fyp, marrigehumor, love, maynardstv, funny, marrigevibes",maynardstv,48800,114,817,277
2,3,original sound - James Charles,,jamescharles,47300,819,1576,539
2,4,оригинальный звук - scar1exa,"fyp%E3%82%B7, foryou, viral",kimsempaii_,425500,3015,31500,9454
2,5,original sound - Tay,"fyp, foryoupage, armystrong, talltok, fyp%E3%82%B7, xybca, viral, army",jfoggisback,2800000,43000,143100,35000
2,6,original sound - 🤷🏻‍♀️🤷🏻‍♀️.,"fyp, perte, rizz",mahim.tn,41200,305,4170,577
2,7,Adoption - 🧦Funny.Bone.956🧦,"adoptme, adoption, adopt",funny..bone..956,831000,17600,48000,21600
2,8,Epic Legend - Auracle,"mcdonaldsfries, mcdonaldsfrenchfries",bestfoodsecrets,76400,1470,41900,13000
2,9,triggered Jhené Aiko - laurynmaree_,miyanevaeh,themiyanevaeh,108300,482,10800,131
2,10,Under the influence sped up - user79519619503,@muscintime,yass_ootd,2400000,8879,184000,9719
2,11,original sound - 🥰✨💖 Penelope 💖✨🥰,lilsis,ddperez4,432700,1293,13800,4481
2,12,original sound - That funny guy 😆,tiktok,lilwavvevlogs,2200000,28000,269200,29100
2,13,Ick - Alt Ending - Lay Bankz,"tallguy, tallgirl, flexible, longlegs",shanetemara,4439,58,319,50
2,14,original sound - Brooke 👩🏼‍🎤,,nadeshaig,53400,178,5206,140
2,15,original sound - Kid Malavic,"fyp, @mara.rosenthal",bigscarps07,432100,3149,44300,3923
2,16,original sound - Cameron Roh,fyp,cameronrohpovs,75300,1010,13200,369
2,17,original sound - The Royalty Family💕💕,"other, royalfamily, fyp, theroyalfamily, foryou, reafamily, royalty, theroyalfam, realtyfamily",theroyaltyfamily225,95500,1091,8368,244
2,18,original sound - BAYYY,,baylen.dupree,162800,3323,8691,16000
2,19,son original - ISAKU 🌸,"capcut, roblox, fyp, brookhaven, robloxedit",isaku.k,431300,15200,78800,8096
2,20,MR. TAKE YA B*TCH (FEAT. CHRISEANROCK) - Lil Mabu & CHRISEAN ROCK,"@howardhannah_, @jadakrystyn, @ava_perroni, @ella_squaires11, @mya_t_, @julijacabooo, @jolie.torrens",chriseanrockbaby,372700,1267,11800,633
2,21,The Mop - TisaKorean & Kblast & Huncho Da Rockstar,"fyp, mop, dance",s.tevie._,616400,2382,75800,4473
2,22,Funny - Gold-Tiger,"hair, foryoupageofficiall",fabentekle,562100,1808,22600,2755
2,23,original sound - tysonrain,"drinkprime, prime, ksi, loganpaul, viral, fyp",primecreations1,64400,23800,9287,554
2,24,original sound - TheRealQueenKema,boymom,therealqueenkema,308300,10900,29200,1106
2,25,Solas X Interstellar - Gabriel Albuquerqüe,"vlog, shopping, wife",lionlindaa,133400,689,4921,1559
2,26,original sound - Snow.bunny.isla,"outdooradventures, offroad",snow.bunny.isla,3525,14,165,26
2,27,original sound - JAZZY ❤️‍🔥🇮🇩,"fyp, femalefriendships, womenempowerment, love, datingadvice, relationship, selflove, boundaries, bigsisteradvice, girlssupportgirls, oatsidecoffee",jazzybaby99,1800000,23400,221800,26400
3,0,original sound - 🧍🏾‍♀️🧍🏾‍♀️,@dexrated,matt8mccall,1400000,11500,109200,49600
3,1,original sound - The Rock and Roll Playhouse,"@tontaniaa_, taylorswift, traviskelce",therockandrollplayhouse,22300,329,3468,494
3,2,sunet original - AL RAFAELO,"rafaelo, foryou, dubai",rafaelo.ro,36600,511,2482,161
3,3,original sound - KEEMOKAZI,,keemokazi,333000,2877,31400,2215
3,4,original sound - 💋💋,dance,lala_sadii,89000,810,4691,92
3,5,original sound - tylar vegas,"foryou, fyp, sisters",tylarvegas,918000,6532,53900,15300
3,6,original sound - kallsninfcr,"pov, storytime, fyp, trending",kallsninfcr,68400,8024,14500,3347
3,7,original sound - A,"dayinmylife, ghana, africa, family, sendmeonmyway",mireclary,12400,44,369,28
3,8,original sound - Shells Life,"fastafboiiiii, emslife, paramedic, paramedicsoftiktok, ems, emtsoftiktok, emt, emshumor, fyp",brandalynnlei,337400,844,13500,7334
