batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19900,170800,108600
1,1,I Have No Enemies - ★DGK132105,,itsmiawaifu,45700,1086,27400,1548
1,2,nhạc nền - us.cominghome.99,"cominghome, surprise, soldiercominghome, military, viralvideo, fyp",us.cominghome.99,11400,252,9492,71
1,3,оригинальный звук - никто,,esterbron1,44200,375,144800,478
1,4,Following just the New tiktoker - TikTok Queen🇧🇪 🇮🇹,ladykaylive,lady.kay_,252000,143300,186800,70500
1,5,Epic Inspiration - DM Production,,graciebonr,175600,5465,77300,19100
1,6,original sound - Kenayo Frederick,"fyp, fu, freesaucegod, highlightertutorial",nhlfreesaucegod,274400,1647,96000,4381
1,7,original sound - Put A Finger Down,,jordansmikle,298500,34400,32500,209600
1,8,original sound - eminem 😉 >>,"fit, fitness, fittok, fitcheck, outfit, outfitideas, lululemon, eminem, polishgirl, poland, polish",imcocolemonxoxo,66800,779,222600,485
1,9,original sound - Nathan Legagnoux,"fyp%E3%82%B7%E3%82%9A, foryoupage, specialforces, soldier, military, militaryedit",nathan.legagnoux,624100,4792,168500,25800
2,0,original sound - Kilimall Tech,"kilimalltech, electricscooter, electricvehicle",kilimall.tech,52100,2752,3962,2458
2,1,original sound - Stan :),"taylorxhairstyles, hairstyle, hairtutorial, easyhairstyles, valentinesday, valentinesdayhairstyle, hearthairstyle, school, schoolhairstyle",taylor_pfeffer,15500,116,4738,1558
2,2,оригинальный звук - Весёлые открытки,"14%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8F, %D1%81%D0%B4%D0%BD%D0%B5%D0%BC%D1%81%D0%B2%D1%8F%D1%82%D0%BE%D0%B3%D0%BE%D0%B2%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%B0, %D0%BF%D0%BE%D0%B7%D0%B4%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5, %D0%B2%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%BA%D0%B0, %D1%81%D0%B4%D0%BD%D0%B5%D0%BC%D0%B2%D0%BB%D1%8E%D0%B1%D0%BB%D0%B5%D0%BD%D0%BD%D1%8B%D1%85, %D1%81%D0%B4%D0%BD%D0%B5%D0%BC%D0%B2%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%B0",prikolnieotkritki,141500,2970,16500,132000
2,3,love on the brain sped up - xxtristanxo,"hairtok, valentinesdayhair, valentinesdayhairstyle, clawcliphairstyles, clawclip, cutehairstyles, longhairstyles, schoolhairstyles, hairstyletutorial, hairstyleideas, hairhacks101, hairtransformation, hairstyle, hairhack, easyhairstyles, hairstyleideas, cutehairstyles, hairtutorial, hairtrends2024, foryou, tiktoktrends, fyp, fyp%E3%82%B7",audreyvictoria_,95500,56,27200,857
2,4,Real Love Baby - Father John Misty,"lego, legoideas, legoroses, legoflowers, creative, datenightideas, recycle, fiveminutecrafts, crafts, reuse, valentinesday",dewbrick,30900,36,2616,339
2,5,Unwritten - Natasha Bedingfield,"hairstyleinspo, hairstyleideas, shorthairstyles, hairhack, valentineshair, galentines",alyssarayelee,126200,267,49100,8588
2,6,original sound - Audrey,"hairtutorial, hairtutorials, hairstyle",audreymcclelland,6251,30,3006,1196
2,7,original sound - Sarah,"valentinesday, datingadvice, datingadviceforwomen, datingstorytime",sarsland,154200,4022,2914,2201
2,8,original sound - Audrey,,audreymcclelland,12700,35,6591,3007
2,9,hot people - hutchersonfilms,"hairtok, halfuphalfdown, halfuphairstyle, halfuphalfdownhairstyle, clawclip, clawcliphairstyles, longhairstyles, easyhairstyles, summerhairstyles, hairstyleideas, cutehairstyles, hairtutorial, hairtrends2023, hairtransformation, foryou, fyp%E3%82%B7",audreyvictoria_,1100000,1134,414300,37100
2,10,original sound - Audrey,"hairtutorial, hairstyle",audreymcclelland,13100,44,6499,2620
2,11,original sound - JLPATISSERIE,"trendwatch, bakery, valentinesday",jlpatisserie,1200000,3467,40000,24500
