batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280300,627,15500,165
1,1,original sound - REEKON Tools,,reekontools,640400,3854,105200,77500
1,2,оригинальный звук - никто,,theaishahsofey,600300,5510,97100,3304
1,3,original sound - Joyceful Tingles,"asmr, asmrpov, asmrdentistroleplay, asmrdentist, pov, fyp",joyceful_tingles,410600,2532,54700,1315
1,4,original sound - Ziro,"stories, scary, newyorkcity, scarytiktok, fyp, scarystories, haunted, usa, nyc, factsfromziro",factsfromziro,285500,4148,40600,49400
1,5,original sound - Jax,"roblox, robloxfunny, robloxmicup, micup, micuproblox, robloxian, robloxian, robloxfyp, funnyroblox, funroblox, funnymomentsroblox, robloxmeme, robloxfunnymoments, robloxtroll, robloxtrolling, robloxtiktok, robloxvoicechat, robloxvr, robloxvrfun, robloxfunnymoments",anticlimaxjax,197300,850,22500,246
1,6,original sound - Stan :),,havenlough,91300,758,4332,253
1,7,original sound - kinzieboo,,kinzi3boo,181700,898,21100,576
1,8,Everybody - Nicki Minaj,greenscreen,imnothae,105100,4430,14000,507
1,9,big boy sza - normusreedus,"viral, foryou, fyp, pastorbelga, groenandael, perrostiktokers, zoldyckfamily",drakko_1710,6300000,59600,398400,128800
1,10,original sound - Nostalgia Chick ✨,,lelasohna,63500,122,10700,408
2,0,original sound - Kenzie,"grwm, vlog, slay",funnysmartcoolgirl,1100000,6475,38300,3909
2,1,original sound - Gabby Ferrara,2024,gabbyferraraaa,157400,412,12200,326
2,2,original sound - Andrew2,"tiktok, movies",vonhojsf,365100,193,13200,116
2,3,love you soo muchhh - ⭐️,"charlesdamailos, fyp, foryou, foryoupage, viral, trend, actives%3F, velocity, charlivelocity, addisonvelocity, charlidamelio, addisonrae, panning, tutorial, qrcode, vsp, ae, videostar, aftereffects, capcut",charlesdamailos,277,69,28,4
2,4,original sound - Matthew Raymond,"matthewraymond, comedy, cartoon, animation, foryou, fyp, capcut",matthewraymond_,44100,228,8526,228
2,5,original sound - Jenn Nelson,nachos,ndnelsonfam,719900,1632,40600,6035
2,6,original sound - Codename Jesse,,codenamejesse,2000000,11900,352200,35800
2,7,original sound - Sophie Fergi,,soph1efergi,389300,506,14700,205
2,8,original sound - Rextrokiller,"fyp, tending, fyp%E3%82%B7%E3%82%9Aviral, rextrokiller, dahoodshowcase, dahoodfyp, dahoodmontage, viral, xybca, xybca, skinpack, dahoodroblox, dahoodskinpack, dahoodfyp, dahoodupdate, dahoodog",rextrokiller,311700,1533,44800,956
2,9,original sound - P!X!E,"singersongwriter, pixie, homeedwardsharpe, alabamaarkansas",dontpickonpixie,376700,3776,52800,4765
2,10,original sound - Cuhvoo,"roblox, bladeball",cuhvoo,34700,675,6698,88
2,11,original sound - Thelolpodcast,,thelolpodcast,238200,1066,22600,256
2,12,original sound - NEWI🤪,"sleep, nosleep, allnighter, insomnia, stayawake, relatable, fyp",newiszn,72300,5251,8149,409
2,13,original sound - Terha.,"memes, blowthisup, floptok, shorts, justjokes, trending, realdankclips, viralvideo, realdankcrops, fyp%E3%82%B7, memestiktok, jokes, dankvids, relatable",dankvids1,387200,8159,50400,7463
2,14,original sound - Sour King Drew,"viral, fyp",sourkingdrew,313300,6947,32600,2169
2,15,original sound - zymovie,"fyp, movie, foryou, movieclips",spop147,70800,675,11600,1428
2,16,original sound - Katie Boff,"fyp, chiropractortiktok, bodycracks",ktbofff,581700,12600,63600,13600
2,17,dance the night away sped - 💗 S O U N D S 🐆,"@islayedallday, fyp, viral, xyzbca, nails",random_4025,27100,6569,5774,432
