batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - REEKON Tools,,reekontools,640400,3854,105200,77500
1,1,original sound - ★ seplix,,brookemonk_,968000,2252,50000,1258
1,2,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280300,628,15500,165
1,3,original sound - Lazy Pot Noodle🍜,"lazypotnoodle, foodie, foodies, foodtiktok, foodtok, easyrecipes, food, funrecipes, recipesoftiktok, dinonuggies",lazypotnoodle,2800000,13700,244100,39600
1,4,original sound - Y7,"fyp%E3%82%B7%E3%82%9Aviral, fyp%E3%82%B7, fyp, famous",braebrae60,202600,603,7678,158
1,5,original sound - Lala,"pov, foryou, acting, heyjoshua",lala_sadii,257600,1761,20600,463
1,6,sonido original - 🌈Grecia Añez🌈,"parati, @theblessedstore_scz",greciaaaaaaaaaaaaaa,89700,350,5439,278
1,7,The Mop - TisaKorean & Kblast & Huncho Da Rockstar,"xyzcba, fyp, viral, funny",patrickkdonley,72800,1020,6110,454
1,8,Valentine's Day - Linkin Park,"valentinesday, 2000s, nostalgia, millennials",jessicaconrad__,181200,879,16700,878
1,9,original sound - Didios,"things, boys, advice",didiios,23700,2410,3652,8989
1,10,Simple Pleasantries - Arthur Benson,"breathalyzer, breathalyzertest",stephenmakesvideos,787400,1162,36800,717
1,11,orijinal ses - caner,"fyp, trending, viral, couple, relatable",kokoandsymba,134900,329,8916,258
2,0,오리지널 사운드 - ZEPETO Official,"blackfridayzepeto, capcut, blackfridayzepeto, BlackFridayZtyle, ZEPETO, Blackfriday2023, BlackFridayZepeto, ZEPETO, BlackFriday, blackfriday2023, blackfridaydeals, blackfridaysale, ootd, zepetofyp, fyp, zepetoedit, zepetopreppy, zepetofamily, imvu, roblox, sims, minecraft",zepeto.official.tt,16700,385,2588,168
2,1,Originalton - Sigita,"sigita03, foryoupage",sigita03,269800,2126,16200,23800
2,2,original sound - it’s your fav familyguy clips,foryoupage,tbhcacagirl,1500000,7440,112100,6578
2,3,TOO LATE - OX 👁,"mattox, oxalwayswins, kidrapper, motivation, motiavational, inspire, youth, phillytiktok, philadelphia, moneytok, hustlecheck, retired, trending, foryoupage, playboicarti",oxalwayswins,144000,1045,12500,178
2,4,original sound - UziDaily,"bsf, blowthisup, fyp, @_r.egina",117._0,144400,2528,17300,1903
2,5,original sound - KEEMOKAZI,,keemokazi,387500,1656,28200,904
2,6,Originalton - xoxo gossip girl 💗,"fyp, diet, gym, weightloss, fit",pookieateacookie,7260,1422,1071,401
2,7,original sound - xylo,"fyp, trend, browntiktok, indian",that0nebr0wnwh0re,440500,1444,16600,1317
2,8,Mama Cry - YNW Melly,"fyp, carringtonhenry, trending, goviral, motivation, motivacional, storytime, shot, bitrthday",carringtonhenry,797100,10800,37900,2523
2,9,original sound - The Mannii Show,themannii,the_mannii,72100,758,11700,2106
2,10,original sound - Thelolpodcast,,thelolpodcast,238300,1067,22600,256
2,11,original sound - KEEMOKAZI,,keemokazi,954200,6556,88600,2081
2,12,original sound - hunjoe,,hunjoe,170100,729,24100,841
2,13,orijinal ses - caner,"fyp, trending, viral, couple, relatable",kokoandsymba,633700,2495,26300,8470
2,14,original sound - ❤️‍🩹,,taliahaam,935100,6215,64599,23400
2,15,original sound - Jack Doherty,jackdoherty,jackdoherty,119000,633,13100,125
2,16,ill do it - blinded!,"fy, fyp, foryou, foryourpage, viral, teeth, whiteteeth, celebzteeeth",celebz.teeeth,39000,2942,4439,104
2,17,The boy is mine - ★,@_seraphsworld_,c4pr1i,484000,1897,43100,635
2,18,joshuasamuels follow me - 00:00,,jadenrabago,122600,149,6677,723
2,19,original sound - Luke Davidson,,lukedavidson_,640200,3089,57700,5484
2,20,ken carson bass boosted - miguel,"fyp, drinkprime",playboyjuju,9915,148,965,158
2,21,voices - Øneheart,"fyp, crush, viral",joshterrellclips,14900,112,1317,42
2,22,IT GIRL OUT SEPT.30th - aliyahsinterlude,"kristyson, fyp, fyp%E3%82%B7, foryoupage, foryou, parati, viral, xyzabc, trans",javx.errx,191200,7695,17300,694
2,23,Love songs - ⭐️,,sna_couple_,55300,1068,6119,2929
2,24,Boomerang - Jojo Siwa,,itsjojosiwa,984200,4101,27200,1394
2,25,оригинальный звук - ★,,bogatiinov,3500000,23300,287700,14000
2,26,original sound - Cuhvoo,"roblox, dahood, justinbieber",cuhvoo,236900,1425,40300,354
2,27,Thank you to my ma - postinghellcatt,"tallgirls, mother, tall",shanetemara,335700,2479,15500,1958
2,28,original sound - FTGT,"ftgt, skit, rappersbelike, genz",ftwinzgottalent,295400,1861,38100,849
3,0,original sound - The Relationship Hub,"@bloomnu, bloompartner",montanaandryan,115500,533,5867,728
3,1,SkeeYee x Sexyy Red - Sexyy Red,"ote, hoops, rollingloud, nelsonneumann",rollingloud.ote,14800,79,1312,15
3,2,original sound - theeblackbadger,"@darryl_mayes, kids, music, relatable, wiggles, lilrt, sexyyred",theeblackbadger,69000,546,15700,581
3,3,original sound - Flexidisplay,@jujutsu.editst,flexidisplay,64900,1998,6636,330
3,4,fukumean (chopped 'n screwed) - Gunna,"@bigperk204, fyp, viralvideo, hotwheels, hotwheelscollections, collectibles, christmas",theshow.box,12100,272,1389,65
3,5,original sound - ltrnllkxlxw,"tiktok, trending, fyp, foryou",ltrnldc,760800,2144,49100,12600
3,6,الصوت الأصلي - ابو هلال 2,"foryou, foryoupage, %D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9",kriswecreate.media4,16300,193,1955,416
3,7,original sound - CFood_dbe,reels,cfood_dbe,94600,616,7144,1305
3,8,sonido original - mava,"@michael.landryy, fyp, boyfriend, relationship, cute, ilovehim",abbyxcox,5000000,26000,377800,43400
3,9,Chill Vibes - Tollan Kim,"tiktokshop, pickshop, fyp, trending",autumnnmonique,109100,1391,13100,275
3,10,PITCH THAT ASS - MR. OH MY GAWD 😎,,yk.quotezz_,45400,206,3073,62
3,11,original sound - Sports by Playmaker,"@radialflipz, playmaker, sports",sport,1700000,12000,154800,68500
3,12,original sound - spo6kzie,"fyp, viral, rizz",ejaycruzz,107600,575,7426,247
3,13,original sound - Mad Facts,"fyp, crushes, boys, girls, signs",madmaskfacts,117200,12600,14600,66200
3,14,original sound - daily dose posts 💭,"lifehack, ramennoodles, todayyearsold, fyp",idailyfunfacts,348200,2375,24000,2195
3,15,orijinal ses - caner,,samdezz,1000000,1148,38900,1943
3,16,original sound - Alvardo,"fyp%E3%82%B7, foryou, movieclips, funny",alvardo.nb,397000,226,24400,255
3,17,we dont need this my man - REIGNMAXWELL,"g7hdihuvhu, fyp, viral",g7hd,489000,4695,23200,3343
3,18,original sound - Nick Kratka,"lobster, lobstertok, cookinglobster, mainelobster",nick_kratka,722500,5754,41900,2904
3,19,original sound - Jaden,,jadenrabago,102500,167,6860,411
3,20,original sound - Alex,,vaynessvalery,244900,804,36500,6325
3,21,orijinal ses - caner,,spents,7100000,21200,435000,73700
3,22,original sound - Neela Jolene,"@tacobell, tacobell, storytime",theneelajolenee,73100,2187,8382,327
3,23,original sound - caseyneistat,,caseygrbms7,32100,134,4740,142
