batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - REEKON Tools,,reekontools,640400,3854,105200,77500
1,1,sunet original - Victor drx99,"makeup, lipgloss, bigfamily, notenoughnelsons, nenfam, viral, paisleenelson",notenoughnelsonsofficial,221800,2213,16000,654
1,2,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280300,628,15500,165
1,3,original sound - Chloe🩷,"rulesformyfuturekids, rules, uk, rulesformykids, sofunny, relatable, fyp, viralvideo, viraltiktok, chloe_farquharx, xbcyza, fyp%E3%82%B7%E3%82%9Aviral, grwm",chloe_farquharx,96500,698,8393,195
1,4,original sound - Alexis,"fyp, foryou, foryoupage, viral, alexisdacreator, xyzbca",alexisdacreator,25500,231,3120,75
1,5,original sound - savana unger,,savana.unger,502800,1375,28100,4762
1,6,nymphology - ༺✮༻,"therian, polytherian, therianthropy, theriancommunity, therians, therianeducation, alterhuman, theriotype, theriantiktok, felinetherian, canadianlynx",canus_lupus,24500,2001,5451,257
1,7,Lovin On Me - Jack Harlow,"4foot8, 6foot10, fyp, fypviral, short, tall",bbelllav_,35100,365,1920,647
1,8,original sound - Beni,"fyp, s, hood, blowthisup, xybca, backwbeni, povs, povstories, skit, satire",backwbeni,676400,16800,77600,29100
1,9,original sound - Mama G,,mamag50_6,689600,7848,50600,4651
1,10,original sound - Lilyy,harrypotter,badbishlily,197600,1603,20600,541
1,11,original sound - meg!!,,skykatz,1700000,4849,82500,1215
2,0,original sound - Kriss&Esme,"getreadywithme, gym, gymgrwm, grwmroutine, lululemon, grwmmakeup",krissleos,117000,561,8906,147
2,1,123start - cyrusahac,"oldphone, passcode, pi, digetsofpi, nerd, fyp%E3%82%B7, foryou, rip",erin.cald,872300,2800,38300,1505
2,2,original sound - chrispvj,fyp,eloisemarshalll,162100,391,6732,487
2,3,original sound - Saralee🤎,"repost, foryoupage, fyp, foryou, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, lovinleee",lovinleee,861000,2067,82000,4001
2,4,original sound - poopsicle,,dyllabills,1200000,3597,69700,10300
2,5,original sound - Vez♱,"meme, edit, funny, viral, edit, vezify, growup, cringe",vezify,274400,1966,61500,3026
2,6,It's Not so Bad - Cummrs,recovery,paulieepaull,196300,14700,16500,319
2,7,original sound - Jenna Davis,"actor, actress, jenna, audition",itsjennadavis,534500,858,36400,282
2,8,original sound - RIZZ __ X. GIRL,"funnyy, viral, rizzing, rizz, confidence, pickupline",dollar.hustle2,40000,183,6794,1095
2,9,original sound - Haven Lough,,havenlough,80500,3454,6622,1105
2,10,original sound - Emily Lou,"fyp, foryoupage, viral, couple, comedy, daeandemily, @emilylou.xoxo",emilyylouu1,202400,762,20600,1553
2,11,Hot people use this - 𝐗𝐕𝐒꡴,"skincare, fyp",skyyjade,20400,341,1716,67
2,12,original sound - remix audios,,swaggerbalz,85600,497,7213,135
