batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Sweetpea 😍 Her,,glxxmike,3300000,19600,263900,89600
1,1,original sound - Selena,"fyp, blinkerchallenge, makeup",sassyselenaaaa,1100000,4186,68300,2830
1,2,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280300,627,15500,165
1,3,original sound - FULL VIDEOS BIO,"capcut, template, fy, trending, fyp, viral",full.video.in.bio80,1840,0,357,21
1,4,original sound - Cristiano Ronaldo,"foryoupage, viralvideo, futball, @brazil_national_team, @dilanramos0, @cristianoronaldo.3325, @a.random.guy489, @they_fw_ya_boy",cristianoronladodesanto,190,86,1753,0
1,5,La foule - Remastered - Édith Piaf,,giuliacorrado_,105200,1138,9861,3401
1,6,original sound - Jack Doherty,"@mckinleyrichardson, @ashleyroseclips, jackdoherty",jackdoherty,31200,551,2210,69
1,7,original sound - Claire,,yep2361,42000,1091,3102,361
2,0,original sound - DJZHY,"gymnastics, fail",sydneyshmity,286300,701,30500,3085
2,1,That's My Best Friend - Tokyo Vanity,,nevaaadaa,43800,450,4643,182
2,2,original sound - mearsmelio,"@mearsmelio, @frankimeilo, mearsmelio%F0%9F%8E%80%F0%9F%A7%81, mearsbears%F0%9F%92%98%F0%9F%A5%B9, xyzbca%F0%9F%92%90%F0%9F%8C%B8",mearsmelio,418,150,65,2
2,3,original sound - workplace film,"movieclips, foryou",workplace.film,602800,1266,45200,701
2,4,your love is my drg - audios,pivo,trashybagqueen,48100,322,3106,117
2,5,ma best friend - sophia🫡,"foryou, twins",sophia.schweik10,476500,3060,40700,3780
2,6,original sound - Law cops,"cops, police, office, trending, copsoftiktok, viral, learnontiktok",lawlos,123900,2627,9380,771
2,7,original sound - ❥ 🇪🇸◟خويلد ؟,,stephanyfoxx,10100,94,893,60
2,8,original sound - billy,"mentalhealth, trauma, parents, therapy",billyvsco,35300,598,2260,363
2,9,Left - Summer Version - iamB4,,jadelidamelio,341200,1555,34600,677
2,10,original sound - Owen Lynch,,hahowen,146900,6589,18000,707
2,11,sonido original - DANYYYY🖇️,"fyp, fyppppppppppppppppppppppp, paraguay, miincho, viral",miincho,767100,4649,100200,3304
2,12,Paint The Town Red - Doja Cat,"albedocosplay, albedooverlord, overlord, overlordcosplay, cosplay",upminaa.cos,87700,473,15200,926
