batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19900,170800,108600
1,1,original sound - Dr. Drip,"morethanateacher, fyp, teacher, teacheroftiktok, teacherlife, teacherfunny",_b.dallas,1200000,20100,76700,141600
1,2,Overcome - Skott,"slimename, nametheslime, satisfyingvideo, relaxingvideo, sensoryactivities, slimeuk",mochislimeuk,9955,26700,1181,41
1,3,original sound - Plainrock124,"fyp, plainrock124, switch, nintendo",plainrock124clips,8679,97,1419,46
1,4,Lisztomania - Phoenix,1nito_,1nito_,94300,1592,4992,407
1,5,original sound - 𝕸𝖆𝖗𝖚𝖟𝖊𝖊 𝕯𝖗𝖆𝖌𝖔𝖓 🐲,"@dejonmitchell3, lightsaber, martialarts, split, flexibility, starwars, training, transition",maruzee_dragon,288900,1289,28000,1855
1,6,original sound - RAZZ,"fyp, foryou, viral, xyzabc, foryoupage, askingstrangersquestions, askingstrangers, mysterygift, publicinterview",razz_picks2,13900,80,1051,182
1,7,original sound - Double Ds Twins,"doubledstwins, fyp, dsreact, egg",doubledstwins,358000,7821,30300,17600
1,8,original sound - Dwill 2.0 😈😈,"@big.riri4, dragonbeardcandy",410dwill45tv,83400,8778,6176,408
1,9,Aces (Sped Up Version) - dkj & sped up nightcore,"fortnite, fortnitechapter5, xpglitch, fortnitelevels, fortnitexpmaps",pzndo,716200,3707,251100,17400
2,0,Little Life - Cordelia,"ithinkilikethislittlelife, candles, fy, relatable, foryou, meme",notshaneb,440100,3033,25000,6874
2,1,Destroy (feat. Goo Munday) - Sidewalks and Skeletons,,celestialyouth,928700,8317,30600,1491
2,2,Slime Me Up - Ralfy the Plug,"fyp, viral, real, lol, relatable, alex, chino, holamami, hola",fw_johnnylol,182300,1342,18500,268
2,3,original sound - Lala,"loveisbs, foryou, grwm, rageroom",lala_sadii,210600,3511,12500,301
2,4,original sound - Theacefamily,"fyp%E3%82%B7, funny",tina_042,449000,603,28900,986
2,5,Im god - <?>,,camfant,747700,1778,96600,2889
2,6,Fukashigi no Carte Lofi Hiphop (Bunny Girl Senpai) - bvyunx,"fortnite, fyp, gaming, setup, live, cam, fortniteclips",uhpandazz,67800,595,4364,74
2,7,original sound - LexReviews,"ted, ted2, comedy, tedseries, sethmacfarlane, familyguy, starwars, lexreviews",lexreviews,1200000,8495,159800,31400
3,0,Hip Hop Background(814204) - Pavel,"@lluv4cal, lifestyle, trend, jeep, jeepcherokee, dwarfism",officialcadenteneycke,177500,705,7985,704
3,1,Originalton - ☁︎ℐ⋆ǂǂ๑☁︎,"funny, funnyvideo, funnyvideos, fyp%E3%82%B7",funnymi.i,34400,58,1581,250
3,2,nhạc nền - Part,,violaellis19833,271500,1697,20800,6508
3,3,Boundless Worship - Josué Novais Piano Worship,fyp%E3%82%B7,theewilsons,268300,1282,15400,657
3,4,Originalton - Aykan,"ishowspeed, ishowspeedclipz, viral, fy, rizz",aykronik,100100,551,9786,1020
3,5,Laughing - Gianluca Marino,"habeba, tecno, fypviraltiktok%F0%9F%96%A4%E3%82%B7%E3%82%9A%E2%98%86%E2%99%A1, tiktok_india, trend, trending, haber, trending, wiral, haber, @funnelvision",reyaz__3534,24300,269,1032,258
3,6,OMG - White Gangster,"specialeffect, interesting, specialeffects, funnyvideos, xuhuong, foryou",wsyjatibpq0,127300,1414,13400,8123
3,7,original sound - Overtime,,mxmkaa,1300000,15300,152800,31900
3,8,DODGE THIS - core5k,"edit, phonk, meme, memes, funny, northkorea, fyp, military, feeltheg",feeltheg,26800,551,2189,520
3,9,original sound - brett.michaels,"trucks, squattedtrucks, carolinasquat, carolinatrucks, chevy",brett.michaels,94500,870,2872,113
3,10,original sound - Lil Man J,"@whocanbenfingers, lilmanj, shortking, basketball, fyp, dunk",reallilmanj,23700,148,1275,52
3,11,original sound - Uploads of Fun,"uploadsoffun, comedyvideo, funny",uploads_of_fun,42000,162,4128,201
3,12,original sound - ashley rose,,ashleyroseclips,6236,35,361,11
3,13,original sound - QCP,,itsqcp,201300,624,9076,259
