batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19900,170800,108600
1,1,original sound - Zeyadeh Hetsler,"fyp, tiktok, tvshow",zeyadeh.hetsler,179900,445,10100,120
1,2,original sound - Fabio&Ben,"@faffapix, @itsbenreid, fyp, fabioandben, reaction",fabioandben,665200,3452,56600,4196
1,3,original sound - imovies,"@edna_mash, foryou, movie, movieclips, tiktok",bluemoviess,59600,285,7753,407
1,4,nhạc nền - Diana daily,"cost, vail, couple",diana.daily1,6211,26,782,25
1,5,original sound - 𝑆𝑎𝑙𝑖𝑠ℎ 𝑎𝑛𝑑 𝑁𝑖𝑑𝑎𝑙,"capcut, salishmatter, nidalwonder, salishandnidal, fypviral, foryoupage, %E2%9D%A4, edit",nalish.fpgx,55300,971,9500,501
1,6,origineel geluid - Only_Youngboy,"nbayoungboy, babysitting, youngboy, baby, funny, fy, fyp",only_youngboy,163600,1222,22100,14200
1,7,Sneaky Cat - Bagastara,"icebath, icequeen, ice, frozen, coldplunge, motherandson, matching, cute, fun, funny, winter, freezing",itskyajeub,1200000,5810,47800,10100
1,8,Feather - Sped Up - Sabrina Carpenter,,by.imanx,83900,1195,8514,1851
1,9,original sound - Paul Rogers,"movie, spirit, music, tiktok",paul.rogers842,135500,569,18600,258
2,0,original sound - 승빈Seungbin,,hwangseungbin29,99800,412,7741,526
2,1,original sound - Bl6nd1e,"couplegoals, couples, relationship, fyp",aemilst,342100,1438,37600,2601
2,2,last xmas - kpopvrycs,,asher.lara,107000,674,8639,125
2,3,original sound - julie <3,,elizabethgrantfandom,2400000,4761,110700,19600
2,4,original sound - una_series,"foryou, viralvideo",una_series,309500,2738,22500,3492
2,5,original sound - We_Tha_Future5,"blackmom, fyp, viral, content, relateable",we_tha_future5,104900,392,11800,1869
2,6,original sound - Paigepejic,,paigepejic,2500000,3456,144700,11900
2,7,original sound - ✨Kay and Tay✨,"kayandtayofficial, couples, relationships, pregnant, postpartum",kayandtayofficial,4400000,12900,296400,20400
2,8,HOW TO UNBLOCK A STUFFY NOSE INSTANTLY - Dr. Remix,,dr.remix,899400,4458,354500,20600
2,9,original sound - carlin,"fyp%E3%82%B7, fyp",carleeleen,277100,3119,29600,2623
2,10,original sound - 🦖An🦖,"piperrockelle, viral, pellianazxn",pellianazxn,101700,783,6456,128
2,11,original sound - Chris Honda,,chrishondamovement,63600,862,3069,407
2,12,original sound - Thomas mabine,,everybodyhatesthomas1,74600,1326,6752,3330
2,13,Roundabout (2008 Remaster) - Yes,@kaylerzz._,twinkiie49,309000,1054,26600,3729
2,14,original sound - GoofyCredits,"mall, rizz, askingout, real, fyp, fyp%E3%82%B7, viraltiktok",goofyahcredits,128000,348,10800,588
2,15,十宗罪(治愈系) - 气质隆Sir,"fyp, fy, kidney, cheated",unique.planet,53600,395,3648,526
2,16,original sound - ✨Kay and Tay✨,"kayandtayofficial, couples, relationships, pregnant, postpartum",kayandtayofficial,596300,1391,29600,899
2,17,scorpion - S C O R P I O N ✪,"@hhdh27373, fyp, funny, viral, family, familyfun",therealstreetfamily,26200,59,790,34
2,18,Pope Is a Rockstar - SALES,"fyp, viral, smallbusiness, cute, fyp%E3%82%B7",anxietycouple,198000,609,13000,231
2,19,original sound - Dayquan & Arianna,"guessthecelebrity, guessthecelebritybytheirlips, guessthecelebritybytheirmouth, couplescomedy, coupleschallenge, dayandari, capcut",dayandari,108500,294,6817,156
2,20,Aesthetic - Tollan Kim,"cats, catnames, catsoftiktok",animalsdiscovery1,44400,22900,6627,874
2,21,IT GIRL OUT SEPT.30th - aliyahsinterlude,"tiktok, foryou",trippydraws,764600,1230,59300,2234
2,22,original sound - EX7STENCE™,fyp,kaylamalecc,234200,1526,6774,135
2,23,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"foryou, viral, acting, pov, fyp, foryoupage, parati",tokunafaulk,67900,331,16900,511
2,24,original sound - Kenzie Jones,teachersoftiktok,kenziejonesss22,509500,2339,42900,2454
2,25,Aesthetic - Tollan Kim,"foryou, movie, fyp, film, fyp%E3%82%B7",tk.steve,166300,143,6631,147
2,26,original sound - Divine Ace Music,"nickiminaj, bigfoot, meganslaw, fyp, prankcall, subways, entertainment, gonewrong, scary",divineacemusic,204500,432,13500,294
2,27,2 Phones - Kevin Gates,,toefiddler1001,34500,148,2828,300
3,0,original sound - 승빈Seungbin,,hwangseungbin29,645200,2438,35500,2392
3,1,push pop - tae,"shavingtips, spaathome, shaveyourface, dermaplaning, wildpier, tiktokshopblackfriday",wildpierbeauty,980500,2499,75800,7328
3,2,Where you are (Vocals only) - Halal Beats,"facts, random, didyouknow, crazy, learn, education, tiktok, curious, satisfyingvideo, life",factzdistrict,45600,25700,5379,50400
3,3,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,,sabyhesri,162700,1738,19100,343
3,4,original sound - Matthew and Ryan,"prank, funnyvideos, reaction, couplestiktok",matthewandryanuk,83800,402,5165,399
3,5,Fluffing a Duck - Kevin MacLeod,onewithnatalia,nianaguerrero,13300000,58000,1100000,66700
3,6,bless. - suritasarapist69,"fyp, crush, viral",joshterrellclips,155400,580,16000,172
3,7,original sound - Logan Micke,loganmicke,loganmicke,142500,359,6305,192
3,8,original sound - Antonio Grand,"relatable, onlineclass, quarantine, school, university, asian, meme, fornite, amongus",cheesycarl,253100,1321,20000,1789
3,9,original sound - luoruibm,"fyp, foryourpage",luoruibm,10900,50,1037,621
3,10,original sound - mija,"elevator, disaster",swagmoneyyyy,2800000,9107,269000,9782
3,11,original sound - Ethan Steele,,ethan.stee1e,1200000,5577,128300,5982
3,12,original sound - 승빈Seungbin,,hwangseungbin29,1500000,8377,73400,17300
3,13,original sound - Money| Life,,moneytipsfor,343900,19300,17700,1248
3,14,original sound - ✨Kay and Tay✨,"kayandtayofficial, couples, relationships, pregnant, postpartum",kayandtayofficial,2300000,12300,102500,6341
3,15,original sound - TextPlots,,textplots,69500,167,5552,380
3,16,original sound - Fabio&Ben,"@faffapix, @itsbenreid, fyp, reaction, fabioandben",fabioandben,264200,1010,17100,1056
3,17,last christmas - ‍r7ptor,,millierock800,314000,1547,15700,2697
3,18,original sound - Twan,"@_bettina.xo, twan, basketball",twan,95700,313,6338,328
3,19,The Little Mermaid (Marimba Remix) - Harry Goes Boom!,"fyp, foryoupage, viral, xyzbca, floptok, mylittlemermaid",taattoedheaarts,3200000,64300,278300,55300
3,20,original sound - Laleh • Parenting Laughs,"momlife, parents, funnykids, momhackskits, momsoftiktok, eatinghealthy, momanddaughter, momsoftiktok, momcontent, parentinginamw",inamotherworld,326200,949,23900,1275
3,21,Elevator Music - Bohoman,"fyp, albino",fleuralbina,1900000,15000,56000,3189
3,22,Already Under by Toosii - Toosii,"@toosii, army, reunion, heartfelt, wholesome, deployment",justhappytears,20200,30,661,27
3,23,orijinal ses - caner,"picture, foryou, scoliosisbrace, trend, goviral, takealookofmygirlfriend, korsett, scoliosis, fyfyfy, scoliose, fyp%E3%82%B7, foryoupage",akbadsobernheim,35900,404,2505,261
3,24,mary poppins - Little Green,"%E5%8C%BB%E8%80%85, %E7%B3%96%E5%B0%BF%E7%97%85, diabetes, insulin, dexcom, %E8%A1%80%E7%B3%96, %E3%82%A4%E3%83%B3%E3%82%B9%E3%83%AA%E3%83%B3, t1d, doctorsoftiktok",doc.oftiktok,124900,253,5581,138
3,25,Untitled #13 (Super Slowed) - glwzbll,"mortalkombat1fatalities, mortalkombat1, mortalkombat1fatalities, foryou, foryoupage, fyp, gamingontiktok",jafferyh,234900,1917,27600,4168
3,26,original sound - xylo,"@stickyrice14, relatable, meow, asian, joke",calpzxx,121000,1680,14700,1922
3,27,original sound - Masoud Challenge ✔️,"shorts, asmr, fyp, tiktok, gameoftiktok, fypviral%E3%82%B7, goalkeeper, tiktokforyou, asmr",masoudschallenge,110700,212,5011,216
3,28,original sound - Probably_Not_Chris2,,probably_not_chris2,856100,1883,118500,5597
