batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19900,170800,108600
1,1,Originalton - marinas.poison,"fyp, foryou",imthe_annag,170700,833,13400,98
1,2,original sound - 🤟🏻Jurassic world🤟🏻,"volcano, mashedpotatovolcano, mashedpotatovolcanowithbroccolitrees, yummy, @wesintn",hayleyintn,755500,9319,81500,80500
1,3,original sound - ®️ Louieveegang💙,@flex.nas,louieveedee,18300,132,1342,37
1,4,A thousand years - Zeus,"surprise, comebackhome, soldiercominghome, militarycominghome, soldiers, military, soldier",surprisecominghome,73400,944,10900,358
1,5,original sound - Ryan Tang,"interview, kind, bekind, love, spreadlove, fyp",itsyaboyryantang,12100,42,658,57
1,6,original sound - Blakifur,"fortnite, fortniteclips, fortnitememes, fortnitememe, fortniteclan, fortniteclantryouts, fortnitefunnymoments, fortniteclips, fyp",blakifur,28000,260,4559,221
1,7,original sound - KINGDOM_BULLIES,"americanbullykennel, xlbullypups, fyp%E3%82%B7, puppiesoftiktok, xlbullytrainer, youpage, dogtrainingadvice",kingdom_bullies,59800,589,3662,790
1,8,Love You So - The King Khan & BBQ Show,,tumudukok,176500,712,14300,815
1,9,original sound - Debbie Valdez,"fyp, foryou, couples, couplecomedy, foryoupage, relationship, funny, relatable, couplegoals, couplestiktok, humor, viral, trending, boyfriend",debbiekval,177800,404,12900,3320
1,10,original sound - GOD MY CREATOR,,faithsolomon11,108800,31900,13800,10600
2,0,original sound - Karolina Czekaj,"@kaden_olisoff, asmar_cut, trend, f%C3%BCrdich, deutschland, tutorial, fyp, kesfet, friseur, ffm, barber, explore, asmr, viral, hairstyle",asmar_anwar,12000,145,935,127
2,1,original sound - Mc Shem Comedian,,mcshemcomedian,244700,1291,10000,4177
2,2,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,fyp,toodirtydom,2900000,23500,180700,24900
2,3,original sound - Jacob & Co.,,ted_player1,21200,1780,1810,2232
2,4,original sound - DOVE CLUBB🕊️,,doveclubb,79500,98,3180,106
2,5,act ii: date @ 8 - 4Batz,,dcbris,503000,1765,68500,7445
2,6,A Day in My Life - Soft boy,foryou,comebaby789,11400,76,1128,123
2,7,original sound - Miss_Snowwolf_jku,,miss_snowwolf_jku,8317,59,420,37
2,8,original sound - Elise Ecklund,,eliseecklundx,569900,6289,65200,6657
2,9,original sound - Matt Brockman,"trickshot, trickshots",magicofmatt,4000000,2844,146700,6222
2,10,original sound - Logan Miller,,loganmillerx,895900,1625,33700,863
2,11,Hill Castle - Solitude Soul,"doglover, savedog, straydog, dogsavelife, fyp, foryou, puppy, pet",saveanimals.duc68,108200,3346,4042,1934
2,12,voices - Øneheart,"fyp, crush, viral",joshterrellclips,19600,139,1687,57
2,13,Bag Season - Jay Lewis,"fypage, builtnotbought, offroad, hondafourtrax300, cobraaxles, fourtrax300, racemotor, fourtrax, foryoupage, nitrous, superatvportals, superatv, nitrousbike, fyp, 1997, jtx, jtxforged",bailey_mayer,22300,77,1748,101
2,14,original sound - mckinley richardson,,mckinleyrichardson,7039,40,524,8
2,15,original sound - ItsDripKid,,itsdripkid,55200,726,4365,60
2,16,A thousand years - Zeus,"cheating, surprise, soldiercominghome, militarycominghome, soldier, soldiers, military, comebackhome, army",surprisecominghome,296500,4618,36800,5283
2,17,"Spooky, quiet, scary atmosphere piano songs - Skittlegirl Sound","scary, slenderman, caughtoncamera",scareplanet,120300,3342,21500,2610
2,18,original sound - Retro Toy Seller 🧸,"burgerking, scoobydoo, nostalgia, fyp, viral",retrotoyseller,17800,113,1480,149
2,19,Savage Diabetic Edition_ExpressionMed - ExpressionMed,"diabetes, t1d, typeonediabetes, dexcom, dexcomg6, expressionmed",clintonsvatos,480700,3291,24600,2059
2,20,original sound - Hoops Nation | Sports,,hoopsnation,60300,759,10900,861
2,21,original sound - Donna Sinatra Dalessandro,,the_fabulous_donnadonna,223200,501,15600,944
2,22,original sound - GOD MY CREATOR,,faithsolomon11,89100,36000,15000,7713
2,23,origineel geluid - cutestnalish,"nalish, salishnidal, foryoupage, makethisblowup, edits, cute, @nidalwonderr_",cutestzaynie,59900,132,4126,75
2,24,I Get to Love You - Acoustic - Mysha Didi,identicaltwins,annatwinsies,124600,1095,5169,734
2,25,original sound - Chris and jasmin,"airplane, breakup, drama",chrisandjasmin,3284,111,409,114
2,26,nhạc nền - Fanny.baby.u6,,funny.baby.6,261899,3420,33100,21300
2,27,original sound - brittikitty,,brittikitty,735900,2624,27200,1127
3,0,оригинальный звук - 🫀,"jeeptrackhawks, hellcatdaily, srtkozy, hellcatcharger, hellcatfam, hellcatrecords, hellcats, dodgechallengerhellcat, widebodyhellcat, scatpackclub, scatpackcharger, moparnocar, moparlegends, moparspeed, moparofficial, moparfreakz, mopargirl, mopargang, mopar4life, moparpower, moparworld, moparlove, modern_mopar, moparfans, mopargirls, moparwomen, mopar",rahgaragee,197800,922,17900,3944
3,1,original sound - Sour King Drew,"challenge, asmr, fyp, sour, baby, gummybear, react",sour.king.drew28,1492,13,296,56
3,2,Let It Fly - Mr. Thank You,tiktok,mr.thank_you,10100,1212,766,347
3,3,original sound - Luminance Medical,"fyp, foryou, fypage, foryoupage, you, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, skincareroutine, funny, coldsore, xybca, tiktokmademebuyit, viralvideo, reactions, viral",luminancered,8280,129,1370,64
3,4,original sound - Jack Doherty,"n3on, jackdoherty, neon",jackdoherty,9237,247,698,18
3,5,original sound - Karunascoffees,"propsal, morningcoffee, husband, latteart, proposalvideo, morningroutine, coffee, husband",karunascoffees,3400000,4456,111100,23300
3,6,الصوت الأصلي - ديري,"fyp, funny, trending, funnyvideo",_funny.official,34800,300,3554,3517
3,7,original sound - Mr Good Luck 💵💰,,mr__good_luck,17000,1152,1265,326
3,8,original sound - Así Comemos Aqui,"@grillers_pr, chicharron, losdurosdelchicharron",asicomemosaqui,761500,8581,56000,91100
3,9,original sound - Eidan_Sanker,"funny, corvette, corvettecorvette, corvettec8, foryou, %D7%A4%D7%95%D7%A8%D7%99%D7%95, carporn, feelcool, trend, supercar, supercars, donttouchmycar, fyp, rudeboy, capcut, viral, chevy, chevrolet, corvettestingray, %F0%9F%87%BA%F0%9F%87%B8, usa, power, brandnew, new, spotted, c8stingray, stingray, fastcars, eidansanker, %D7%A2%D7%99%D7%93%D7%9F%D7%A1%D7%A0%D7%A7%D7%A8",eidansanker,13800,40,699,79
3,10,sunet original - Leo Messi🇦🇷,messi,leomessi.reactions,20600,2163,2780,327
3,11,original sound - GOD MY CREATOR,,faithsolomon11,158500,42300,23900,21500
3,12,อูฐร้องเพลง - บุญนี โนราห์ แคมเบียม,,ornellazocco26,3917,451,634,248
3,13,original sound - Jack Doherty,jackdoherty,jackdoherty,32100,421,1655,60
3,14,nhạc nền - man.tb,,mr.man.tb,91500,543,7026,1128
3,15,original sound - Tanko_Brazy,"fy, fyp, blowthisup, funny, funnyvideos, school",tanko_brazy,70400,640,5774,3891
3,16,original sound - sarah_baurle,"swagboyq, stepdaddy",swagboyq,110200,264,7273,187
3,17,original sound - TheShowlorios,"fz150, foamzone150, shoedoc, shoecleaner, 150bucks, jordan3",theshowlorios,511700,713,25400,1631
3,18,nhạc nền - mylove,,mylove.isaacan,20300,54,1635,66
3,19,original sound - Treasure Hunt,"treasure, treasurehunting, money, safe, fyp",treasure.hunt_tt,26600,543,3208,164
3,20,original sound - KING ZEHN,,kingzehn,131400,477,16000,905
3,21,som original - Droga é o PH,"fy, rp, gta, fuga, fivem, gta5, rpgta5, r34, fugaimpossivel, complexorp, cda, phzoficial, gta6, _phzera",_phzera,113200,436,10900,635
3,22,original sound - braydin,,shafar_sjc,9936,108,586,36
3,23,"Coconut Mall (From ""Mario Kart Wii"") - Arcade Player",,joealbanese,700600,4353,87800,1252
3,24,original sound - Adam W,,adamw,989300,3844,45000,15300
3,25,original sound - Taylor 👩🏼 4 Raw Fed Dogs 🐶,"dogtraining, balanceddogtraining, trainyourdog, cutedogs, rescuedogs",tstarch,111000,156,4822,94
3,26,original sound - Rednexican,"petsoftiktok, snakes, animalsoftiktok, fyp, snakesoftiktok, snakelover",azgurl4ever,1400000,11400,52100,6194
3,27,"Suspense, horror, piano and music box - takaya","learnontiktok, truestory",nightmaretales_,29100,438,4465,461
4,0,original sound - Jason Derulo,"@brentrivera, happybirthday, reptiles, awesome, wildlife, birthdaysurprise, funny, comedy, lol, tiktok, animalsoftiktok, reptilesoftiktok, zookeeper, wow",jayprehistoricpets,39600,188,1908,153
4,1,original sound - 🤷🏻‍♀️🤷🏻‍♀️.,"perte, fyp, rizz",mahim.tn,334600,419,23000,772
4,2,original sound - Daily Police Videos,"wholesome, cop",dailypolicecamvids,321300,500,23600,1306
4,3,love nwantinti (ah ah ah) - CKay,"losmunchiesrp, fyp%E3%82%B7, viral, trending, foryourpage, jnr, snacks, relationship, chamoypickle, picklekit, latenightsnack",jnr.squad,783300,2238,38800,6730
4,4,original sound - Sport Catalog,"fyp, trending, viral, sports, gym, gymmotivation, fitness, fitnessmotivation, snowball, baseball",sportcatalog,199700,1336,25400,1654
4,5,original sound - TSF,"funnyvideos, joke, jokes, comedy, relatable, funny, trend, friends, mall, nostalgia",twistedstylefreerunning,84500,1013,5705,1105
4,6,original sound - GOD MY CREATOR,,faithsolomon11,12700,2784,813,1738
4,7,original sound - Meinan Fan,fyp,5star.breadwinner,32800,64599,4307,896
4,8,original sound - Getti,"lowesbuckets, balloons, girlsvsboys, spinata, vegastiktok",gettishow,33900,2125,3463,780
4,9,original sound - Krispelofficial,,krispelofficial,20700,109,3412,105
4,10,"Suspense, horror, piano and music box - takaya",,infos.everyday,5115,144,888,137
4,11,original sound - yetty,,belavista_beauty_world,373000,34900,20100,7523
4,12,nhạc nền - palama_47 - Baby_Cute_no.1,"trending, funny",thuy22_tqvn,21800,83,1496,809
4,13,original sound - Funny •,"meme, funny, viral, fyp, xuhuong",meme123cute6,443200,6097,37100,9512
4,14,original sound - Steven Tirone,"fyp, nyc, foryou, xyzabc",steftee,722800,2092,59700,3907
4,15,original sound - GOD MY CREATOR,,faithsolomon11,626000,101300,43700,43800
4,16,original sound - makabaka popcorn（玛卡巴卡爆米花）,"camping, vlog, carvideos, softcar, homecar, travel, vlog, icefishing",makabaka_popcorn,309700,1947,37200,5318
4,17,Bécane - A COLORS SHOW - Yamê,,shafar_sjc,15000,49,744,50
4,18,From Tha Back - lil.Eaarl,fyp,averyforesterig,93300,488,8752,133
4,19,original sound - sherrin and yixi,,sherrinandyixi,4400000,14600,395800,26700
