batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19900,170800,108600
1,1,original sound - Snackbandits ®️,"@walmart, snackbandits, snacks, fast, kids, eat, laugh, fun",snackbandits,105600,8643,6218,2747
1,2,Aesthetic - Tollan Kim,"fyp, tiktok, tvshow",zeyadeh.hetsler,779300,1357,63500,805
1,3,original sound - Diego Pinto,,bestfoodsecrets,15400,460,7976,1367
1,4,original sound - Darshen,"@yjmoonie, desi, toxicaunt, comedyvideo",kdarshen,204500,740,14300,2021
1,5,original sound - KEEMOKAZI,,keemokazi,401500,3436,37600,1566
1,6,original sound - Theo Malls 💐,,theomalls,234100,428,13400,142
1,7,original sound - cherhubsher,"twins, motherdaughter, agefilter, momanddaughter, lookalike",cherhubsher,25800,383,2481,380
1,8,original sound - Steven Vu,"fyp, funny, comedy, viral, relatable, slam",steven.vuu,2500000,6429,313500,44200
1,9,original sound - SpotifySongs,"hacks, fun, tattoo, likes, views, followers%E2%9E%95",hacks7199,8085,326,2670,148
2,0,Inayah For The Streets - Female Rap,"fyp, funny",thelitfamily4l,19000,215,2995,89
2,1,original sound - Big Yams,,bigxyams,766100,7784,49500,29300
2,2,original sound - Nick Cannon,"@lelepons, fyp, explore, lelepons",nickcannon,232800,884,8056,1391
2,3,original sound - Kevin Silberman,"fyp, teachersoftiktok, nappingclass",silb0017,307400,0,23100,1947
2,4,original sound - Swag Tube Family Ashley,"fyp, foryou, foryoupage, swagprincess, babygoat, turnup, viral, khalanisimon, lanilove, schooldrama, schoolife",swagtubefamash_,18900,845,3091,123
2,5,original sound - KEEMOKAZI,"unboxmagicalmoments, minisoblindboxcarnival, minisoblindbox, @minisoofficial_, @minisounitedstates",keemokazi,634100,1647,35100,1016
2,6,original sound - Mr. Thank You,,mr.thank_you,28400,1146,1719,385
2,7,original sound - Nomad Rentals,"nomadrentals, dubai, tech, uae, giveaway",nomadrentals.ae,16500,181,592,68
2,8,original sound - Kamilah Baxter,"elfontheshelf, alaskaairlines",milahhbaxx,1700000,2977,50900,9777
2,9,Sweet Dreams (Are Made of This) - 80s Super Hits,quicksilver,twist.brothers,392000,608,27800,2181
2,10,"Coconut Mall (From ""Mario Kart Wii"") - Arcade Player",,joealbanese,700600,4354,87800,1252
2,11,original sound - The Mannii Show,freecomedy,the_mannii,56300,392,5015,292
2,12,original sound - SpongeBob background music,"@purple2love1, canadavsusa, usavscanada, accentchallenge, canadianaccent, americanaccent, couplechallenge, accents",lulugirl_eve,100100,2001,6454,168
2,13,original sound - Autumn Monique,"@japenpotb3w, fyp, fyp",autumnohana,29000,2618,2779,94
2,14,original sound - Alexx,"wholesome, givingback, fyp",alex.gushiken,12000,56,748,72
2,15,original sound - Funny’s is going with me,,baby_ok122,346000,669,31000,1690
2,16,original sound - Kayla Ann ✨🫶🏼💫,"@mazenbugs, fyp, fidgets, fidgettoys, satisfying, satisfyingvideo, oddlysatisfying, squishy, popit, simpledimple, emojis, emojichallenge, challenge, shopping, shopwithme, slime, blowthisup",kayladrwal02,29400,2065,2466,73
2,17,original sound - Zendex,,zendexi,127800,689,6784,3021
2,18,original sound - Jack Doherty,jackdoherty,jackdoherty,15600,315,971,35
2,19,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,,michellekopetman,86400,342,4722,169
2,20,original sound - KEEMOKAZI,,keemokazi,387900,1659,28200,904
2,21,Rocking A Cardigan in Atlanta - lil Shordie Scott,,shafar_sjc,44800,181,2591,69
2,22,original sound - Chelian Orthodontics,learnontiktok,chillingwithchelian,7832,62,568,97
2,23,original sound - spo6kzie,,abbysaltzmaniscute,207500,2886,37500,707
2,24,soak city (do it) - 310babii,"fortnitememes, fortniteclips, fyp",rapidfnn,79200,241,5188,21400
