batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,sunet original - Victor drx99,"makeup, lipgloss, bigfamily, notenoughnelsons, nenfam, viral, paisleenelson",notenoughnelsonsofficial,222300,2213,16100,657
1,1,original sound - goldenbearollie,"comedy, dogsoftiktok, dogmom, goldenretriever",goldenbearollie,1300000,13600,78200,200800
1,2,original sound - Jennifer Ngo,@davdlifts,jenniferngo,13100,176,1295,46
1,3,الصوت الأصلي - @tatabts024,"btsfunny, runbtsep109, jin, jimin, jungkook, jhope, armyforever, tatabts024, zootopia",tatabts024,232800,826,31500,1491
1,4,original sound - Kaitlin P,"povs, pov, skit, povseries, grwm, grwmroutine, grwmmakeup, sephorakids",kaitlin_p123,133300,1927,14500,279
1,5,Keep Dat Clean Radio Edit By iCandy - Soap Radio. 🧼,"@dont_look____, questions, teenmom, %F0%9F%92%9F%F0%9F%92%9F, fyp, foryoupage",evelynnandhazell,10200,40,310,4
1,6,original sound - LambbChops | Gamer Mom,,lambbchops,181200,5474,6915,8916
1,7,original sound - Cody Premer,codypremer,codypremer,243700,744,9880,382
1,8,original sound - the PRETTY CRACKHEAD 🎭,"fyp%E3%82%B7, foryoupage, therealnia, wigremoval, trending, comedy",__therealnia,624500,1805,72200,909
1,9,original sound - Jona,"arab, arabtiktok, muslim, christian",itsjoners,49300,952,5370,670
2,0,original sound - tommy,"lunch, yummy, goodgood, goodfood, foodhaul, haul, school, munchmunch, lunchbunch, roblox, tummy, theaterkids, friends, lunchideas, nastyfood",tomslunchbunch,90000,254,4669,52
2,1,original sound - Omarnutro,,omarnutro,543300,2167,79000,6772
2,2,original sound - lizx.macedo,,lizx.macedo,1700000,28500,70200,2785
2,3,original sound - Thereal.ceyana,,thereal.ceyana,210600,1944,29400,2153
2,4,Wop × Untouchable - ARNEL REMIX,,iyakhyar0v,93600,2023,6520,371
2,5,original sound - sarah lupica,"fyp, foryou, foryoupage, foryourpage, fypp, viral, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral",sarah.lupica,11900,63,1027,51
2,6,Party Rock Anthem - The Chipmunks & The Chipettes,,arukaazh,626400,2448,45600,9076
2,7,original sound - Cole and Charisma,@squirmyandgrubs,coleandcharisma,69900,366,1624,402
2,8,original sound - 🩷 kaylan grace 🩷,"sisters, gumball, gumballmachine, sisterroom, fyp, unique, runtscandy",kaylan.hedenskog,401100,457,23600,332
2,9,agora hills - ✿,,olivermoy,75300,407,7003,211
2,10,original sound - Kardash Fanss,,latishaclarkk,928500,1226,51400,817
2,11,original sound - Laker Girls,"lakers, weredancers, relatable, dancers, lakergirls",lakergirls,112900,197,5346,112
2,12,original sound - hanbanddz,"foryoupage, biracial, grwm, makeup, mixed, mixedgirl, relatable",idekatthispointb,499000,4153,38500,6312
2,13,original sound - Braxton Comer,"fyp, foryou, foryoupage",braxtonnncomerrr,173500,748,21300,626
2,14,original sound - DarryDaG🌟,"fyp, foryou, 4u, viral, xyzabc, couples, couplestiktok, cutenamestocallyourgf, cutenamestocallyourbf, darrydag, darrydaghe",darrydagheee,290100,6224,36100,20200
2,15,original sound - LOURD,"foryou, fyp, foryoupage",lourdasprec,2600000,16100,265400,52500
2,16,original sound - SpongeBob background music,"volleyball, volleyballworld, voliasik, tutorial, bolatampar, vnl, livoli2023",cikguvb,362600,920,44300,3556
2,17,original sound - albert_cancook,@jasonderulo,albert_cancook,351500,1318,27800,759
2,18,original sound - joe’s italian ice ca,"joesitalianice, anaheim, customerservice, anaheim, orangecounty, fyp, funny, comedy, jokes, customer, employee, worktiktok, christmas, weekend",joesice,290200,0,22700,394
2,19,Shape of You - Ed Sheeran,"sqhy, %E8%AF%97%E6%83%85%E7%94%BB%E5%A5%95, wangyi, %E7%8E%8B%E5%A5%95, zhoushiyu, %E5%91%A8%E8%AF%97%E9%9B%A8, snh48, fyp",lesbian4781,104700,81,10200,454
2,20,original sound - Eternal,"fyp, thrifting, depop",eterna1wear,22100,219,1043,46
2,21,original sound - milae’s life,"%ED%8E%B8%EC%9D%98%EC%A0%90, conveniencestore, icecup, icecupvideo, icecupasmr, asmr, %ED%91%B8%EB%93%9C%EC%82%AC%EC%9A%B4%EB%93%9C, 7eleven, 7elevengirl, 7elevenkorea, southkorea, seoullife, internationalstudent, korean, korea, fyp, gs25",milaeinseoul,696600,5523,34700,2985
2,22,son original - ♥️cute♥️,"funnybabyvideos, rire, lovebaby, pourtoi, failfyp%E3%82%B7%E3%82%9Aviral, capcut",so.cute.funny,791600,5852,93500,31900
2,23,original sound - KITTY,,kittylever,129900,440,6699,1211
2,24,original sound - L I V,,livswearingen,91200,309,9291,144
2,25,im gonna touch you all - jo,"foryoupage, motion, erich, wealth",methodshuttin,261100,12600,40700,1739
2,26,original sound - Rowheim Farooqui,"mcdonalds, drivethru, dallas",rowheimfarooqui,374300,1230,22300,1275
2,27,THE CATFISH ANTHEM - GeorgeMasonTV,,annamcnulty,254600,2756,13300,349
3,0,原聲 - IMZ1 | GIRLS BAND,"%E5%8F%8C%E5%AD%90, %E5%85%84%E5%BC%9F",twins.go,412900,2835,42200,3857
3,1,original sound - katie,"fyp, funny, relatable, food",katie.org,129800,451,3308,507
3,2,original sound - Kayleigh,"fastfood, fastfoodlife, fry, frenchfries, fries, tastetest, foodie, foodreview, mukbang, eatwithme, mcdonalds, wendys, chickfila, burgerking",kayleighleon,106600,2293,8549,507
3,3,original sound - The Kelley Family,"slingshot, orlandoflorida, christmaseve, kelleyfamilysister, fyp",thekelleyfamily,1000000,6625,108100,7909
3,4,original sound - Thelolpodcast,,thelolpodcast,176600,233,8766,72
3,5,original sound - Kimlizasmr,"fyp, foryoupage, food, eating, hotpot, noodles, dumplings, spicy, ramen, cooking, recipe, viral",kimnlizasmr,370700,459,14900,615
3,6,som original - alicepimentel,,.alicepimentel,321500,589,7864,1300
3,7,original sound - Jonathan Monroe,"hair, curlyhair, curls, hairstyle, hairtransformation",jonathankmonroe,136200,764,6217,766
3,8,original sound - 𝑀𝒾𝓎𝒶 ♡,"fyp, foryou, viral, grwm, grwmroutine, greenscreenvideo",xo.miya7,129199,824,14200,216
3,9,original sound - QCP,@albert_cancook,itsqcp,668300,1830,47000,2528
3,10,original sound - zymovie,"tiktok, fyp, foryou, dog, dogmovie",spop147,372900,247,24400,373
3,11,original sound - Micah,fyp,micahdaileywhite,87400,226,7534,183
3,12,original sound - Luminance Medical,"fyp, foryou, foryoupage, fyp%E3%82%B7, viral, fypage, fyp%E3%82%B7%E3%82%9Aviral, popular, surprise, tiktokmademebuyit, xybca, lifehacks, redlight",luminancered,301800,3390,28800,1887
3,13,thanks for 1000 likes - ESPvedex,"@crumblespatisserie, cake, viralvideo, ayiahsoufi, fyp",ayiahsoufi_,105800,474,6301,70
3,14,original sound - That’s So Drea,"ipadair, ipadunboxing, ipadasmr",thatssoodrea,292000,6169,35000,2432
