batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Originalton - ✰,"lowrisejeans, flarepants, skims, jewelry, hairstyle, ootd, outfitinspo, makeup",leanortizz,1200000,3877,89500,3721
1,1,original sound - Shlatfish,,shlatfish,3800000,34400,574700,61700
1,2,I Wouldnt Mind - ♱,,localadeline1,2100000,34300,127800,6882
1,3,YKWIM? - 东 百 下小 雨,"viral, sad, love, pain, real",silkyslive,562400,20200,54100,7740
1,4,original sound - 703,"fyp, funny, relatable",703.naz,381000,1111,52500,3888
1,5,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,,keemokazi,670800,14600,62000,1005
1,6,Love You So - The King Khan & BBQ Show,"fyp, learnontiktok, tiktokshop, joke, stoty, foryou",loo77962ksm,73700,3840,8226,53400
1,7,original sound - Funny Videos Daily,"newsfails, funnynewsclips, newsbloopers",everything__funny,1900000,10500,162800,24400
1,8,Beat Automotivo Tan Tan Tan Viral - WZ Beat,"fyp, fyp%E3%82%B7",dmon.8,598700,3395,72800,2653
1,9,original sound - FLOPETTE,,babynoomi,306100,3387,12300,480
2,0,original sound - Unethical LifeHacks,"candaceowens, candacereacts, relationshipadvice, modernwomen, modernrelationships",onlythoks,575900,1256,29200,1600
2,1,Dandelions (slowed + reverb) - Ruth B. & sped up + slowed,"fyp%E3%82%B7, trending, viral, couple, couplegoals, love, boyfriend, themacfamily",themacfamily,133800,838,10600,342
2,2,I’m The Shit - Sexyy Red,,imofficialm,289000,620,15400,1394
2,3,original sound - ALIZA,"inalizawetrust, fyp, hispanicparents",alizasolosu,283100,668,13000,1977
2,4,original sound - Jenna☆,"jennaortega, wednesdayxshine, jennaortegaedit, blowthisup, finestkind, foryoupage, trend, fyp, viral, content, edit",wednesdayxshine,96500,487,17400,769
2,5,New Thang - Redfoo,,donnna_art,392300,2705,118200,7749
2,6,original sound - Dak,"fyp, viral, friends, gf",dakota.izard,1900000,7593,132500,5921
2,7,girlfriend - 🪬,"ballet, dance, balletcoreaesthetic",saramariewhite,229200,151,8803,257
