batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,I Wouldnt Mind - ♱,,localadeline1,2100000,34400,127900,6882
1,1,original sound - izzy,"colbybrock, colbybrockedit, fyp, viralvideo, blowup, xyz, xplrizz",xplrizz,258000,5385,84900,5644
1,2,original sound - Funny For Work,,cappuccinono1,753000,3699,63600,125400
1,3,original sound - The__Ariel_B,@certified_.dr3,the_arielb,119700,1193,14700,275
1,4,Let Go - Ark Patrol,,annaschottin,2100000,5862,268000,26200
1,5,original sound - Bex 🧚🏻‍♀️,@prettytheycentral,__bexbeauty__,3800000,8558,404700,10700
1,6,original sound - gb,,bengawna,90100,252,4480,64
1,7,original sound - Jenny Hoyos,"cheapskate, cheap",jennyhoyosfr,7693,69,888,18
1,8,original sound - 🤪,"@thelndonlymari, greenscreen, bracescolors, braces, fyp, purple, braceface, fyp%E3%82%B7",naturalhairnerd,556400,2412,22600,361
1,9,original sound - Fabio&Ben,"@faffapix, @itsbenreid, fyp, fabioandben",fabioandben,112000,639,6483,968
1,10,Fluffing a Duck - Kevin MacLeod,,itsjojosiwa,142700,1039,2712,940
1,11,La vie en rose (Cover Edith Piaf) - 田东昱,"oilchange, ihavenoideawhatimdoing",isabelwickerr,398400,1858,17500,756
2,0,where dem girls at - fee✩,fyp%E3%82%B7,_bigbooty410,2000000,13000,163400,38100
2,1,ready or not - coinyes,,vera.jrr,304100,4721,56000,2620
2,2,Move Yo Body fazo edit - fazo💫,,uluv.luna.tuna,233500,685,30000,836
2,3,original sound - The Mindset Guy,themindsetguyy,themindsetguyy,608600,2307,19300,3736
2,4,original sound - arianagrande,"@r.e.m.beauty, asmr, iguess, helpme",arianagrande,4800000,28700,277500,16300
2,5,original sound - justinfuko,"wig, makeuptransformation, theatre, dragqueen",justinfukoo,221400,884,25200,871
2,6,sonido original - Sandraa,"viral, parati",sandraa_fabraa_,2300000,6260,165900,90200
2,7,original sound - Josh Liljenquist,,joshlilj,553800,1068,14100,396
2,8,original sound - Wilson,"figureskating, icerink, iceskater, kpop, fyp",https.wints,207400,602,16800,289
2,9,original sound - Raising Chloe,"bubbleskincare, bubbleskincare%F0%9F%92%93, thisorthat, unboxinghaul, unboxingvideo",raisingchloe_official,30900,2179,5620,507
2,10,original sound - Jona,"@moe_g22, arab, arabtiktok, arabchristian, muslim, christian",itsjoners,146300,3278,12200,1665
2,11,original sound - sherrin and yixi,,sherrinandyixi,321800,946,23000,1058
2,12,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"pickmegirl, skit, greenscreen",clawed_beauty101,89800,1369,12100,122
2,13,original sound - kate baker,,katemaries,90800,691,6306,69
2,14,original sound - The__Ariel_B,,the_arielb,23000,139,2733,275
2,15,original sound - ari🌅🌞🐚🦈,"gta, grandtheftauto, boyfriend, girlfriend, grwm, makeup, skincare, haircare, hairgrowth, storytime, ootd, outfit, summer, summer2023, fyp, foryou, viral, trending, florida, vsco, beach, beachgirl, shopping, vacation",ari.giselle333,149600,751,15600,1014
2,16,original sound - Braxton Comer,"fyp, foryou, foryoupage",braxtonnncomerrr,87500,2151,13700,2563
2,17,original sound - Lala,"coffee, foryou, fyp, school, morning",lala_sadii,152400,2550,8412,168
2,18,original sound - Kayla Ann ✨🫶🏼💫,"@shaidaamiril, fyp, fidgets, fidgettoys, satisfying, satisfyingvideo, oddlysatisfying, squishy, popit, simpledimple, emojis, emojichallenge, challenge, shopping, shopwithme, slime, blowthisup, idareyou",kayladrwal02,83100,4773,5983,143
2,19,original sound - Emilia Barth,"@topalowaa__, reginageorge, meangirls, foryou",monicakaterina,2100000,3800,118500,1722
2,20,original sound - kim🦋😘,,kim123manning,135800,11900,5074,2057
2,21,Sneaky Snitch - Kevin MacLeod,"highschool, student",goharsguide,139400,282,28800,290
2,22,original sound - studentnurse.juju,"nursing, nursingstudent, studentnursesoftiktok",studentnurse.juju,2100000,18100,77400,19300
2,23,original sound - Funny facts,"facts, curiosity, randomfacts, learnontiktok, factsyoudidntknow, viral",funnyfactsvn,498600,73200,62100,433200
2,24,original sound - Toyy,"ipad, friends, paramore, herway, herwaychallenge, presidentdeborahalivilliams, deborahaliwilliams, floptok, flopera",toyyii_,669100,2921,71900,7401
2,25,Originalton - 🫶🏼,"girlmom, summertwins, 1million, twinmom",erica14perez,257700,1359,9607,388
3,0,Love You So - The King Khan & BBQ Show,"muslimcouple, religion, muslimtiktok",mehdinatv,241900,1635,12900,184
3,1,Cha Cha - ZEDDY WILL,,kai_cenat,8100000,46100,619700,26900
3,2,som original - Camila Loures,,camilaloures,636300,732,13200,786
3,3,original sound - ✨Kay and Tay✨,"kayandtayofficial, couples, relationships, pregnant, postpartum",kayandtayofficial,1600000,4929,77700,3722
3,4,original sound - r e y a n n a (grwm),"grwmforpookies, fastgrwm, winterskincareroutine, quickmakeup, easyskincare, fypgrwm",grwmforpookies,413100,845,26000,212
3,5,original sound - Camerin kindle,"foryou, fyp, couplegoals, pregnant, couple, baby, love, @brynleekindle",itscamerinkindle,567500,850,17000,3387
3,6,original sound - 6footkillaa,"publicinterview, height, heightproblems, fyp, viralvideo, foryourpage",6footkillaa,35100,152,2287,57
3,7,a way out - my head is empty & Miranda Rain,"art, tribute, birthday",themagicmatt,149100,2881,15500,346
3,8,original sound - Derek Lipp,bestfriend,dereklipp_,2800000,9933,145700,53500
3,9,original sound - Dooney,"firstgradeteacher, love, teachersoftiktok, affirmations, positiveaffirmations, thecoolteacher, fyp",its.jnycole,155600,409,17200,135
3,10,original sound - pan_n_ice,"customerservice, fyp, trending, viral, food, satisfying",pan.n.ice,712300,2269,40200,1099
3,11,original sound - Braxton Picou,"fyp, basketball, viral, sports",braxtonpicou,50900,596,4925,836
3,12,original sound - minervawells19950,,minervawells19950,1600000,2702,111400,5744
3,13,original sound - De Veon Crystal,,deveoncrystal,516200,1716,28700,5095
3,14,original sound - JULIE♥️,"kidnapp, fyp, viral, viral_video",officaljujube,714500,23600,76000,209100
3,15,original sound - Preston Walker,prestontalks,prestonwalker__,92000,3328,4836,177
3,16,original sound - Chelsea🦦,,chelsealascher1,147200,877,7736,192
3,17,original sound - Emilia Barth,"foruou, fyp, tan, lululmeon, preppy, haul, grwm, haul, fitcheck",ryane.rr,96600,378,5213,92
3,18,son original - Lodia The Voice,"fyp, xyzbca, wisdomsociety, relatable, viral",r0dn3y_,282300,3233,10300,2469
3,19,original sound - Blink ATL ♡,"milliontatum, lifeofalashtech, lashtechmommy, dreambig, speakitintoexistence, lashtechmom",blinkatlanta,1200000,11100,101900,8177
3,20,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,,jaimeadler,190600,408,11200,727
3,21,original sound - songs.7483,kaneandprymrr,kaneandprymrr,5271,33,300,4
3,22,original sound - lauren ramos,"grwm, grwmfail, grwmfails, getreadywithme, grwmskincare, grwmmakeup, grwmmakeupedition, grwmstorytime, skincareroutine, fail, grwmfailed",ratedlaur,173200,1075,16000,179
3,23,original sound - Sophie,"fyp, grwm, dollartree, viral, blowup",sophiee_grwmm,106400,713,8525,174
3,24,Wap (Clean) (Originally Performed by Cardi B and Megan Thee Stallion) - Instrumental - Karaoke Pro,"tinasrecoverytok, recoveringaddict, jaillife, jailtok, jail",tinassee,413600,548,20100,203
3,25,Blade Runner 2049 - Synthwave Goose,"greenscreen, greenscreenvideo, class",zjeanie,81800,1164,7190,196
3,26,som original - braz,,eaebraz,897800,1288,29500,3171
4,0,Fallen Down - Toby Fox,"fyp, showerthought, facts, randomfacts, usa",factsphere0,20300,856,1311,3414
4,1,original sound - Dhar Mann,dharmann,dhar.mann,142700,550,14300,213
4,2,original sound - Matt,"mattguppsdocumentary, mattguppsenterprisesinc",mattgupps,41900,158,2542,59
4,3,original sound - Toni,,antoniabgentry,653900,4722,21900,1394
4,4,original sound - Aileenchristineee,,aileenchristineee,694300,4882,24200,13700
4,5,original sound - charleigh moriss,,charleighmoriss,101300,654,4441,95
4,6,original sound - kayla,fyp,kaylamalecc,338500,997,10600,164
4,7,original sound - SplashTwinz,"foryou, twins",splashtwinz,666700,2079,45100,880
4,8,original sound - Boip,"fyp%E3%82%B7, fyp, mcdonald, work",yuanxa_,595600,1929,62500,3060
4,9,original sound - kayla,fyp,kaylamalecc,234400,1531,12200,250
4,10,original sound - StinkyAsher,,lexibrookerivera,1200000,2384,61500,5840
4,11,original sound - spencer 💅,fyp,spencewuah,201100,3716,16000,176
4,12,original sound - Toyy,"hiding, friends, paramore, herway, herwaychallenge, presidentdeborahalivilliams, deborahaliwilliams, floptok, flopera",toyyii_,215700,440,22700,761
4,13,original sound - alyssa_movies,"movie, movieclips, foryou",alyssa_movies,622500,1168,49700,722
4,14,original sound - zople,"fyp, disney",thezople,523900,1133,45800,4271
4,15,original sound - Derek Lipp,"son, dad, grandma",dereklipp_,287400,1052,19600,4684
4,16,original sound - Peterhan,"homeless, homelesspeople, fy, helpinghomeless, helpingpeople, fyp, helpingothers",peterhan89,98600,617,5557,124
4,17,original sound - haileena,"mom, dad, genetics, twins, twinmom, momcontent, curlyhairtutorial",cierrahneal,129600,581,5045,598
4,18,Fluffing a Duck - Kevin MacLeod,onewithnatalia,nianaguerrero,13300000,58100,1100000,67000
4,19,original sound - hoodessentials,,hoodessentialz,161400,483,14400,381
4,20,original sound - Joyce Ellis,"hairtie, nohairtie, kidshairstyles, blackgirlhairstyle, momsbelike",joycieellis,108000,914,9177,2458
4,21,original sound - Alexis,"fyp, foryou, foryoupage, viral, alexisdacreator, xyzbca",alexisdacreator,24700,127,2850,65
4,22,original sound - Harrison James,"greenscreenvideo, gatoradepods, satisfying, for",harrisontjames,45500,544,2525,109
4,23,2 days into college - Aimee Carty,,havenlough,52400,503,4957,870
4,24,The Mop - TisaKorean & Kblast & Huncho Da Rockstar,"@telefairy_boy, castlehouse, sisters, fyp, greenscreen",justtkass,143700,1067,5060,58
4,25,original sound - Tana Mongeau,,tanamongeaulol,4500000,39900,255300,162200
4,26,original sound - rheg (°◡°♡) ☆*:+,,rhegancoursey,452400,1048,17300,1008
4,27,original sound - Zup,"fyp, foryou, foryoupage, zupku",zupku,144900,1342,30900,1916
5,0,nhạc nền - Yangg🐬,"yang, yangg, mcseven, mc_seven, sevendouyin, seven, dj_xiao",callrimm__,242300,533,16900,483
5,1,Turning Page - Sydney Rose,"vlog, trend, trending, fyp, minivlog",team2moms,69700,524,3846,55
5,2,十宗罪(治愈系) - 气质隆Sir,"fyp, fy, kidney, cheated",unique.planet,53600,395,3648,527
5,3,Quer Fuder Com os Sem Amor Vs Beat Risada - Lgzin e cabelinho & Mc Grigo 22,,kris8an,34400,246,1721,187
5,4,another love - ✨️,"tryingtoconceive, ttc, pregnant, werehavingababy, surprise",cassieadams_21,3200000,30100,214000,22400
5,5,original sound - Kaitlin P,"povs, pov, grwm, satirecomedy, povsoftiktok, povseries, meangirls, getreadywithme",kaitlin_p123,18100,298,1871,34
5,6,original sound - W E S 🎼,,luckycharm.png,1800000,15100,124100,7280
5,7,original sound - K3VIN_G,"happyvalentinesday, flowers, k3vingabor, tiktok, tiktoker, fyp%E3%82%B7%E3%82%9Aviral",k3vingabor,12100,712,378,173
5,8,original sound - KEEMOKAZI,,keemokazi,1200000,5365,82000,28200
5,9,original sound - RealBwaJack,,realbwajack,124100,508,11300,142
5,10,original sound - 5StarNana⭐️,"motheranddaughter, tiktokfamily, trend, ofcourseweremotheranddaughter, famousfamily, greeneyesfilter, karnation, karnationwilliams, jaaliyahwilliams, royaltynation, karnationroyalty, jaaliyahroyalty, fyp, fyppppppppppppppppppppppp",loveeenation,29500,75,2431,35
5,11,orijinal ses - caner,"fyp, trending, viral, couple, relatable",kokoandsymba,634000,2496,26300,8474
5,12,som original - .,,kirkiimad,158400,8314,11900,2047
5,13,original sound - Wilson,"figureskating, figureskater, christmas, presents",https.wints,324100,571,21800,525
5,14,original sound - DOVE CLUBB🕊️,,doveclubb,79600,99,3188,106
5,15,original sound - madi,"piercings, medusapiercing, fyp, advice, foryoupage",madishayye,563200,8579,10300,1048
