batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Zander Silva,"capcut, fyp, fyppppppppppppppppppppppp, fyppp, fyp%E3%82%B7, fypage, fyp%E3%82%B7%E3%82%9Aviral, fypage, fyp%E3%82%B7%E3%82%9Aviral, foryoupage, funnyvideos%F0%9F%98%82%F0%9F%98%82%F0%9F%98%82, funnyvideos%F0%9F%98%82%F0%9F%98%82%F0%9F%98%82, funnytiktok",funnny_for_you,1100000,12400,187900,79700
1,1,sunet original - Victor drx99,"makeup, lipgloss, bigfamily, notenoughnelsons, nenfam, viral, paisleenelson",notenoughnelsonsofficial,222300,2212,16100,655
1,2,Meow - Dust☆,"voiceover, voiceovers, elsa, elsafrozen, anna, annafrozen, frozen, frozenmovie, frozenmoment, frozenmoments, frozenelsa, frozenanna, elsaandanna, annaandelisa, frozenelsaandanna, arendelle, disney, disneymovies, disneymovie, disnevplus, disneyanimation, disneyplus, disneyfrozen, princessanna, queenelsa, princehans, hans, princehansofthesouthernisles, hansofthesouthernisles",risottosimp3000_3.0,450600,4354,60100,9952
1,3,original sound - kartriteresort,"indoorwaterpark, kartritedoneright, kartriteresort, monticello, newyork, waterpark",kartriteresort,87000,237,5156,116
1,4,Chopin Nocturne No. 2 Piano Mono - moshimo sound design,"toddler, cutekid, funny, fatherson, dadlife, bulltesticles, foodchallenge, adinross, american, usa, kaicenat, taylorswift, fyp",paulylong,62300,2335,4530,3185
1,5,Bad Feeling (Oompa Loompa) - Jagwar Twin,,brookemonk_,1500000,3762,93300,6608
1,6,Similar Sensation (Instrumental) - BLVKSHP,"fyp, miamidolphinscheerleaders, nflcheerleaders, mythsdebunked, nfl, football, dancersoftiktok, hardrockstadium, miami, nflcheer",belladentonn,37700,98,1175,40
1,7,som original - netobaetas,,netobaetas,615800,2409,31100,3023
1,8,original sound - Thelolpodcast,,thelolpodcast,66700,158,5643,71
1,9,Bongos (feat. Megan Thee Stallion) - Cardi B,@kennabeann14,_thescottfamily,229300,786,12500,868
2,0,Fireball Challenge - 🕺🏼Hoodie fam🌏,"@abby.c040, trend, transition, bts, behindthescenes",gabby_murrayy,142200,174,6577,157
2,1,original sound - Brent Rivera,@queenchelsea,brentrivera,565000,8556,35100,13100
2,2,original sound - antojitoslindamar_,food,antojitoslindamar_,24100,43,2338,41
2,3,som original - netobaetas,,netobaetas,253900,697,15900,2708
2,4,You Can't Beat Me Challenge Jersey Club (Suunnnlight Vocals) - YKaY,"xyzbca, fyp, foryoupage",am.aiya,86300,463,9282,208
2,5,original sound - alexbreakshisback,"backcrack, gym, stretch, gymhumor, stallbars, fyp",lamainethetrain,557300,4956,56900,18400
2,6,original sound - 🫶LANDREW FOR LIFE🫶👈,"foryou, fyp, landrew, ampworld, piersonwodzynski, pierson, mrbeast, dombrack, benazelart, ampworldnews, andrewdavila, lexirivera, airrack, preston, unspeakable, brentrivera, lexihensler, stoketwins, jeremyhutchins, amp, funny, likes, 100k, love, truelove, true, landrews, landrew, tiktok, chrismas, grwm, grwm, trendy, roblox, fazerug, pierson, lexirivera, lexi, andrew, andrewdavila, youtube, tiktok, youtubers, influencer, instagram, influencers, bexi, sad, ship, usa, huntigtonbeach, edit, alexa, andrew, love, cute, trend, nastya, likenastya, 300m, youtube, sped, audio",ampworld_editzzz,12400,169,2185,134
2,7,som original - Gêmeas e família 💙,gemeaa,asgeemeas,120200,573,7282,390
2,8,Where you are (Vocals only) - Halal Beats,"satisfying, curiosity, signs",curiousfeed,28500,2362,4436,20700
2,9,original sound - ClipzzEditzz,"jacenorman, kirakosarin, henrydanger, henryhart, thundermans, nickelodeon, fyp, fyp%E3%82%B7, viral, viralvideo, xybca, aftereffects, velocity",ce.films,2600000,5462,240800,4620
2,10,original sound - MillyBrownBob,"breakup, braces, pain, trending",autumnnmonique,189700,1010,12600,112
2,11,original sound - P!X!E,"singersongwriter, pixie, homeedwardsharpe, alabamaarkansas",dontpickonpixie,386100,3872,54000,4897
2,12,Everytime We Touch - Cascada,"%EC%84%9C%EC%9A%B8%EC%BD%98, seoulcon, sba, soonent, mcp",kikakiim,432400,1716,26600,1146
2,13,Ty for using my sound - 🖤. i post edit & videos,"fyp, 05",daniela_estefaniaa,84900,2944,7062,81
2,14,OMG THIS SOUND GO VIRAL - ⭐️✨,"fyp, exbestfriend",ansleyspinks,43200,429,5081,338
2,15,original sound - Bella Dallin,"dellavlogs, adopted, baby",bella.dallin_,2000000,5999,84600,3807
2,16,original sound - Tammylouiseee,"safe, hotel, mirrors, fyp, genius, viral, foryoupage, tiktok, lunch, hacks, dinner, hacksoflife, cookinghacks, foodcontent, foryourpage, foodlovers, foryou",tammylouiseee,404100,13500,101200,39900
2,17,original sound - rewteryhtrc,,rewteryhtrc,3698,31,445,106
2,18,original sound - shio,,nevaaadaa,213100,730,17800,672
2,19,original sound - The Relationship Hub,@mckenziecutrer,addishawofficial2.0,93800,1219,5521,1132
2,20,original sound - Liane V,"@wearethebenjamins, baby, birthday, family",lianev,2300000,8158,150200,35200
