batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,"Coconut Mall (From ""Mario Kart Wii"") - Arcade Player","fyp, obbybike, tiktoklive, roblox",poisonog,62200,69400,6291,195
1,1,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280200,627,15500,164
1,2,original sound - REEKON Tools,,reekontools,640300,3854,105200,77500
1,3,original sound - TOONKA,"relatable, theonlyfamousbrian, money, laundry",onlyfamousbrianjr,486800,1463,67400,2715
1,4,original sound - gaby🔱,"fyp, edit, editor, aftereffects, videostar, ae, vsp, percyjackson, pjo, pjoedit, walkerscobell, walkerscobelledit",sc0be11.filmz,825800,6314,210400,8780
1,5,original sound - niya,"fyp%E3%82%B7, thegrinch, twins, finalsweek",madimaet,123600,481,15100,1333
1,6,original sound - ABKYS,,aubreykeeyyysss,29800,1308,1068,114
1,7,PRINCE OF DARKNESS - 派小星,"fortnite, fortniteclips, gaming, fyp, foryou",johtsu,299700,1113,18100,1187
1,8,son original - 💐𝐵🪐,,brookemonk_,204200,462,7830,282
1,9,jumpstyle1 - voveewwqq((Monsterkill)),"fyp, dog",french_lunch,659400,3931,74200,15700
1,10,original sound - goddess.of.survival?,,annaisspaulino,315800,2680,34000,3837
1,11,original sound - Him09,"fyp, nfl",emrylamberson6,2200000,6011,223500,14700
2,0,IMMMMM UPPPPP - Antwitdatfatty 🍑,"fyp%E3%82%B7, relatable, trending, aylecia, xybca",leci.bby,262800,1059,41200,3711
2,1,Body - Megan Thee Stallion,,mothersewsbest,3500000,36500,318800,215100
2,2,original sound - tiktoklive_us,,tiktoklive_us,16900,205,777,80
2,3,original sound - CFN KASAI,"fyp, xybca, cfn, mamamoo",thiskasai,829800,3017,99800,4038
2,4,original sound - Dori,"fortnite, fortniteclips, fortnitememes, fyp",dorifnbr,331700,2698,53700,2916
2,5,original sound - doyoucare😐,"salmajabarbique, fyp, foryoupageofficiall, fyp%E3%82%B7, foryourpage, crocs, converse, shoes, trend",salmajabarbique,1900000,15200,160400,16200
2,6,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"boardgames, gamenight, couple, fun",games4two,35800,64,1409,171
2,7,original sound - ★ seplix,,brookemonk_,960200,2236,49700,1243
2,8,original sound - House of Highlights,"cheerleading, cheerpractice, backfliptutorial, backflip",houseofhighlights,160000,890,5136,331
2,9,DEFINITIVA - LiL CaKe & MC Caverinha,"babanaamerica, estadosunidos, brasil, definitiva",bah_siilvestre,707700,496,21300,964
2,10,Funny - Gold-Tiger,"cat, catsoftiktok, blackcat, petsoftiktok, pet, funny",black.cat.maui,803600,3649,91400,11800
2,11,original sound - CoasterDolphin,"hammered, iaapa, iaapaexpo, iaapa2023, altitudeattractions, viral, concept, orlando, orlandoflorida, steelcoaster, droptower, reels, viral, explorepage, newride, thrillride, airtime, instacoaster, coastersofinstagram, coasterenthusiasts, thrillridesphotography, amusementpark, rollercoasters, coasterphotography, conventioncenter, instatpr, rollercoaster, viralvideos, explorepage",coasterdolphin,786100,1104,46800,1423
2,12,original sound - Sidney,"fyp%E3%82%B7, zyxcba, zedd%F0%9F%94%9B%F0%9F%94%9D, relatable",luh4zedd,534200,8188,66300,8182
2,13,Dont stop da beat bih - Tigga Jones,"fyp, viral",famedame_,477500,1570,53100,1758
2,14,From Tha Back - lil.Eaarl,"fyp%E3%83%84, foryoupage, identicaltwins, dance",zaii623,1200000,2920,174900,7617
2,15,Ick - Alt Ending - Lay Bankz,"hegavemetheew, makeuplover, trendingsound",krissleos,90400,1071,9256,637
2,16,original sound - Food Dudes,"easyrecipe, crockpotmeals, familyrecipe, homecooking",fooddudescook,700500,12400,288800,170600
2,17,original sound - pdilul,"fyp, fyp%E3%82%B7, tiktok, foryou",pdilul,133300,1088,15400,3015
2,18,original sound - 1ChineseChicken,"fyp, fortnite, fortnitesniper, gaming, viral",1chinesechicken,1100000,15900,149100,18300
2,19,FANCY (SLOWED + REVERB) - Godlike Pariah,"artistsoftiktok, tutorial, fyp%E3%82%B7, car, drawing",inthehandsoflando,307600,537,71000,1314
2,20,original sound - Gio 🇲🇽,"fyp, foryou, mexican, viral",gio_palace,293000,8849,50900,4112
2,21,No Role Modelz - (Instrumental Slowed Cover) - Dybbukk & Dybbukk Covers & Grailz Beni,"fyp, viral",luhdaren,1500000,6499,164800,9229
2,22,original sound - Heather 🍯,"fyp, foryoupage, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, 5xpictures, pov, thatonefriend, bff, disneyworld",vianlixchristine,2800000,43000,174100,58400
2,23,original sound - mattpeterson_,"traviskelce, football, superbowl, chiefs, kansascity",mattpeterson_,138300,459,4761,148
2,24,original sound - Selena,"fyp, blinkerchallenge, makeup",sassyselenaaaa,1100000,4187,68300,2827
2,25,original sound - Tk 💕,"fyp, trending, dogsoftiktok, foryoupage",tikaramonee16,3600000,21700,277100,66000
2,26,Oi - My Soul Gone,"tmnt, ninjaturtles, fyp, raphael, viral, trending",radicalraphael,1100000,8433,115300,16000
2,27,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,,louiecastro,399800,400,14900,612
3,0,original sound - speed ups,,aylixn,0,12800,286300,16700
3,1,Class of 09 - ⋆ ̊ ⋆୨♡୧⋆ ̊ ⋆,@oliviarichardzz,nardwuarthegoat,201600,68,9430,101
3,2,original sound - KanoodleQueen,"@freeadderall, asmr, kanoodleasmr, kanoodle, kanoodleultimatechampion, kanoodlechallenge, kanoodleshakechallenge, kanoodlechallenge, godisgood",thekanoodlequeen,1600000,2117,71100,7650
3,3,original sound - LOL Podcast,"lolclub, lolpodcast, cashbaker, katebaker, harperzilmer, maverickbaker, fyp",lolpodcastclipped,89500,298,6963,63
3,4,Two out - fartboy979,"fyp, viral, nelson, rwe, greenscreenvideo, capcut, capcut, houston, onthisday, believethat, foryou, goddid, joshgiddey",nelsontheprodigy_,0,1329,15900,363
3,5,original sound - Rabbits,"recroom, recroomgame, recroomvr, recroommemes, oculus, quest, meta, bunchorabbits",bunchorabbits,882000,6066,117700,18700
3,6,original sound - Darius & Dominic 🏈,"nfl, nflfootball, americanfootball, footballtiktok, dndfootball, widereciever, footballseason",oglightskinss,0,632,24000,1456
3,7,2pa2 - 🧿📿,"fyp, school, bsf",wingstoplover456,0,1710,24900,1697
3,8,GoodGooglyMooglyyy - Undergroundmusiclover,"fyp, dating, foryou, lesbiansoftiktok, lgbtq",zashiasantiago,1100000,2795,68700,13700
3,9,original sound - alyssa_movies,"movie, movieclips, foryou",alyssa_movies,0,1161,49500,717
3,10,original sound - EarToe,"fortnite, fortnitebr, fortnitememes, fortnitefunny, fortniteitemshop, familyguy, fortnitecombos",eartoe,0,421,28600,569
3,11,original sound - Brooke 👩🏼‍🎤,"fyp, viral, trending, twins",ayetaetae_,0,1233,100600,6300
3,12,original sound - Kelsey V.,"niece, stillhere, fyp",kelseyv17,0,1674,109500,11100
3,13,original sound - ☆lily,"katiedouglas, abbylittman, abbylittmanedit, ginnyandgeorgia, gngedit, fyp, viral, xybca, kqtedouglas",kqtedouglas,763400,1960,116300,1389
3,14,want u - n’,"glitter, glitterroses, rosesglitter, ramoderosas, redroses, redroses%F0%9F%8C%B9, redrosesbouquet, ramobuchon, rosasrojas, rosasconbrillo, brillorosa, explore, explorepage, explorepage%E2%9C%A8, viralvideos, roseslover, regalodecumplea%C3%B1os, happybirthday, roseswithglitz, rosesinshine, glitzyroses, roseswithsparkle, glitteryroses, rosesofglitter, fyp",unmecreations,3200000,19200,417500,72000
3,15,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"construction, adamrose, funnyvideo",fan.a.rose,0,3973,88400,7932
3,16,Among Us - Sembari +,"fyp, bestfortniteplayer, fortnite, bestfortniteclips, funnyfortniteclips, funnyfortnitemoments, fortnitefails",qlue38,0,3814,67400,16800
3,17,Cocky Af - Megan Thee Stallion,,amiri.da,0,2751,48600,4881
3,18,原聲 - strawberryjam1986,"keyboardasmr, keyboard, customizedkeyboard, cutekeyboard, keyboardart, lofree",strawberryjam1986,0,22100,89800,28300
3,19,original sound - Valerie Espino 🐞,"@rainyboy634, asmrsketchbook, asmrdrawing, sketchbook, toystory4, disneyart, disneypixar, woodytoystory",valerieespino.arts,0,7787,30000,4002
3,20,Originalton - marinas.poison,"fyp, foryou",imthe_annag,0,832,13300,98
3,21,original sound - 🎥 Hippie.Cinema📚,"mariokart, elmodriving, notcompetativeatall, switchgames, fyp, gamertiktok, @saradubisz, @luiscarlos778m",hippie.cinema,0,395,13300,11900
3,22,original sound - Chris and jasmin,"surprise, drama, fyp, viral, trending",chrisandjasmin,0,327,1750,207
3,23,original sound - Lukenizzy,"fyp%E3%82%B7, couplestiktok, couples, blowthisup, funny, lukenizzy",lukenizzy,2400000,3984,179900,15200
3,24,original sound - CFN KASAI,"fyp, xybca, cfn, mamamoo",thiskasai,0,9009,257300,30200
3,25,original sound - Marii,"marii, fortnite, fortniteclips, fortniteranked, fortnitemoments",mariitv__,409600,4427,36000,1198
4,0,hot people use this sound - 𝒂💕,,toomuchanthony,1000000,3399,61600,1361
4,1,original sound - Toyy,"paper, friends, paramore, herway, herwaychallenge, presidentdeborahalivilliams, deborahaliwilliams, floptok, flopera",toyyii_,295800,3010,31700,4308
4,2,original sound - Music Boxing Machine,"fitness, boxingtraining, boxingdiay, boxing%F0%9F%A5%8A, boxingfans, boxingmachine, musicboxingmachine, boxinglife, boxingmachinetrend, boxingmachinechallenge, funny, foryou, usa_tiktok",24fitnessclub,784800,5506,91900,16700
4,3,Imma Scope The Scenery Out Meatball Casa Di - CasaDi,,whiteboyemmom,302200,1285,30100,635
4,4,my humps x barbie girl remix by clouds.s0ftt - zai™,"foryoupage, viral, 3kaidenn",3kaidenn,1000000,29300,96200,24800
4,5,original sound - ❣️,"capcut, templates, real, god, godisgreat, viral, jesuslovesyou, foryoupage, fyp%E3%82%B7",areliss.shh,104000,371,10800,775
4,6,GO TO WORK LADIES by Chris Mula - mula,"2024, blowup, trending, gotowork, viral, fyp, happynewyear, blueface",mulaaherdaddy,409300,413,41400,1300
4,7,La Suma - Javier Rosas Y Su Artillería Pesada & Lupe Borbon y su Blindaje 7,"fyp, foryou, mexican, viral, mom, hispanic",andrew_trs,217500,1344,26800,2723
4,8,original sound - Jett,"@sadieclarkkk, wonka, timothee, timotheechalamet, willywonka",errushka,378400,4344,37000,2778
4,9,How to dress like a male manipulator - fabio,"fyp, malemanipulator, jnco",emo_materialgurl,252800,685,27200,629
4,10,original sound - GDogg Gaming,"fortnite, fortnitetips, fortnitepro, fyp",gdogg_gaming,327000,5260,58500,9533
4,11,original sound - Rackzy,"fyp, foryoupage, viral, fortnite, fortniteclips, fortnitememes, fortnitefunny",rackzy_,279600,2253,27500,2118
4,12,original sound - dayz915,"atodamadre%F0%9F%8F%A7, %F0%9F%A4%99%F0%9F%8F%BD%E2%80%BC%EF%B8%8F%F0%9F%8F%A7%E2%80%BC%EF%B8%8F%F0%9F%A4%99%F0%9F%8F%BD, dd%F0%9F%92%ABuniverse, wyoming",dayz.915,514299,3660,35900,140500
4,13,PISTOL PACCIN - NLE Choppa & BigXthaPlug,,cyrinnaharrington,790300,0,21400,3907
4,14,origineel geluid - Mindsetbrothers,,lov3charlee,647900,3561,63200,5025
4,15,original sound - -Songs-,,too_crispy13,30500,228900,3894,155
4,16,And why arent you in uniform - No context Spongebob,"therookie, timbradford, celinajuarez",ericwinter76,1700000,5582,69900,9664
4,17,original sound - djflatlinelay,,djflatlinelay,3100000,21600,303100,123600
4,18,original sound - v,"girlmeetsworld, rowanblanchard, livandmaddie, disney, disneychannel, fyp, chaehuyn",chaehuyn,1400000,2394,72700,2513
4,19,original sound - ★𝐩𝐚𝐢𝐬𝐥𝐞𝐲★,"fyp%E3%82%B7, relatable, fyppppppppppppppppppppppp, realization, foryoupage, blowthisup, foryou, trending, thefloridaproject",morasecreate_page2,549500,10900,52900,4789
4,20,im gonna touch you all - jo,"fyp, goviralgo, erich, yau, foryourpage",richoffvizaa,648900,26000,86600,4037
4,21,original sound - goldenbearollie,"comedy, dogsoftiktok, dogmom, goldenretriever",goldenbearollie,1200000,13600,78100,200700
4,22,Aesthetic - Tollan Kim,"movie, tiktok, fyp, foryou",qy.movie,508300,2167,42200,929
4,23,original sound - NOFEELINGS.,"fyp, foryou, viral",eze.see,1900000,12400,190800,26400
