batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Sweetpea 😍 Her,,glxxmike,3300000,19700,266400,90000
1,1,Pink Venom - BLACKPINK,"taylorswift, tsmidnights",taylornation,1800000,16400,60000,7703
1,2,Originalton - marinas.poison,"fyp, foryou",imthe_annag,172700,838,13500,99
1,3,original sound - Skunkpr!ncess,"serverlife, serverproblems, serverstories, badinterview, update, imlosingit, igiveup",skunkprincess23,795900,5852,51100,4932
1,4,"Freaks but Slowed, Muffled Echo - Jaye Augustine","cornkid, mrbeast, fyp, memories, viral",lovecuhris,682100,4739,71200,3236
1,5,original sound - Zakeya_95,"bionic, cikids, cimom, cochlearimplants, cilife, foryou, foryoupage, grateful, blessed",zakeya_95,133800,835,10100,365
1,6,original sound - tt trends🤍,"fyp, dance",abbysaltzmaniscute,3966,286,544,17
1,7,original sound - Daily Clips 🍿,"dharmann, whywontyouadoptme, generationhope, lesson",clippedpodcasts0,5072,107,941,71
1,8,original sound - Kristy Sarah,realisticcake,kristy.sarah,1200000,2574,52700,6177
1,9,original sound - moose,arab,moosenyc,4600000,25200,329400,34000
1,10,original sound - SH7,"fyp, foryou, kids",editsbysh7,291500,2490,26900,8004
1,11,barb heaven - kevzilla,fyp,wren.eleanor,13900,221,360,43
2,0,Lovin On Me - Jack Harlow,"jackharlow, lovinonme, cats, rap, hiphop, raptok, cat, catsoftiktok, fyp",chillestcat,1800000,20800,208900,78200
2,1,twirlanta - wzvrsl,"%D0%BF%D1%83%D1%82%D0%B8%D0%BD, %D0%BF%D1%80%D0%B8%D0%BD%D1%86, %D1%81%D0%B0%D1%83%D0%B4%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%D0%B0%D1%80%D0%B0%D0%B2%D0%B8%D1%8F",karich127,252200,997,24100,9300
2,2,original sound - reddd - rediii,,nicollefigueroaa,1200000,2428,31900,1041
2,3,Little Life - Cordelia,,madagraviet,2300000,10500,61800,34200
2,4,Suns - Official Sound Studio,"massage, massagetutorial, massageathome, calfmassage, legmassage, calfworkout, legcare, spamassage, healthy, massageusa, fyp",healingspa82,1300000,2561,501400,184900
2,5,feel alive - Hardrock,"affliction, grails, cybery2k, thrift, fyp, tapout, mmaelite, mallgoth, sematary, hauntedmound, emo, y2kaesthetic, y2k, jnco",luvtothriftt,299400,1741,25300,1004
2,6,original sound - Dwill 2.0 😈😈,"@doublescorpioenergy, dragonbeardcandy",410dwill45tv,1200000,6310,71200,2160
2,7,original sound - Brooke Monk,@evangelinerules030407,brookemonk_,765000,2099,97900,1036
3,0,Ron artest by flo Milli unreleased - .,"fyp%E3%82%B7, foryou, blowthisup, relatable, content, xyzbca, viral",melissaa2finee,77500,806,10600,2857
3,1,original sound - sped up songs 💗,fyp,idkraeven,52300,725,3099,338
3,2,Save That Shit - Chief Keef,,user8468696735587,420500,5387,23700,816
3,3,Everytime We Touch - Cascada,,cherry_keem,787000,3044,64200,6219
3,4,heather - <3,,user3693184408,1100000,2788,55400,7469
3,5,original sound - Raihann,"ilovemybf, ldr",alannaxtye,1200000,3258,71800,6497
3,6,original sound - Al,capcut,rainbowgirl2949,31,2,5,0
3,7,original sound - HollywoodGenGen,"funny, missrenee, blackcontentcreator, teachersoftiktok, daycare",hollywoodgengen,178400,2034,29400,4212
3,8,original sound - niyah,"fyp, foryoupage, viral, explorepage%E2%9C%A8, explore, showtimeleo, fyp%E3%82%B7",showtimeleoo,68200,304,6496,678
3,9,I paint the town red - ⭐️,"fyp, deadbeat, tiktokblowthisupplease, pettytok, mommytok, babydaddydrama%F0%9F%99%84",misss_mariahhh,25200,608,1063,1196
3,10,priscilla coded - *•𑁍.•*,,sav.yangg,114600,277,2840,37
3,11,"More Passion, More Energy - WasteLand","fyp, foryoupage, food, eating, mukbang, raisingcanes, fastfood, sauce, chicken, differentpeople",kimnlizasmr,100400,574,6601,286
3,12,original sound - Garon Kimmell,"tiktok, fyp, tvshow, them, video",garon.kimmell,20900,354,4119,131
