batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ina,,ina.katherine,3400000,30300,227600,95100
1,1,original sound - izzy,"colbybrock, colbybrockedit, fyp, viralvideo, blowup, xyz, xplrizz",xplrizz,257899,5385,84800,5642
1,2,original sound - Sweetpea 😍 Her,,glxxmike,3300000,19700,266400,90000
1,3,original sound - The Real Street Family,"fyp, family, motherdaughter, relateable, mexican, latina, mom",therealstreetfamily,55500,149,3591,234
1,4,birfday - bee ˘͈ᵕ˘͈,fyp,kaylamalecc,327700,5385,14600,224
1,5,original sound - gracie ౨ৎ,"preppyzepeto, preppy, zepeto, fyp, foryoupage, trending, viral, blowthisup, flexeveryangle, preppyzepetogirls, dontletthisflop, blowthisup, blowthisupovernight, dontshadowbanme, aestheticzepeto, aestheticzepeto, preppylifestyle, aesthetic, blowthisupforme, 4upageonly, 4upage%E3%82%B7, flopera%F0%9F%98%98%F0%9F%92%85%F0%9F%8F%BC",ashlzpet,15200,283,3103,1182
1,6,show u off - DJ Simmy,"amputee, amputeelife, amputeegirl, amputeetiktok, amputeehumor, amputeegirl, amp, amputee, amputeefemale",muralladesantiago13,125100,1608,3728,2519
1,7,original sound - FREYA ASPINALL,"foryoupage%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F, viral, foryourpage, foru, viralvideo, fyp%E3%82%B7, foryou, viraltiktok, gorilla, fyp, for",aspinallfreya,33100,479,1989,1571
1,8,original sound - Kaitlin P,"@they.luv.chloe87, povs, pov, povsoftiktok, grwm, grwmmakeup, getreadywithme, highschooldrama, storytime",kaitlin_p123,41900,991,5536,165
1,9,Dance You Outta My Head - Cat Janice,duet,b.e.n_rl,15100,227,1004,91
2,0,dance the night away sped - 💗 S O U N D S 🐆,"@islayedallday, fyp, viral, xyzbca, nails",random_4025,27500,6653,5872,440
2,1,original sound - Alana Cho,,alanachoofficial,481300,225,19900,396
2,2,original sound - South Park,,symonneharrisonofficial,304200,742,17600,3878
2,3,original sound - Official Beast Family,"viral, fyp, themadtwinz",themadtwinz_,42200,252,4137,328
2,4,original sound - Bull.E pack,,haleyybaylee,71800,344,3803,266
2,5,Fluffing a Duck - Kevin MacLeod,,iwantacinnamonroll,23500,147,1940,42
2,6,original sound - islapaddlepop,,lamarrdarwish,38000,123,4765,211
2,7,original sound - KEEMOKAZI,onthisday,keemokazi,296100,1684,31000,1001
2,8,original sound - 𝑠𝑎𝑑𝑖𝑒 ⚯͛,"real, fyp",makimiraa,1000000,3044,58600,16200
2,9,original sound - Barstool Sports,@willmar7_,alexa.seals,1100000,1507,46500,2880
2,10,original sound - xlpperrllm0,"pov, tiktok, fyp, fyp%E3%82%B7, foryou, funny",xlppee0,824100,52400,123700,49000
2,11,joshuasamuels follow me - 00:00,,jadenrabago,122600,149,6684,723
2,12,Back It up and Dump It (Dump Truck) - GC Eternal & Kinfolk Thugs,"trending, foryou, dancer, basketball",neteyamsoulmate,98200,734,4852,69
2,13,Danger (Been So Long) (feat. Nivea) - Mystikal,,kristieskarma420,232700,1983,12300,12000
2,14,original sound - L a r a,"pov, relatable, anxiety, awareness, relatablecontent, anxietyawareness, povslibby, mentalhealth",povslibby,173000,1224,21000,827
2,15,kai bomboclaat - 6’2 with dreads btw,"teen, teenager, parentsoftiktok, momofteens, momsoftiktok, mom, comedy, relatable",ladypositive,158300,705,8192,5505
2,16,son original - Tsqua_d,"soraya, raya, tsquad, tsg, thg, edit, tommy, tommytheclownn",tsqua_d8,2600,3,197,6
2,17,scott street - favsoundds,"fyp%E3%82%B7, zyxcba, grads24, fy, foryoupage, 2024, van, foryou, highschool, seeyouagain",byrnegrads24,2100000,9909,267500,14400
2,18,Barbie - JaidynAlexis,"barbie, foryou, mybaby",its_vmarri,3400000,36200,289200,79800
2,19,Agora Hills Doja Cat - Dojas Vault,,lindsforthegirls,153000,116,2792,36
2,20,yaal are so finee - ¥,,bby..juana,225300,775,15900,652
2,21,Wrong lever - CheriMarbles,"traveltiktok, thailand, traveltok, travel, wronglever, runnergirl, runtok, runningcommunity",lexilwatts,884300,4040,97800,6350
2,22,original sound - Gabriel 💘,"foryou, quincea%C3%B1eras, novela, slap",bellecouturehouston,132200,439,13400,331
2,23,original sound - 💕Jenna with the PINK💕,"periods, pads, periodhelp, airplane",jennawiththepink,67100,181,2849,48
3,0,som original - LG,"fyp%E3%82%B7, dc",srakapierdata,356600,885,25800,504
3,1,Valentine's Day - Linkin Park,"valentinesday, 2000s, nostalgia, millennials",jessicaconrad__,236000,1062,23000,1071
3,2,original sound - YeahitsTyG,@jerseyyjoe,yeahitstyg,777400,5127,117400,8715
3,3,original sound - Zars,"gymsongs, gym, gymtok, fitness, fitnessmotivation, fyp, bodybuilding, motivation",zarsyt,16300,25,726,60
3,4,original sound - spo6kzie,,abbysaltzmaniscute,207900,2888,37600,707
3,5,DadSocial - Mason Smith,,ninankechi_,148000,3525,3308,1097
3,6,original sound - Country Pickinz,,caydencesmithofficial,988200,9144,160300,24100
3,7,New York Herald Tribune (A bout de souffle) - Martial Solal,"@glossier, @dior, @foreo, @freshbeauty, @theouai, @lancome.official, @esteelauder, @lamer, @manucurist, @wthn, @lululemon, @juicycoutureuk, @alo, @brandymelvilleusa, asmr, eveningroutine, nightroutin, cleangirl, thatgirl, skincare, pinkpilatesprincess",olafflee,1100000,4021,122000,6779
3,8,sonido original - old tiktok,"charlidamelio, 2019, nostalgiaoldtiktok, remember, recommendations, oldtiktoks, xyzbca, viral, fyp, foryou, fypdongggggggg, fyp%E3%82%B7, fyppppppppppppppppppppppp",nostalgiaoldtiktok,39000,140,1432,100
3,9,original sound - Cj So Cool,"fyp, fy",therealcjsocool29,919600,10300,74900,14300
3,10,original sound - Dantesmit.vsp,"@kayla_m_official, @jakimsricecooker",venicewong4u,80500,918,8653,580
3,11,original sound - Autumn Monique,"@alaina.trejo3, fyp, trend, viral, stitchsquad",autumnohana,78100,3983,6164,123
3,12,SomeoneYouLoved(Cover) - 十八闲客,,vlarino,200500,5955,36400,1135
3,13,original sound - lol yea.,,jaden.traub001,26900,142,2013,91
3,14,Kumalala - Saxxz🐐🗿💀👎🏻,"fyp%E3%82%B7, foryou, foryoupage, xyzabc",diego.2gone,2500000,21200,273200,40600
3,15,"More Passion, More Energy - WasteLand","fyp, foryoupage, food, eating, mukbang, raisingcanes, fastfood, sauce, chicken, differentpeople",kimnlizasmr,100400,574,6601,286
3,16,อูฐร้องเพลง - บุญนี โนราห์ แคมเบียม,,ornellazocco26,3920,451,633,248
3,17,son original - denden.yb,,leaelui,426400,2627,30700,1947
3,18,Bro this so old lol - ㅤ,"@bbelllav_, 6foot10, 4foot8, fyp, talltok, heightdifference",dla_fam,317700,4098,17500,4276
3,19,suara asli - waii ☆,"foryou, fyp, cvshkel, cvshnella, cvshstella, cvshshine, pourtoi, generationgifi, blowup, famous",.lovsxkelly,72100,22400,9877,915
3,20,original sound - Dayquan & Arianna,"prankonboyfriend, piercingprank, fakenippiercing",dayandari,218800,629,14700,955
3,21,original sound - NXELER,"@dew.dude0, 711",atlozxs,128900,952,29500,2913
3,22,Made for Promise - JAYBeatz,,rkempiiree,113200,684,9370,708
3,23,"Down, Up! - BabyTron",kaneandprymr,kaneandprymrr,75800,154,4538,126
3,24,original sound - Brooke 👩🏼‍🎤,,diamantblazi,35900,453,2898,357
3,25,original sound - aqsaꨄ,"@yourfavv__manii, fyp, fyppp, myfav, fyp, fyppp, fyppp",raigen.brunson33,95900,3661,8955,1211
3,26,original sound - Brooke 👩🏼‍🎤,,nadeshaig,53600,178,5236,142
4,0,original sound - Dad Harmony,"unbreakmyheart, tonibraxton, dadharmony, singing, dads, acapella, harmony, children, father",dadharmony,16600,201,919,334
4,1,original sound - Dad Harmony,"bohemianrhapsody, acapella, harmony, dads, singingdads, daharmony, queen, singalong, singwithus",dadharmony,140200,632,21100,2403
4,2,original sound - Dad Harmony,"standbyme, beneking, dadharmony, singing, dads, acapella, harmony, children, father, dancing",dadharmony,56300,915,3148,1313
