batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - REEKON Tools,,reekontools,640800,3857,105200,77600
1,1,original sound - Kaylanellaa,"@kwameduahofficial, funny, laughs, viral, sogood, health, fyp, comedy, gymhumor, gymcomedy, fitness, boyfriend, girlfriend, couplepranks",kaylanellaa,2177,5,67,53
1,2,original sound - CRANBERRY SPRITE🥤🥤🥤🥤,"stolenvalor, army, viral, fyp",just_hustle23,24500,389,1513,58
1,3,Lisztomania - Phoenix,1nito_,1nito_,87100,1518,4647,377
1,4,In This Darkness - Clara La San,,mckinleyrichardson,15900,368,1645,97
1,5,original sound - _lortinkyy,@msb_rayshawn,_lortinkyy,1700000,16700,115500,69300
1,6,original sound - goddess.of.survival?,,annaisspaulino,317000,2694,34100,3848
1,7,оригинальный звук - ㅤㅤㅤㅤㅤㅤㅤ,,diamantblazi,72700,270,4755,433
1,8,original sound - cloe.foxbow.tv,sendthistoyourbestfriend,.ovivia,264500,1999,22800,16000
1,9,original sound - Funnyhaha02,"meme, funny, viral, fyp, xuhuong, cute",funnys479,480300,4384,55700,23800
2,0,original sound - wrldforeverjuice,"juicewrld, foryou, 999, juicewrldtok, juice",wrldforeverjuice,264800,1267,31900,1477
2,1,original sound - PanchBantz,,panchbantz,1200000,7378,71100,9228
2,2,Bécane - A COLORS SHOW - Yamê,"fyp, foryoupage, wafflekozik",wafflekozik,182800,2130,11600,864
2,3,original sound - Josh Martinez,"dodgeball, fyp, highlights, ohmyjoshh9",ohmyjoshh9,2368,12,110,8
2,4,original sound - AfroSamuraiT,"lifehacks, lifehack, challenge, ksi, prime",afrosamuraitt,22500,386,3181,68
2,5,original sound - jenna,"mcdonaldsworker, mcdonaldssecrets, fyp",jennaakiley,216500,2249,9976,1164
2,6,agora hills - ✿,@xxhellbunnyxx,wade_v4,11000,47,1064,65
2,7,original sound - Yeahbox,soundbox,yeahbox_,8016,21,313,205
2,8,original sound - Freddie Diaz,"ninjaspinner, keychainspinner, tiktokmademebuyit",ninjaspinner.com,8013,42,834,97
2,9,original sound - Boip,"roblox, headlesshorseman, headlessroblox, robloxedit, meme, robloxmeme, boip, boipsu, fy, fyp%E3%82%B7, foryou",boipsu,605500,3070,71900,2511
2,10,Shotta Flow 7 - NLE Choppa,"fyp, swagboyq",swagboyq,436700,1948,26900,2257
2,11,original sound - SwagBoyQ on IG,"publicinterview, swagboyq, gift, fyp",swagboyq,52400,202,3073,40
2,12,original sound - Kardash Fanss,,latishaclarkk,922500,1221,51000,812
2,13,original sound - mabu😇,"jamaica, turksandcaicos, jetski, boonkgang, lilmabu",lilmabu,638500,3872,38900,1792
2,14,SCARY TOPS - Mia Salinas,theonlyfamousbrian,onlyfamousbrian,413300,3953,44200,2917
2,15,original sound - Chris and jasmin,"giveaway, homeless, fyp, viral, trending",chrisandjasmin,85000,1414,6391,898
2,16,sonido original - 𓂀𝕋𝕖𝕒𝕞 𝕔𝕒𝕕𝕖𝕟𝕒 🔗𓂀,"fyp, parati, viral, fouryou, %F0%9F%94%A5%F0%9F%91%B9%F0%9F%96%A4, laromana, @elmenormasviral",yeraldavid8,844,40,76,3
2,17,original sound - Juju,,juju100g,163500,627,10700,2138
2,18,sonido original - c',"fyp%E3%82%B7, fypsounds, brothers, sneakingout, mom, momsoftiktok",eckicks3,35800,182,4925,45
2,19,Scott Street (Slowed Down) - Phoebe Bridgers,fyp%E3%82%B7,itzz_alyxx,773700,3373,38600,4585
2,20,original sound - 🤷🏻‍♀️🤷🏻‍♀️.,"perte, fyp, rizz",mahim.tn,25800,142,2492,178
2,21,Follow me on Instagram dark_mod7 - Kareem,"boys, boyswillbeboys, boysloveforever, fyp%E3%82%B7%E3%82%9A, gaming, depression, sad, boysonly",boysofficial_.1,64700,4391,14200,2160
2,22,Clandestina - 苏颜悦,,mr.benz,2100000,18900,181400,26200
2,23,original sound - davidcastain,,davidcastain,147300,778,13300,4703
2,24,original sound - Majorgator95,"fishing, fisherman, fishinglife, fishtok, foryou, fyp, blacktiktok",majorgator95,36000,141,3944,524
2,25,origineel geluid - 🤍Timer povs🤍,"%F0%9F%98%B6, fypppppppppppppppppppppp, fyp%E3%82%B7%E3%82%9Aviral",itz.nxv,1400000,7711,174700,23600
3,0,Aesthetic - Gaspar,"fyp, foryourpage, europe, expatlife, luxuryhomes, tiktokfamily, nomad, travelfamily, conservative, usa, europe, housingmarket, interestrates",eddiegribust,130,8,5,1
3,1,original sound - Rob Lapham,"health, mentalhealth, diet, nutrition",roblapham,7111,426,228,50
3,2,Aesthetic - Tollan Kim,"bought, entire, fleet, schoolbuses, car, truck",heavydsparks.1,29900,348,2827,437
3,3,original sound - Defenders,"fyp, foryou, couple, relatable, couplecomedy, funny, humor, scenarios, block, girlfriend, flirt, couplegoals, relationship, relationshipgoals, marriage, husbandwife, marriagehumor, trending, viral, love, mollyandjordy, xyzbca, fyp%E3%82%B7",mollyandjordy,233800,858,17300,3647
3,4,original sound - Franktata,"greenscreen, atheist, atheism, religiousrants, god, belief, godless, godlessness, miracle, miracles, miraculous, resurrection, regrown, evidence, claims, extraordinaryclaims, extraordinaryevidence, ifyoureadthiscommentsomethingaboutthelastthingyoudrank, water",honestly_frank,12300,2864,1407,128
3,5,original sound - Aiden,"meme, memecut",capybaraking00,48,6,3,0
3,6,original sound - habitual linecrosser,"comedy, worldnews, habituallinecrosser",habitual_linecrosser,127100,2638,11600,1219
3,7,original sound - That's a Bad Idea,"samadams, samueladams, ad, nonalcoholic, nonalcoholicbeer, sketchcomedy, skit, relatable, thatsabadidea",thats.a.bad.idea,76800,411,4054,1347
4,0,Laughing - Gianluca Marino,"fyp, %F0%9F%98%85%F0%9F%98%85%F0%9F%98%85%F0%9F%98%85, foryoupage, funny, funnyvideos",kamakazi520,9753,927,731,2338
4,1,som original - GHOST,"fortnite, fortniteclips, fortnitememes",morbidfat,161500,487,12800,313
4,2,original sound - Liza v posteli 2.0,"fyp, colorcustomizer",milanlovesyoumore,669200,1638,21600,1463
4,3,original sound - Madison Humphrey,"foryou, relatable, comedy, couplecomedy, moms, momtok, momlife, skit",madison.humphreyy,729400,3005,26900,4704
