batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Avi Akbar,,avi.akbar,160200,552,15400,157
1,1,Storytelling - Adriel,"fyp, viral, fortnite, fortnitepro, fortniteclips, fortniteranked, fortnitememes, fortnitetips, gaming, camnutz",camnutz_,104100,10400,8203,291
1,2,everyone using this sound - Zup,foryou,eduardtok,126900,5236,7038,714
1,3,original sound - AOKTOKS,"fyp, comedy, caillougrownup, caillougetsgrounded",aoktoks,187800,1673,23100,9866
1,4,original sound - Funny facts,"facts, curiosity, randomfacts, learnontiktok, factsyoudidntknow, viral",funnyfactsvn,497500,73000,61900,432200
1,5,original sound - ashteroyd,"callofduty, mw3, wz3, warzone",ashteroyd,520500,2017,60100,1949
1,6,original sound - J2,"fyp, interview, nightlife, comdey, listen",j2swaego,37100,778,1411,462
1,7,original sound - Isaac & Andre,,isaacandandrea_,18800,61,861,92
1,8,m0rder on my mind - EX7STENCE™,"fyp, viral, foryou, foryourpage, xyzbcafyp%E3%82%B7, trend, trendy",nyctoh,92700,501,8665,247
1,9,Self Esteem - #1 HIT - Kisses for Me - Lambo4oe,"kiss, bf, valentinesday, hoodie, %E2%9D%A4%EF%B8%8F",kluska.oki,723300,10800,118100,21000
2,0,original sound - bouijeebraids_,,kirkiimad,391600,4959,42500,1691
2,1,som original - crz,,dwspanialy,677700,3487,55600,21200
2,2,original sound - matterxwonder,"nalish, fyp, viral, edit, love, nidalwonder, saysaymatter, ship",matterxwonder8,138500,500,15200,636
2,3,original sound - R4Nd0MconT3N,"masukberand, xybca, fypage, baileyspinnpov",r4nd0mcont3n,392,110,125,28
2,4,original sound - Snoop Dogg,"@solostove, ad",snoopdogg,6800000,48300,429700,313700
2,5,original sound - Jack Doherty,"jackdoherty, kanye, ye",jackdoherty,47400,543,2012,97
2,6,original sound - YKTV,"dadsoftiktok, dadvibes, fyp, foryoupage, hilarious, funnymemes, explore, funnyvideos, tiktokcomedy, funnyvideos, funny, followers, foryou, tiktokfyp",22yktv,215400,919,24300,5847
2,7,original sound - Curiosity Unleashed,,curiosity.unleash43,189100,1442,21200,18900
2,8,original sound - Jordan,"fyp, foryoupage, bfproblems, brotherboyfriendgoals",jiodaya,185800,731,13900,2860
2,9,Summertime's Close - Zach Bryan,"bestbf, lovely, dash, name, smile, fyp, viraltiktok, viral",brinley.kirk,315000,1547,19700,6138
2,10,original sound - ngmjirurltu,"tiktok, fyp, foryou, foryoupage",ngmjieq,12300,449,2475,567
2,11,original sound - Doulie Chamberlain,greenscreen,abdoulupnext,57100,2577,12100,609
2,12,everyone using this sound - Zup,"girls, guys",eduardtok,17500,439,1338,249
2,13,AGORA HILLS lonely in my mansion - DojaFantasy (fan account),"sama28, relatable, fyp, spamming, foryoupage, looks",becca_geddie,151900,778,5718,250
2,14,original sound - J’Amore,"fyp, reels, jamore, father, dad, parent, explore, tiktok, jamorelove, parenting, parentingtips, dadsoftiktok, gentleparenting, kids, kidsoftiktok, food, restaurant, love, foodie, love, foodreview, foodlover, mrjaysfoodreview, jamalmorton, thelovefamily",jamore.love,811200,5765,68500,3334
2,15,original sound - Entynos,"random, facts, curiosity",entynios,447600,29000,41500,273700
2,16,som original - Beach Walking Playa Praia,"foryou, fy, fyp, pravoce, 4u, foryoupage, funny, music, fashion, follow, tiktok4fun, beach, praia, brasil, trending, 2024, girls, bikini, maresias, explore, bestvideo, beauty, happy, saopaulo, litoral, sun, life, verao, ferias, summer, tiktok, travel, viral",walkingaround4k,76100,249,6285,1763
2,17,Hoist the Colours - Bass Singers Version - Bobby Bass,"mystery, scary, horror, jumpersjump, theory",horroriginz,423600,2272,49600,203500
2,18,Funny Song - Funny Song Studio & Sounds Reel,"fyp, baby, babylove, foryou, viral, cute, cutebaby, babytiktok, kids, motherlove, fatherlove",baby.ameican,125800,4410,14300,1347
2,19,If I Would Have Known - Kyle Hume,"divorce, freewoman, singlewoman, widowwoman, over30",aliceb1396,40600,35900,2136,218
2,20,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,@sohomuje,barbaragambatesa02,104200,243,9745,1554
2,21,original sound - hunjoe,,hunjoe,244400,2817,26300,5052
2,22,It's Tricky - RUN DMC,,drewdirksen,288600,236,6731,388
2,23,original sound - jerry,"electronic, pcb, homeappliance",jerryli508,77700,633,16200,4333
3,0,original sound - RealScoutBasketball,@adamthedon1,realscoutbasketball,59600,197,3904,221
3,1,original sound - Ro,"rocky, rockystatue, sly, roknows",roknowswrestling,1200000,9593,90300,23600
3,2,Very Sad - Enchan,"kid, attacked, wifi, fy, fyp, videoviral, video, fypage, sad, fypdonggg, wifipassword",videos7240,397600,7235,44900,9852
3,3,Curiosity - Danilo Stankovic,"quiz, quiztime, generalknowledge, usa, fyp, viral, makeitviral, usa_tiktok",trivia.lol,270900,42000,26500,122100
3,4,original sound - haleyybaylee,@courteneycoxofficial,haleyybaylee,4500000,9154,183300,10400
3,5,original sound - Lisa,"pov, povs, pov, fyp, povstories, foryou, usa",amarakeylee,18400,4487,4023,680
3,6,Confidence (sped up version) - Ocean Alley,,.e.s.t.e.l.l.e,191900,1270,8556,2752
