batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ®️ Louieveegang💙,@louieveemoonteenmoonfam,louieveedee,297300,1571,20300,721
1,1,original sound - REEKON Tools,,reekontools,640800,3858,105200,77600
1,2,original sound - Nick Eh 30,,nickeh30,688600,2946,191000,5540
1,3,whyisthisaudiofamous - molly 💛,"fyp, haircut, korean, tiktokph, longwolfcut, wolfcut, hushcut",sunnydamsel,741,12,48,4
1,4,SIGMA - DARKHXN,usa,jumpersrewinds,20500,141,2606,203
1,5,original sound - poppy 🫂🫶🏼,"christian, christiantiktok, jesus, fyp, foryou, trending, greenscreen",joechristianguy,49500,1079,2875,195
1,6,original sound - spo6kzie,"fyp, blowthisup, nyc, bronx, lmao, group, baseball",jo_spamzz,176900,1205,15600,1616
1,7,original sound - Funny facts,"fyp, boys, girls, signs, viral, fyp%E3%82%B7",funnyfactsvn,429800,10800,50700,163800
1,8,nhạc nền - chinesemartialarts09,,chinesemartialarts09,186000,4390,13700,7267
2,0,original sound - Relationship content,"shortking, tall, family",marietemara4.0,3188,107,174,5
2,1,som original - Monica Martins de Oliveira,"teenhouse2023, giovana_martynns",teenhouse2023,77000,1281,5974,887
2,2,som original - Amy Scarlet,roblox,amyscarletof,149800,5283,11600,4452
2,3,Love - Revember,"tested, weird, store, policies, foryou, fyp, foryourpage, jackpembrook",doconualeoz,139700,266,16700,128
2,4,original sound - 𝒥𝓊𝓈𝓉 • 𝒟𝒞,"justdc, nigeriantiktok%F0%9F%87%B3%F0%9F%87%AC, alightmotion, viralvide, fypppppp, medazelli%E2%98%94, viral, viraltiktok, fyppoppppppppppppppppppppppp",justdcoflife,38700,236,8421,702
2,5,original sound - Logan Miller,,loganmillerx,894000,1620,33600,863
2,6,original sound - Isaac Maus,"@yussiiief1011, replychug, fanta, orangefanta, chug, sodachug, fyp, foryou, whatsnext",buzzen553,8561,329,275,97
2,7,nhạc nền - TheChurcoFamily,,thechurcofamily90,217900,724,10800,767
2,8,original sound - Toyy,"blackmoms, friends, paramore, herway, herwaychallenge, presidentdeborahalivilliams, deborahaliwilliams, floptok, flopera",toyyii_,148600,404,21200,848
2,9,Calm background music with acoustic guitar and saxophone(1288148) - ame,foryou,comebaby789,13300,99,880,146
2,10,bent instrumental - ⚜️,"aesdr, relatable, viral, fyp, rizz",yourkute,417000,1530,36800,849
2,11,original sound - jahgotbags,"icespice, roblox, robloxfyp, robloxvc, robloxskit, voicechat, ice, spice, funny",jahgotbags,53900,218,8421,221
2,12,som original - Elerrander,"cirilaemariojoaquino, mariojoaquino, elerrander, cirila, reageelerrander, fy",elerrander_,299700,458,16900,790
2,13,Party - Bad Bunny & Rauw Alejandro,"@fortnite, @karinaortizpr, fyp%E3%82%B7, trending, 05, viral, party, fortnite, emote, goku",scrishlp,157000,1290,23500,3151
2,14,original sound - jay,"fyp, viralvideo, relatable, relationship, couple, funny, bf, gf, store, foryourpage",jnl.production,107600,537,7384,334
2,15,original sound - hezn,"fyp, fortnitememes",heznn,28200,149,2510,53
2,16,original sound - ali,,4lici4gonzalez,12200,2688,2770,119
2,17,original sound - underwood candy,"fyp, fyp%E3%82%B7, foryou, foryoupage, tiktok",underwoodcandy,350200,38900,42000,322000
2,18,som original - Mariana Souza,@thais.5551,mari.ilustra,357900,2213,29900,2451
2,19,original sound - Joe fazer clips,"joefazer, height, traveltiktok",joefazerclips,1400000,12200,74200,1810
2,20,original sound - Mk.Dadoll_,"justice, justiceformysister%E2%9D%A4%EF%B8%8F, justiceforjournee, bigmkway, justiceformysister%E2%9D%A4%EF%B8%8F, mkandjheavelychats",mk.dadoll,59100,824,11300,138
2,21,suono originale - Mohamed Baho,"goodthing, music, family, tiktok, explore, %D8%A7%D9%83%D8%B3%D8%A8%D9%84%D9%88%D8%B1, fyp, fyp%E3%82%B7, foryou, viral, funny, funnyvideos, viralvideo, fouryoupage, %D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8, maroc, tiktok, musica",mohamedbaho,306500,9197,55400,44600
2,22,original sound - The Relationship Hub,alixandstephen,alixandstephen,49100,82,1067,303
2,23,original sound - KEEMOKAZI,"unboxmagicalmoments, minisoblindboxcarnival, minisoblindbox, @minisoofficial_, @minisounitedstates",keemokazi,633700,1647,35100,1015
2,24,original sound - StacksAndSticks,"dahood, dh, micup, stacksandsticks, viral, fyp, freestyle",stacksandsticks,18300,125,2677,88
2,25,original sound - Isaac & Andrea,,isaacandandrea25,39600,43,2390,85
3,0,50 Cent P.I.M.P BaconChedda Remix - BaconChedda,"anatomyofafall, justinetriet, oscars, filmtok, oscars2024",tiff_net,16400,47,908,421
3,1,original sound - Whiskey Riff,"whiskeyriff, codyjohnson, grandoleopry, countrymusic, sweetmoments",whiskeyriff,61300,377,4364,3700
3,2,original sound - Lacy Chapman347,,lacychapman80,40700,3056,2841,3775
3,3,original sound - zhang c,"grandoleopry, elle, elleking, celebrity, celebritynews, dolly, dollyparton",zhangc163,14400,2863,726,566
3,4,original sound - countryrebel,", , oliveranthony",countryrebel,507900,5718,42700,45600
3,5,original sound - Grand Ole Opry,,opryofficial,158800,904,10700,3892
3,6,original sound - Elle King,"acousticcovers, cover, acoustic",elleking,14400,286,408,93
3,7,original sound - Grand Ole Opry,,opryofficial,18500,407,918,312
3,8,original sound - Oliver Anthony,"opry, oliveranthony, oliveranthonymusic, oprydebut, fyp",oliveranthonymusic,299400,2703,16000,5175
3,9,original sound - NOFEELINGS.,"sweetrilee, @carlypearce",germanfamilymusic,32400,308,1425,60
3,10,original sound - Country1music,"dollyparton, rebamcentire, carrieunderwood, jennifernettles, martinamcbride, kacymusgraves, iwillalwaysloveyou, foryou, countrymusic",country1music,15500,340,1247,640
3,11,original sound - DJ Precise,"alliwantforchristmas, cover, christmasmusic, alliwantforchristmasisyou, mariahcarey, dollyparton, justinbieber, arianagrande",djprecise,21300,941,2561,74
3,12,Oh No No No Laugh - Sound Effect,"elleking, grandoleopry, nashville, countrymusic, dollyparton, tributeshow, countrymusictiktoks, cancelled, dollyfam, dolly, drunk",jamiek721,88400,5035,5888,8904
3,13,Smell Like Smoke - Lainey Wilson,"cbsnashvillenye, happynewyear",laineywilson,49000,737,1635,342
3,14,original sound - DanioAFG,"dollyparton, tomorrowisforever, yesterdaymustbeforgot, viral, foryourpage, foryoupage, porterwagoner, dennis_amisi, lyrics, trending, trendingvideo",dennis_amisi,4151,85,506,2056
3,15,original sound - countryrebel,@ashlandcraftmusic,countryrebel,10700,234,746,447
3,16,original sound - Sheena Melwani,"dadjokes, whitneyhouston",sheenamelwani,37400,278,904,505
3,17,original sound - Celebrity Playlist,"robschneider, elleking",celebplaylist,11100,143,936,725
3,18,original sound - Dolly Parton,@duncanhines,dollyparton,19400,225,1100,231
3,19,original sound - 10xHealthAmbassador,"depression, anxiety, genetics, genetictesting, garybrecka, happiness",garybrecka_official,27300,221,10300,6660
3,20,original sound - Dolly Parton,"@celebratewithdolly, @walmart",dollyparton,66300,1000,2707,1915
