batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Storytelling - Adriel,"fyp, viral, fortnite, fortnitepro, fortniteclips, fortniteranked, fortnitememes, fortnitetips, gaming, camnutz",camnutz_,104100,10400,8202,291
1,1,IMMMMM UPPPPP - Antwitdatfatty 🍑,"fyp%E3%82%B7, relatable, trending, aylecia, xybca",leci.bby,263600,1061,41300,3720
1,2,original sound - REEKON Tools,,reekontools,640700,3857,105200,77600
1,3,original sound - user3982363168384,,knight2023.1,530500,293,24100,232
1,4,People used my sound Question Mark - aeirein,@iammarcohall,brookeashleyhall,239700,485,11200,801
1,5,Love You So - The King Khan & BBQ Show,"viral, couple, boyfriend, fyp",andrea.lopez44,29100,113,1505,51
1,6,original sound - ®️EAL_ CY🅿️HER🦅,"@lxssx.lx, fyp%E3%82%B7, tiktok, capcut, fyppppppppppppppppppppppp, eminem, lovethewayyoulie",real_cypher5,1300000,6224,84800,3684
1,7,original sound - guy with the list 🗒️,"ick, icks, redflags, redflag, icklist, list, fyp, viral",wyszkay,3000000,29000,232100,89400
1,8,cinnamon girl - ꨄ,"ketchupheinz, brothersisterlove, ketchuponeverything, fypage",nope.not.madysin,2200000,5264,67500,2364
1,9,Pretty girls here - Jaz,"@aybl, gymcrush, gymcrushes, gymcrushfail, gymboys, gymboy, gymcouple, gympartner, gymgirl, girlswholift, shygymgirl, gymbro, relatable",moveswithmaci,113400,114,6165,716
1,10,"Spooky, quiet, scary atmosphere piano songs - Skittlegirl Sound","alien, caughtoncamera, miami, theory, creature",wildsavagestories,2527,56,744,4315
1,11,My Love Mine All Mine - Mitski,"relatable, lovelanguage, marriedlife, relationship, couple, marriagehumor, foryou, fyp, foryoupage, fyp%E3%82%B7",moandmiss,918900,2402,42100,39000
2,0,som original - W&K,"@xavier121093, behindthescenes",lalequita,3600000,4622,134100,5158
2,1,sonido original - Edgar,,vanerdd,9200000,33000,670700,179300
2,2,orijinal ses - caner,"pourtoi, fyp, foryou",louka__m,12400000,26600,467000,76400
2,3,METAMORPHOSIS - INTERWORLD,"physics, teacher, school, fyp",knowledgeunlimited19,1500000,3911,125000,8717
2,4,original sound - torross.crafted,"leatherasmr, leathercraft",torross.crafted,1800000,9286,102800,7676
2,5,original sound - epic gamer grandma,@macsrus,epicgamergrandma4,882700,8033,73200,27800
2,6,original sound - Slimmerjimmer,"fyp, lambotelevision",lambotelevision,4600000,11100,232300,71500
2,7,som original - BetoMartinne,,betomartinne,497800,43500,19700,10700
2,8,School Rooftop (Bird Sounds) - hisohkah,,theislandgame,1400000,18100,99800,8044
