batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,I Wouldnt Mind - ♱,"christiantiktok, christianhumor, christianjokes, christiancomedy, christian, christianitytiktok, godisgood, jesussaves, jesusislord",dangmattsmith,162900,2906,21100,676
1,1,original sound - REEKON Tools,,reekontools,640800,3859,105200,77600
1,2,son original - 💐𝐵🪐,,brookemonk_,3500000,6188,161200,8243
1,3,Bro this so old lol - ㅤ,"@bbelllav_, 6foot10, 4foot8, fyp, talltok, heightdifference",dla_fam,316700,4077,17400,4255
1,4,original sound - Jack chen,"skit, funny, joke, cokecan, coke, badword, babylearnsbadword",jackdoesskits,33800,318,8731,619
1,5,New Home - Frozen Silence,"@lovelymimi865, mom",jayjayhere0_0,9900000,51600,738500,92000
1,6,original sound - Vincent henry,"nflplayoffs, family, meangirls",vicent_henry,21600,41,1896,20
1,7,solved the problem - king,"@mworthofgame, @mxrix_.333",barstoolsports,225100,351,12200,638
1,8,bent instrumental - ⚜️,"aesdr, relatable, viral, fyp, rizz",yourkute,906800,2400,101900,7820
1,9,Let It Fly - Mr. Thank You,"thexoteam, tiktok, tiktoktrend",mr.thank_you,17300,2095,1601,633
1,10,original sound - Jesse Crosson,"virginia, south, inanutshell",second_chancer,41900,2848,1771,2163
1,11,original sound - KingZippy,@cheerleadinggal1,kingzippy,25400,498,3250,81
2,0,Little Life - Cordelia,"superbowl, 49ers, nfcchampionship, deebosamuel",__mahoganynicole,104100,407,3607,727
2,1,ac loverrmore - Ady,juandchan,juandchan,50600,212,956,203
2,2,original sound - Gia Duddy,,omgiaaa,13600,67,530,47
2,3,original sound - Jonathan Hardesty,"kcchiefs, chiefskingdom, chiefsnation, patrickmahomes, jacksonmahomes, fyp%E3%82%B7, fup, fyp, fupac, lol, chiefsparade, kansascity, kansascitychiefs",jonathanhardesty3,211200,1646,8231,7685
2,4,Cash shii playbook carti - 6ixy🕸,"fyp%E3%82%B7, @sprinkledcuppcake",nott.bristoll,271900,2357,21500,1266
2,5,Feel Good - Tundra Beats,nfloffseason,ab27018,119700,850,6719,1723
2,6,original sound - Coco🤍,"nflplayoffs, cheifskindom, rasheerice",dacodanicholee,1260,14,56,8
2,7,original sound - WHATS THE WORD,"whatstheword, chaseyoung, 49ers, nfl",whatsthewordtv,322600,1642,13500,4067
2,8,original sound - Thisxplained,"kristinjuszczyk, nfl, blackwomen, black, fashion, taylorswift, traviskelcetaylorswift",thisxplained,26500,1186,998,303
2,9,original sound - Carly Teller,"nfl, nflwife, wag, footballseason, fyp, sarcasm, nflwag, football, footballfamily, tellertok",carlyteller,147300,1160,2524,507
2,10,original sound - Whitney Risner,@vikings,whitneymarierisnerr,198100,278,4275,298
2,11,original sound - peakknight,"nba, nfl, cheer, fyp, foryou",ri.witdahoodie,184800,3133,20300,1972
