batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - REEKON Tools,,reekontools,640800,3857,105200,77600
1,1,original sound - divin,,ellielobio,227200,431,20200,604
1,2,original sound - Nicki Minaj,,grac3waites,90900,155,2019,195
1,3,Creepy and simple horror background music(1070744) - howlingindicator,"taylorswift, swiftietiktok, swiftie, swifties, thetruth, inthenameofjesus, spiritualwarfare, satanic",msalexisjohnson,161700,7655,30800,24600
1,4,original sound - JustinFlom,,justinflom,1600000,7951,109800,26500
1,5,original sound - sharkeif,,notburnttoasthehe,47700,115,4542,206
1,6,Tá OK - DENNIS & MC Kevin o Chris,"@sinetmatteo, diamantblazi, seckoff, basketballplayer, floridabasketball, florida, usa, usabasketball, dunk, explore, explorepage",diamantblazi,525700,2442,41600,2528
1,7,original sound - Thelolpodcast,,thelolpodcast,148400,481,11800,136
1,8,Ambition For Cash - Key Glock,"challenge, fyp, coupleschallenge, gym, gymtok, fitness, fyp%E3%82%B7, lifteachotherup, couple, portugal",ellanapper5,886700,1082,110100,17400
1,9,Save That Shit - Chief Keef,,user8468696735587,418400,5344,23600,811
1,10,Cha Cha - ZEDDY WILL,,jadelidamelio,229900,450,21300,303
2,0,they snubbed rhea seehorn - kim wexler’s wife 👔,"tall, tallgirlproblems, tallpeopleproblems, height, tallgirl",kiley_langille,967,37,138,4
2,1,Love You So - The King Khan & BBQ Show,"tiktokfashion, mfw, beyourownboss, fyb, foryou, foryoupage, anghami, spotifywrapped, spotify, music, talent, gottalent, thevoice, the_voice, thevoices, the_voice_kids",be7allllsamouri,420100,3417,50500,1492
2,2,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,"fyp, sendhelp, trending, foryoupage, girlmama, momof2, love, rylee, ryan, momlife, love",tekab0,48700,163,4792,105
2,3,Bad Feeling (Oompa Loompa) - Jagwar Twin,,brookemonk_,1500000,3764,93200,6596
2,4,sonido original - vvictoria,,brookemonk_,297700,519,13900,596
2,5,original sound - 𝑀𝒾𝓎𝒶 ♡,"fyp, foryou, viral, cutehairstyles, easyhairstyles, hairstyle",xo.miya7,45200,272,5230,82
2,6,It's Tricky - RUN DMC,"fyp, bigfamily, familyof10, momof8, foryou, foryoupage, largefamily",the.queensfamily,1900000,10100,77200,17300
2,7,The Little Mermaid (Marimba Remix) - Harry Goes Boom!,"fyp, foryoupage, viral, xyzbca, floptok, mylittlemermaid",taattoedheaarts,3200000,63800,276100,55000
2,8,i was only temporary 2 u - my head is empty,hopecore,thevisiondriven,4900000,14600,703100,41300
2,9,original sound - blockboyzz,"fyp, explore, relatable, viral, trending, blockboyzz",blockboyzz,7100000,14600,566200,26500
2,10,original sound - RUN DEZZO,"fyp, @cynthiaa_456",alexnxxxxx,321800,569,31900,3683
2,11,Originalton - TheNikeProGuy,"egirl, nikepros, nikeproshorts, nikepro, nikeprogyatt",nikepromodels,16500,70,2120,304
2,12,original sound - Ryu,"relatable, foryoupage, viral, fyp",gangster.bella,451700,1544,44300,7343
2,13,son original - 𝓳𝓪𝓱𝓼𝓮𝓱乂𝓯𝓸𝓻𝓮𝓿𝓮𝓻,"llj%F0%9F%95%8A%EF%B8%8F%F0%9F%96%A4, ripx, xxxtentacion",jahx...forever,101300,6548,18300,1735
2,14,sonido original - TheMaruan 🇲🇦💙🇪🇸,themaruan,themaruanx,53900,153,5867,218
2,15,sweet caroline but dark academia - fingerbib,"fyp, moonball, satisfying, tiktokmademebuyit, fidgettoys",leagionofrobots,674800,28600,34800,2705
2,16,original sound - gianna,,giannamjoyce,1400000,2922,121400,28600
2,17,You dont know me - ellery,,valeriesolanas.v2,165500,122,10300,97
2,18,Trust Nobody - Nomad Quinn,"struggle, motivational, insprational, heartwarming, motivation, inspiration",therealzaysmooth,89300,719,13400,490
2,19,The Mop - TisaKorean & Kblast & Huncho Da Rockstar,"3rdperoid, school, schoolperiods, 3rdhourtoday, math, geometry, algebra, algebra2, calculus, highschool, class, hate, foryourpage, christmas",willa..777,575900,9716,61400,6187
2,20,original sound - Aylex Thunder™,"aylexthunder, nyc, piano, pianist, dancer, centralpark",aylexthunder,204000,1458,13400,473
2,21,original sound - Itsallmaad,"foryou, foryoupage, itsallmaaad",itsallmaaad,280600,1534,20200,1289
2,22,original sound - mercy baby,"babytiktok, fuunyvideo, foryou, fyp%E3%82%B7%E3%82%9Aviral, kidsoftiktok, foryoupage, tiktok, goviral, funnyvideos",mercym565,3400000,8582,249700,67000
2,23,original sound - Relationship content,"shortking, tall, family",marietemara4.0,3184,107,173,5
2,24,original sound - daisysdays,,starvetheegofeedthesoull,31900,95,1923,81
