batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - DJ L BEATS,,b.e.n_rl,69400,1751,7591,3085
1,1,original sound - South . 💞💞,"fyp, viral",ybn_.niyah,655500,6967,76400,5496
1,2,I Wouldnt Mind - ♱,"christiantiktok, christianhumor, christianjokes, christiancomedy, christian, christianitytiktok, godisgood, jesussaves, jesusislord",dangmattsmith,162700,2905,21000,672
1,3,original sound - Kriss&Esme,"grwmroutine, getreadywithme, grwm, grwmforschool, makeupchallenge",krissleos,201600,1151,16600,206
1,4,original sound - The Relationship Hub,,realcaardo,81400,446,5676,267
1,5,original sound - annabelle gesson,,annabellegesson,82300,1134,8060,331
1,6,midnight sun (ramzoid x hal walker) - ZOID LAND,"tech, techtok, gamingsetup",dantic_,473900,1667,24200,202
1,7,original sound - Mind Blowing Facts,"randomfacts, learnontiktok, factsyoudidntknow, random, fact, curiosities, satisfying, relaxing",mindblowingfacts16,264700,26300,24700,234600
1,8,nhạc nền - Kiara,"salishmatter, hudsonmatter, saysaymatte, saymatte, fatherdaughter, date, daughter, mydaughter, viral, trending, fyp, saysaymattter",kiara_fanus,282800,1095,22900,609
1,9,original sound - NFL💔LEE,"jaleel, jaleelsisterjada, fyp, fyp%E3%82%B7, foryourpage, foryoupage, foryou",nofakelove_lee,311400,4309,18300,6269
2,0,original sound - Tanem 💋,"glossybalm, glossylipstick, cherrycolalips",musthavesxt,536400,976,83900,3945
2,1,original sound - Menufinder Africa,"foodtiktok, bigslicepizza, ghana, foodie, menufinderafrica",menufinderafrica,8817,155,1251,185
2,2,Big Energy (feat. DJ Khaled) (Remix) - Latto & Mariah Carey,"slicefactory, jumboslice, chicagopizza, pepperonipizza, chicagofood, chicagorestaurants, chicagosuburbs, aprilfools",theslicefactory,16200,678,906,2146
2,3,original sound - Trygve Bennetsen,,trygvebennetsen,28200,103,979,52
2,4,All About That Bass - Meghan Trainor,"slicefactory, aprilfoolsday, jumbojumboslice, chicagopizza, pizza, pepperonipizza",theslicefactory,528400,8674,27500,66900
2,5,original sound - Laurennn,"roachinthepizza, cutsandslicesnyc, imdisgusted",_theealicialaurenn,191,98,36,182
2,6,robot rock paul mond flip OUT NOW on soundcloud - paul mond,"trendingfilter, pizzaslice, whoknowspraise, pizzaslicemaster, viral, fyp",whoknowspraise,10800,473,590,15
2,7,original sound - LINK IN BIO🛍,"pizza, pizzalover, asmr, pizzatime, pizzatiktok, dough, board, pie, cake, baking, cooking, cookingathometiktoktv, kitchenhacks, pizzapeel",slideslice.com,656,36,49,11
2,8,Boy's a liar Pt. 2 - PinkPantheress & Ice Spice,"@loriharvey, nyc, fyp, brooklyn, smallbusiness, nycdestinations, foodinnyc, viralfood, pizza, changingthepizzagame, cutsandslicesnyc, pullupbeloved, specialtypizza, pizzalover, nycpizza, oxtailpizza, documentary, foxnews, love, health",cutsandslicesnyc,177100,1425,11000,16700
2,9,оригінальний звук - Lauuuzzz,rec,lauuzz2,86800,1029,6946,15300
