batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - DJ L BEATS,,b.e.n_rl,69100,1740,7566,3073
1,1,original sound - thethizzler,"fyp, viral, azul",azul_blue68,489100,2968,57300,6008
1,2,I Wouldnt Mind - ♱,"christiantiktok, christianhumor, christianjokes, christiancomedy, christian, christianitytiktok, godisgood, jesussaves, jesusislord",dangmattsmith,162700,2905,21000,672
1,3,bloodline x pony - DNSTY,,b.e.n_rl,780700,18600,68100,31600
1,4,original sound - Ranvision 軟趴皮,"viral, real, floptok, cokezero, pov, jiafei, jiafeiproducts, besties, humor, memes, povs, trending, floptok%F0%9F%98%8D%F0%9F%98%8D%F0%9F%98%AD%F0%9F%98%8C%F0%9F%A4%9E%F0%9F%92%85%F0%9F%92%85, trend, xyzbca, flopera, flops, slay, fyp",jiafeita,170000,3684,25500,2811
1,5,Asn - thsituan._.,,ccabots,202200,4691,123600,3803
1,6,Yeah! (feat. Lil Jon & Ludacris) - Usher,"anniversary, confessions",usher,424900,2842,22900,6805
1,7,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"fyp, foryourpage, viralvideo",callme_manny,457000,3093,81100,3236
1,8,original sound - kidsworldfun1,,sofiakholden,637000,1497,11900,365
2,0,Dance You Outta My Head - Cat Janice,duet,b.e.n_rl,14800,223,962,91
2,1,original sound - Kristy Sarah,,kristy.sarah,6100000,17100,294700,82200
2,2,original sound - 💗,"fyp, xybca",3wayroyal,491300,2627,52500,3610
2,3,prodbywar x dream - war,gotham%F0%9F%83%8F,.jxrttt,40100,454,5816,226
2,4,original sound - Jett,,lilnatalka,4300000,30600,343100,57600
2,5,original sound - Steve Dimopoulos,"pourtoi, lamborghini, aventador, blondes",babylio_tiktok,197300,838,19300,4988
2,6,original sound - Barstool Sports,@patbevpod,barstoolsports,4000000,10400,324100,43400
2,7,how i love being a woman - editdiaary,"fyp, foryou",imthe_annag,136000,15100,9657,2102
2,8,original sound - $,,brookemonk_,553500,669,33100,4826
