batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,Following just the New tiktoker - TikTok Queen🇧🇪 🇮🇹,ladykaylive,lady.kay_,251300,143000,183800,70300
1,1,original sound - REEKON Tools,,reekontools,640800,3857,105200,77600
1,2,original sound - Medazelli Automatic ☔️,,medazelli.automatic,1300000,4718,165800,18300
1,3,home - sped up + reverb - sped up + reverb tazzy & sped up songs & Tazzy,"transformation, makeover, before, beforeandafter",wakeupmakeup03,44900,562,3013,627
1,4,original sound - Tino & Shelby,"fyp, couplestiktok, viral",tinoandshelby,84100,886,6439,1336
1,5,original sound - Taylor,"fouryou, movieclips, fyp%E3%82%B7, movie, film, foryou, viral",taylormovie1,891200,225,44300,552
1,6,original sound - Weird Ryan,"toilet, candy, food, eating, asmrfood",weirdryanstuff,15700,16600,3147,758
1,7,The Best Music For Praying and Worship - Worship Ensemble & Worship Music Piano & Contemporary Christian Music,,thatvitiligo_guy,17100,1017,1878,248
1,8,original sound - PRIME,drinkprime,drinkprime,306600,2584,19400,973
1,9,sonido original - halo,"diamantblazi, seckoff, bball, basketball, fyp, dance, gamewin, gameday, viral, foryou, trend, floridabasketball, florida, usa, usabasketball, trio, dunk, sportstiktok",diamantblazi,73000,392,3894,280
1,10,original sound - Nick Yardy,"bottleflip, yardyland, fyp",nickyardy,31300,153,4475,622
2,0,original sound - Zel,"fyp, zel, comedy, dc",360zel,901400,1478,108500,6474
2,1,In & Out - YFG FATSO,"@live.roleplay, @toxic_cowboy23, trending, fyp, fivem, twitchroleplay, gtav, twitchstreamer, gtarpfr, gtarpclip, gtarpfunnymoments, foryou, liverpv2",qincern,26000,520,2208,594
2,2,Fuck Around - Nazzi Fiallo,,dylanbriscoe_,80000,289,6235,550
2,3,Back It up and Dump It (Dump Truck) - GC Eternal & Kinfolk Thugs,,paytontheginger,100500,285,6813,371
2,4,original sound - Courtside Shod,"lebron, lebronjames, kobe, nba, conspiracy",courtsideshod,280400,4272,22400,8108
2,5,original sound - Tuto,"vultures, funny, viral, fyp",tutotheguy,709300,3693,59200,9847
2,6,son original - reap,"cat, fyp, funnycat, foryou, cute",reaplecat,1400000,4240,115600,35700
2,7,Let The Truth Out - Kyloaded,"hilarious, fyp, fyp%E3%82%B7, fypage, fyp%E3%82%B7%E3%82%9Aviral, fypp, foryou, foryourpage, fy, funnymoments, funnymemes, fyy, tiktokusa, tiktokus, ustiktok, funnyusa, hilarious, fypusa, fyp%E3%82%B7, fypusa%F0%9F%87%BA%F0%9F%87%B8, fyp%E3%82%B7usa%F0%9F%87%BA%F0%9F%87%B8",sheistyshorts,1088,51,130,22
3,0,original sound - Krystalkmakeup,"@krystalkmakeupofficial, grwm, contouring, fullmakeup, gullglammakeup, contouringtutorial, makeuptutorial",krissleos,139000,432,20200,433
3,1,original sound - Lola Winters 🎀,,itz_justlola,213900,2472,11700,203
3,2,original sound - jokers,"impracticaljokers, impracticaljokersclips, salvulcano, jamesmurray, joegatto, joefromimpracticaljokers, comdey",impracticaljokers39,3000000,2441,246600,20400
3,3,original sound - Relo,"@tragicthegreat, fortnite, fortnitefail, fortnitefunny, fortnitechapter5, fyp",reloteles,590200,5084,83600,9555
3,4,original sound - sparkles_qt,"fortnite, foryou, fortniteupdate",sparklesqt,127200,1791,36700,6013
3,5,gta taxi funk by dj paulinho mondi - paul mond,@flyxo.fwi,santea_,594300,1638,39200,5534
3,6,Perfect - Galuh,,elsarca,436400,5546,25100,6862
3,7,Little Life - Cordelia,drpepper,packjower,1300000,4240,54800,13300
3,8,original sound - All Sides Pressure Washing,"pressurewashing, pressurewashingbusiness, pressurewashingtips, pressurewashingbusinesstips, pressurewashingforbeginners, pressurewashingvideo, pressurewasher, pressurewashingequipment",allsidespressurewashing,68500,1864,3264,363
4,0,original sound - SonOfJoker,"@andypix1, @bellaz908, capcut, joker, foryou, jokeruganda, sonofjoker, sonofjoker, jokerchallenge, disclaimer, africanchiild%E2%9D%A4%EF%B8%8F, andypix, hurleyqueen",sonofjoker0,52000,603,2107,351
4,1,original sound - Clinton🤴🏾❤️,"@gold__ita, realclintianoo",real.clintianoo,48300,20800,5387,20300
4,2,original sound - Mysterio cast,"theory, conspiration, story, truth",mysteriocast,301800,3806,59600,27400
4,3,original sound - Christina Moceanu Chapman,"fyp, viral, target, shopping, marriedlife",anxietycouple,42200,340,2616,284
4,4,original sound - Claireeee,,clairelizzyxo,2692,14,234,6
4,5,original sound - user36471888809,"fyp%E3%82%B7, fyp, fyp, fyp, trending, viral",only_at_macys,68,4,1,0
4,6,Shetani challenge - Angelnyigu,sassielibra,imsassy22,9218,458,184,102
4,7,original sound - Kyze 2x,"fyp, foryou, fyp%E3%82%B7, kyze2x, wishheavenhadaphone, rip, sad, singing, acquapella, mood",kyze2xofficial,166200,8830,35200,2416
4,8,sunet original - AL RAFAELO,"rafaelo, foryou, dubai",rafaelo.ro,36600,511,2480,161
4,9,nhạc nền - tips_ex,,tips_ex,5007,49,516,204
4,10,School Rooftop (Bird Sounds) - hisohkah,"@thetrenchesglobal, mamaandkenn, mamaandken, momanddaughter, momanddaughtergoals, fyp, fyp%E3%82%B7, foryoupage, foryou, funny, relatable, savingmoney, viral, trending, moneyproblems",mamaandkenn,43100,118,2692,523
4,11,оригинальный звук - scar1exa,almightyarcher,almightyarcher,36400,153,2202,131
4,12,female rage - bel6va,,alissaviolet,705300,495,15800,1927
4,13,original sound - Gyyfcycy,"raywilliamjohnson, drama, crimestories, truestory",user6183616026236,65099,585,5002,84
4,14,Ndaw - Baye Mass,"@dianke00000, senegalaise_tik_tok, fichasenegal, mbour, france%F0%9F%87%AB%F0%9F%87%B7, italy, spagna%F0%9F%87%AA%F0%9F%87%B8, medinah, medina, parcellesassainies",ciskoetsesamis,66700,270,11800,693
4,15,original sound - davidcastain,"cute, dog, funnyvideo",davidcastain,117900,876,13800,7704
4,16,son original - 🎧,,guilia193,878,100,105,38
4,17,Я Тебе Поставлю Лайк - Бэтси,"duet, duet",wan45126yev,838200,116700,189800,58700
4,18,sonido original - Maruan,"themaruan, drip, outfit",themaruan,35800,141,3095,245
4,19,sonido original - BTEMINA👑,"fitnessmotivation, stamina, cardio, winterarc, reall, gymrats%F0%9F%90%80%F0%9F%92%AA, gymmotivation, ukgymrat, football, boxingtrain, athlete, lungdetox, traininghamon, athletesoftiktok, athletes, gym, lungflexer, gymrat",lungflexer,24100,212,2988,184
4,20,original sound - Colby,"fyp, lamborghini, thanksgiving",colbyhom,19900,87,846,32
4,21,original sound - 𝕃𝕘𝕟𝕕𝕥𝕠𝕜✌️,@germany_big_bosi,ornellazocco26,7458,18000,1050,125
4,22,original sound - The bonehead,"paranormal, scary, horror, creepyvideos, scarytiktoks, unexplained, scaryvideos, ghosts, haunted, creepy, viral, crazyvideos, ghosts, horrortok, unbelievable, freakout, scarystory, horror, ghostmode, crazyvideos, caughtoncamera, terror, creepytok, scarystories",the_bonehead,343700,6929,41300,10500
4,23,Tem Café Forró X Arrochadeira - Andrezinho Araújo & Dj Kevin,"foryou, fyp",thereallastson,24900,91,930,198
4,24,Aces (Sped Up Version) - dkj & sped up nightcore,"fortnite, fortnitechapter5, xpglitch, fortnitelevels, fortnitexpmaps",pzndo,710400,3706,248800,16900
5,0,оригинальный звук - Kisho,"anime, animes, animeedit, animeboy, fy, animebadassmoments, foryoupag, bestanimemoments, animescenes",kazuto..17,12500,170,2788,131
5,1,original sound - Kad,"fyp, policegirl, woopwoop",kadlikecat01,992200,6485,77300,7970
5,2,original sound - alexbreakshisback,"backcrack, stallbars, stretch, flexibility, calisthenics101",lamainethetrain,134500,646,10300,3354
5,3,original sound - Memereal123,"haha, memes, funny, viral, fyp, xuhuong, cute, couple",hihcutebaby,417300,1636,28200,7987
5,4,orijinal ses - 𝕯𝖆𝖗𝖐 𝕷𝖔𝖗𝖉 𝕸𝖚𝖘𝖎𝖈,"logoanimation, procreateanimation, procreatedreams, procreate, animationart, motiongraphicsanimation",nikaidowaa,302300,3025,33500,1071
5,5,original sound - Bodybuilding Nation 🇺🇸,"legends, bodybuilding",bodybuildingnation,119200,281,8129,776
5,6,original sound - TomerLawton,,lawton_live,2355,23,159,3
5,7,original sound - Deyton_vela_Djv,"ekspresikan2023, ekspresikandengancapcut",deyton_vela_djv,10,0,1,0
5,8,original sound - ice(spice)🍘,"fyp%E3%82%B7%E3%82%9Aviral, icespice, xyzbca, xuhuong, edit, icespiceeedit",ice_xx_spice_fan,255,4,36,7
5,9,original sound - بدون دقات,"nbayoungboy, 38baby, neverbrokeagain, fyp",youngboysburner,41300,369,2301,143
5,10,original sound - ElysiumCrux,,miawaiifuxo,38000,1037,3304,83
5,11,original sound - haleyybaylee,superbowl,haleyybaylee,613300,2472,25900,2349
5,12,Bundles (feat. Taylor Girlz) - Kayla Nicole,"foryoupage%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F, fyp%E3%82%B7%E3%82%9Aviral, motivationalvideo, manifestation, funny, funnyvideos, replacement, foryoupageofficiall, relatable, relateable, viral, fyp%E3%82%B7, kardashiansjenner",xo_alx,575700,804,39900,3114
5,13,XO EViL LiF3 (.DEMON.) - steve breaux,"stunts, stuntman, universalstudioshollywood",_yeyo.27,15800,37,762,182
5,14,underneath the tree - ‍r7ptor,"@theaishahsofey, @summerxiriss",sophieraiin,179500,1280,29700,1918
5,15,original sound - Catskittymeow,"fyp, cats",catskittymeow8,1500000,10200,93200,105700
5,16,suono originale - JULIA 💎,"zehrag%C3%BCne%C5%9F, zehragunes, volleyballworld",julia_channel_,254100,427,29000,1787
5,17,I’d Rather Overdose - HONESTAV,"addiction, recovery, alcohol",mags_crazy_life,121500,465,2631,40
5,18,original sound - Rowheim Farooqui,"astonmartin, kfc, dallas",rowheimfarooqui,1610,56,241,37
5,19,original sound - ㅤ,"funnyvideos, foryoupage, blowthisup, staring, lmao, funny",randomfactgod,1500000,6301,174600,18600
5,20,wooowa ba ba ba ba - 𝓹𝓮𝔂𝓽𝓸𝓷🏴‍☠️,,ecedegilbaskabiri,4847,25,216,22
5,21,son original - Tsqua_d,"soraya, raya, tsquad, tsg, thg, edit, tommy, tommytheclownn",tsqua_d8,2570,3,191,6
5,22,La Culebritica - Grupo 5,"bloopers, fyp%E3%82%B7",backupfordezera,1300000,7605,116400,3512
5,23,original sound - it’s your fav familyguy clips,foryoupage,tbhcacagirl,1500000,7442,112200,6582
5,24,Body perfect - Ziah150,fyp%E3%82%B7,chasityromann,96100,335,9781,444
5,25,original sound - Strapz Laces,"@fodorzsombi, airforce1, airforces, nikeairforce1, af1, af1s, nikeaf1s, nikeairforce, howtolaceairforce1, howtolacesneakers, howtolaceshoes, howtotiktok, lacingtutorial, lacingshoes, lacingsneakers, lacingupsneakers, howtolaceaf1, shoelaces, howtotieshoelaces, laces, shoelaceidea, shoelacestyle, sneakerlacing, sneakersaddict, fyp, viral, asmr, asmrsneakers",akastrapz,335200,638,124500,9963
5,26,original sound - ❥ 🇪🇸◟خويلد ؟,"pianogirl, pianoteacher, biden, prettybabe",torypiex,182100,1325,24600,1503
