batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,I Wouldnt Mind - ♱,"christiantiktok, christianhumor, christianjokes, christiancomedy, christian, christianitytiktok, godisgood, jesussaves, jesusislord",dangmattsmith,162900,2906,21100,676
1,1,original sound - REEKON Tools,,reekontools,640800,3859,105200,77600
1,2,original sound - active <3,fyp%E3%82%B7,tina_042,333600,3919,18300,912
1,3,original sound - mem,"apseminar, psa, lungvslife",mem_mullins,1900000,7408,145400,14300
1,4,original sound - Plainrock124,"fyp, plainrock124, switch, nintendo",plainrock124clips,8611,97,1406,46
1,5,original sound - Militant,"militantentity, fyp, undercovercop, policeforce, uspolice, jubilee",militant.entity,16800,83,1227,16
1,6,Dont Drop That KRI X DARILLIS X JJOZIAH - ProdKri,@emdizzle14,aubdizzle21,26200,157,5783,239
1,7,som original - LG,,kirkiimad,13300,796,1316,24
1,8,original sound - Sport Catalog,"fyp, trending, viral, sports, gym, gymmotivation, fitness, fitnessmotivation, snowball, baseball",sportcatalog,199700,1337,25400,1654
1,9,original sound - Pst. Solomon Solomon,"tiktokkenya, fyp",testakuka,277100,2276,14300,4171
1,10,original sound - sped up songs 💗,"fyp, foryou, fortnite, ilovehim, bf, xyzcba",_heluvsmar,380500,3715,45500,5915
1,11,original sound - Bjorn Broman,"@antisocialjay8, basketball",bjornbroman,119300,690,8921,1071
2,0,original sound - sweetnsour,,sweetnsour.official,291900,2362,28800,1276
2,1,Back It up and Dump It (Dump Truck) - GC Eternal & Kinfolk Thugs,"love, sister, sistergoals",user09182736461,10,0,0,0
2,2,som original - Kaiky Assis,,themrrat_,4099999,46700,240000,155400
2,3,original sound - HendersonDramaClub,"drama, givingback, feelgood, heartwarming, deliveryheroes, seasonofgiving",hendersondramaclub_nm,347600,5451,21000,4907
2,4,nhạc nền - Thế giới 🌏,,bian_ghotst,3400000,48100,333000,145000
2,5,Here I Am to Worship - Josué Novais Piano Worship,"foryou, viral, foryoupage, fyp, fypage",lei.lyn,170000,1684,31300,2185
2,6,#WIPEITDOWN - BMW KENNY,"@nxsh.mocs, brunettehair, clean, mirror",only.jeanmarieexo,7878,286,647,79
2,7,original sound - katiana,,katiana.kay,493700,1485,52600,1016
3,0,original sound - La_melii_g😈✌🏼,"fyp, eating, mukbang, quesabirria, food",la_melii_g,27100,888,1007,349
3,1,"Horror, Fear, Mystery, Suspense, Criminal, Terror, Halloween, Movie, Soundtrack, OST, TV Game, Creepy(1323087) - SAKUMAMATATA","mystery, theory, horror, jumpersjump, horrorstory",horroriginz,525000,4331,61600,726500
3,2,The Champion - Lux-Inspira,"naturalremedies, naturalremedy, organichealthandbeauty, constipation, constipationrelief, constipated, constipationcures, bloating, hemoroid, laxatives, flatbelly, flattummy, digestion",myhealthandbeautyrecipes,270200,4122,148300,97800
3,3,Original Sound - Unknown,,areaclosed52,1300000,10500,75300,142900
3,4,Majesty - Deeper Soaking Worship,"selfgrowth, mastery, subconsciousmind, personalitydevelopment",selfmasterjohnson,50300,9358,15700,2092
3,5,[Live recording] Record playback noise 04 (5 minutes) - Icy Light,"wwe, wwefan, wrestling, sports, viral, reaction, trending, new, foryou, foryoupage, fy, fyp",wwe_beast9,226800,4778,12700,4739
3,6,original sound - Eddie Abbew,"eddieabbew, valentines",eddieabbew,449200,5968,47800,26600
3,7,Dance You Outta My Head - Cat Janice,"cancer, songwriter",cat.janice,5100000,173600,252000,92500
4,0,Ick - Alt Ending - Lay Bankz,,blondielovesballs,11500,436,4605,219
4,1,som original - Peter ♚,,audizgod,310700,984,39500,3288
4,2,original sound - Paul Olima,"Flying, Plane, Airports, @svengudvunsun, @meettheharrisons, @emilyfayemiller",olima_omega,207600,1446,16600,3637
4,3,original sound - allison,fyp,redhairgorl,149900,825,29000,2169
4,4,Following just the New tiktoker - TikTok Queen🇧🇪 🇮🇹,ladykaylive,lady.kay_,250500,142300,180700,70000
4,5,original sound - Caleb Finn,,lelasohna,73100,257,13600,368
4,6,original sound - amy 🐶🐾,,cutevetassistant,3239,25,244,43
4,7,Last Christmas (Pudding Mix) - Wham!,"codymaverick, hawaii, sufergirl, tistheseason",captaincar0line,173400,5,15000,682
5,0,"Spooky, quiet, scary atmosphere piano songs - Skittlegirl Sound","fy, actor, hollywood, deep, crazy, viral",johnamonreal,41600,382,4974,858
5,1,original sound - user73102169903,,deartfiuko3,64300,18700,3683,1380
5,2,original sound - lacie may,"fyp, hi, countrygirl, ford, fordtrucks, minnesota",mnaveragelaciemay,63900,32900,3104,349
5,3,original sound - KISHASWEETS 💖,"fyp, chicago, funny, kids, food, grandsun",kishasweets,1300000,16100,103700,81800
5,4,original sound - Kad,"fyp, policegirl, woopwoop",kadlikecat01,992500,6487,77400,7971
5,5,original sound - Cheska Limson on Youtube,"magsinotwins, magsinosibs, fyp, siblings, zxycba",athenadsuperior,47900,9,4652,5534
