batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19900,170800,108600
1,1,original sound - izzy,"colbybrock, colbybrockedit, fyp, viralvideo, blowup, xyz, xplrizz",xplrizz,257700,5371,84800,5629
1,2,Судно (Борис Рижий) - Molchat Doma,"slavic, russian, balkan",eduardtok,201800,3777,69000,4443
1,3,Everybody - Nicki Minaj,"family, adoption, raisingteens, adoptingteens, ethicaladoption, pregnancy, pregnancyafterloss",tasiactaylor,151000,0,7116,2991
1,4,original sound - Ethan Steele,,ethan.stee1e,1200000,5573,128300,5983
1,5,الصوت الأصلي - MR BLUE,"stitch, stitchlover, halloween, christmas, tiktok, foryou, explore, collectionstitch, stitchstuff, liloandstitch, stitchandangel, ohana, disney, edits, artdigital, edit",mr.blue.heart,63300,20000,9227,275
1,6,original sound - zυяι ᥫ᭡,"berryavenue, berryavenueroblox, berryavenuerp, berryavenuecodes, berryave, robloxrp, princesszuriiii, berryavenuerp%F0%9F%8F%A1",princesszuriiii,2147,61,339,11
1,7,nhạc nền - karissaeats,"foodie, fyp, hack",karissaeats.fanss,36300,44,3716,116
1,8,Aesthetic - Tollan Kim,"foryou, movie, fyp, film, fyp%E3%82%B7",tk.steve,166400,142,6633,147
1,9,Creepy and simple horror background music(1070744) - howlingindicator,"facts, randomfacts, learnontiktok, satisfying, factsyoudidntknow, curiosity",calgenius,4825,835,1143,4723
2,0,Takee Myy Bodyy (Cover) - MITI NADA,"film, movie, foryou",xiwangnenghao,35700,125,3373,301
2,1,theresthedoorbich - moviepass,@sashatherese_,sashamorpeth,87900,95,2982,86
2,2,original sound - Cameron Roh,fyp,cameronrohpovs,208300,4628,34200,2870
2,3,origineel geluid - 🩷,"@imamoioljij, fyp, weight, bodyshame",sfyk28,131500,3301,20500,846
2,4,оригінальний звук - Valentyna Marchuk,"@mamislab_, snowman, microsoftword",valentynamarchuk,254800,11700,103800,7972
2,5,original sound - 𝖑𝖊𝖝𝖆𝖓,"fyp, memes, fyp%E3%82%B7, foryoupage, lexanedits, blowthisup, xyzbca, disney",lexanedits,620300,3687,95000,11300
2,6,original sound - The Royalty Family💕💕,"other, royalfamily, fyp, theroyalfamily, foryou, reafamily, foryou, reafamily, family, theroyalfam, royal, royaltyfamily, realtyfamily, troll",theroyaltyfamily225,52600,391,7096,170
2,7,Blade Runner 2049 - Synthwave Goose,"fyp, movie, longervideos, tiktok",user6342255540962,575900,1370,47200,725
2,8,original sound - Official Beast Family,"viral, fyp, themadtwinz",themadtwinz_,41900,250,4086,325
2,9,original sound - Cxnary,"signs, psychology, language, social, culture, education, world, country, fun, fyp, xyzbca",officialcxnary,158400,2413,28200,1351
2,10,som original - LG,"fyp, girls",daniela_estefaniaa,42000,664,4226,31
