batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Gavin.kernstinee,igmirandahhmarie,mirandahshaul,406800,1744,44000,7046
1,1,,fypage,damesloveprince,535400,2383,53200,6369
1,2,,"winter, harrypotter, ice, icecicles",,2800000,12100,202600,54400
1,3,,"@2o9.juniorrr, @just_seann2, viral, fyp, princesos, junje",,399300,729,25700,363
1,4,,"fyp, foryou, gaming, saloodz, foryoupage, trending, fortnite, fortnitetips",,182900,1773,17500,392
1,5,,"fyp, colorfulhair, viral, sunsethaircolor, zyxcba, hairdye, adorehairdye, newhaircolor, sunsetcolors, purplesunset",,996800,4679,81700,6345
1,6,,"fyp, foryou",,169700,832,13300,98
1,7,,,,3400000,30100,225200,94600
1,8,,"game, build, catan",,283600,1432,23000,10800
2,0,,"foryou, sunsets",,3400000,17400,475600,32700
2,1,,"fyp%E3%82%B7, thegrinch, twins, finalsweek",,123600,481,15100,1333
2,2,,"pawrenting101, pawrents, park, tank, yorkie, yorkiesoftiktok, sweaterweather, hoka, tank_ms, bestdayever",,3700000,8639,202800,141500
2,3,,"relatable, fyp",,150300,339,11000,401
2,4,,"relatable, theonlyfamousbrian, money, laundry",,486600,1464,67300,2709
2,5,,"tiktok, foryou",,1100000,19200,76800,12600
2,6,,"fyp, viral, explorepage%E2%9C%A8, theretrokid_ben, funny",,116800,1755,10100,30100
2,7,,"@laineywilson, singingbarber",,4099999,94600,281500,114700
2,8,,"fyp, viral, azul",,488800,2969,57300,6008
2,9,,"%D1%81%D0%BB%D0%BE%D0%B2%D0%BE%D0%BF%D0%B0%D1%86%D0%B0%D0%BD%D0%B0, %D1%81%D0%BB%D0%BE%D0%B2%D0%BE_%D0%BF%D0%B0%D1%86%D0%B0%D0%BD%D0%B0",,1300000,5388,174800,32100
2,10,,"serverlife, serverproblems, servertiktok, servers",,145400,0,21800,844
2,11,,"recipes, asmr, foodtok, fyp%E3%82%B7, primalgourmet, beef, carnemechada",,525000,4299,76100,12300
2,12,,,brookemonk_,2300000,4260,131900,4066
2,13,,"atodamadre%F0%9F%8F%A7, %F0%9F%A4%99%F0%9F%8F%BD%E2%80%BC%EF%B8%8F%F0%9F%8F%A7%E2%80%BC%EF%B8%8F%F0%9F%A4%99%F0%9F%8F%BD, dd%F0%9F%92%ABuniverse, wyoming",,513100,3654,35800,140100
2,14,,"fortnite, fyp, fortniteclips, fortniteog, competitive, grandma, gamer, fortnitememes",,661100,7668,88700,22600
2,15,,fyp,,2900000,10500,149600,13200
2,16,,"sbf, 82deck, fordmaverick, ford, maverick, savethemanuals, stickshift",,679100,12200,39300,11600
2,17,,,,25300,193,2421,2243
2,18,,,,411300,5077,55600,4958
2,19,,"fyp, foryou, mariokart8deluxe, gaming, meme, memecut",,461800,2349,51700,48500
2,20,,"yskpodcast, youshouldknowpodcast",,359600,3644,23700,450
2,21,,"fortnite, fortnitememes, fortniteclips, fortniteupdate, familyguy, gaming, fyp, xtryguy",,1200000,4407,124000,11900
2,22,,@bellapayton12,,282300,793,14900,6249
2,23,,,brookemonk_,944100,2182,48800,1210
