batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,오리지널 사운드 - 4X4STUDIO,"@4x4studio, fyp, foryou, foryoupage, bestfriends, trio, besties, funny, dancetrend, trend, dance",ash.and.tay,1300000,2978,86000,13000
1,4,original sound - Hector🇵🇷,"funny, comedia, viral, fyp, parati, kpop",hectorlee_,60900,979,6842,646
1,6,Chopin Nocturne No. 2 Piano Mono - moshimo sound design,"bulltesticles, foodchallenge, rawmeat, fyp, viral, mrbeast, ishowspeed, adinross",paulylong,37300,1483,3512,4068
2,5,originalljud - max,"garrisonclipz, viral, fortnite, fortnitememes",garrisonf.07,1900000,16100,287200,41000
2,9,original sound - Nathan Kessel,"fyp, foryou",kessel_nathan_official,167700,618,5963,230
2,15,RAJHGGGG LAUFEY AND JUNIA USED MUY SOUND - sam,"tiktok, fyp, viral, foryoupage, fy, foryoy, meme, memes",zirlous,108000,12800,13500,617
2,21,original sound - Ťŵïzźÿ,"fyp, viral, fortnite, 200pumped, fyp%E3%82%B7, prank",ethan_twizzy,74200,570,16900,2484
2,22,original sound - MoneyBagBunda,"fyp, foryou, foryourpage, funny, viral, america, dad, bedtime, skit",moneybagbunda_,100300,622,15800,1094
2,25,original sound - TheGnarlyAustin,"fyp, relatable, skit, funny, humor, viral",thegnarlyaustin,416800,4309,54600,5128
2,26,original sound - vines_official,"funny, foryou, dantey_tv, vine",dantey_tv,57600,293,11400,2741
2,27,original sound - ifyouwereaf0,"fyp, foryoupage, foryou",ifyouwereaf0,1000000,4305,82100,8986
