batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,love song (hesitations) (sped up) - Lofuu & Shiloh Dynasty & dprk,"fyp, fyp%E3%82%B7, trending, viral, roblox, obbybike, foryou, bunny, gaming, streamer, tiktokstreamer, bunnycam",poisonog,79100,1051,5562,145
1,1,original sound - sharko,"fyp, fypages",eli_unique_,173800,2735,17700,3231
1,2,bunyi asal - Pok Dik Muse - DikMat,"tiktokmademebuyit, adhd, trending, musthave",calmpenshop,488800,4499,70300,17900
1,3,ONE CALL - Rich Amiri,"alternativeschool, vape, cleveland, alternative, school, foryou, fyp, 444, clevelandschools",zombicid3,225900,1251,8785,454
1,4,original sound - Rango Jalex,@aleclang,rangojalex,397500,4753,65099,3496
1,5,original sound - mr julian,fyp,julianseyebrows,2200000,4013,261100,10200
1,6,UKRAINE - Jay Hound & Jay5ive & SweepersENT,,nolimitjay_,233200,1589,22700,960
1,7,kai bomboclaat - 6’2 with dreads btw,dog,yyyudy,81600,453,8295,1081
1,8,original sound - Jax,"roblox, robloxfunny, robloxmicup, micup, micuproblox, robloxian, robloxian, robloxfyp, funnyroblox, funroblox, funnymomentsroblox, robloxmeme, robloxfunnymoments, robloxtroll, robloxtrolling, robloxtiktok, robloxvoicechat, robloxvr, robloxvrfun, robloxfunnymoments",anticlimaxjax,81300,692,15300,714
1,9,Insta cristalxox - 💋𝒞𝓇𝒾𝓈𝓉𝒶𝓁✨,,alex2fad3d,423300,1194,37700,3651
1,10,original sound - BARS by RapTV,"raptv, bars, rapper, music, hiphop, drake, drakememe, fakedrake",bars,126500,1590,10900,1115
2,0,original sound - Matt Stonie,"mukbang, foodreview, eatingbreakfast, breakfastchallenge, food, fyp, challenge, eating, eatingshow, viral, foryou, competitive, trending, mattstonie",matt_stoniefans,53800,243,4308,413
2,1,Pipo ♡ - MomAdzkiyya:||🧚🏻‍♀️,@tiodimas_saputra,rahulkejora,401800,11200,49400,23900
2,2,Sobbing why is this viral - literally gnarpy,,crazyjamjam_,470900,5813,31200,4517
2,3,justaminx karma - :p,spicyfruit,realwassabiproductions,175500,764,21400,1371
2,4,original sound - fendijordan3,"fyp, fendijordan3, comedyskit",fendijordan3,631500,9888,76100,18500
2,5,original sound - You're joking,"floptok%F0%9F%98%8D%F0%9F%98%8D%F0%9F%98%AD%F0%9F%98%8C%F0%9F%A4%9E%F0%9F%92%85%F0%9F%92%85, flop, flopera, floptok, slay, viral, tiktok, aesthetic, stantwitter, xyzbca, fyp, foryou",favpopmoments,787900,4304,86200,13100
2,6,original sound - Nathan,"jeanis, baggyjeans, lifeproblems, mensfashion",dylankhe,194500,3224,22000,1382
2,7,original sound - Funny videos 🇺🇸,"foryou, funny, usa",funny.videos4you,1200000,4335,106500,41600
2,8,original sound - hoodessentials,,hoodessentialz,24600,78,1926,24
2,9,original sound - Medazelli Automatic ☔️,,medazelli.automatic,52100,211,8683,681
2,10,original sound - spo6kzie,,theyluvvmarion,4300000,23700,479500,44700
2,11,original sound - PepperoniMacaroni,,frogboyinfinity,244700,909,33300,5702
2,12,sonido original - ⋆ ˚｡⋆୨♡୧⋆ ˚｡⋆,@yourtoslow_lol2,jv3al0uz,134500,4658,30100,7016
2,13,original sound - billy,"party, birthday, sleep, bedtime",billyvsco,200900,1074,17700,3819
2,14,original sound - Andydrew,"fyp, fyp%E3%82%B7, foryou, yxzcba, relatable, funny, skibi, manxman, what, whatsbrodoing, fypage, imbatakum, coem, coems%F0%9F%A4%91, discord",averageformost,462200,5666,72100,11500
2,15,Ring around da rosiee - 🅿️,"fyp, fyp%E3%82%B7, pov, viral, funny",mahalkuyaj,1100000,5056,94800,22900
2,16,original sound - Rahul Mehmi,"jiajei, period, fyp, foryou, frankocean, viral, garbage, mom, lol, abcxyz, floptok",nickiminajscupcakke,374600,3292,22400,3848
2,17,original sound - Kendrick,"fyp, spritecranberry",playboyjuju,479500,3216,41000,8682
2,18,original sound - Alibaba 💫,"fyp, foryou, sturdy, alibaba%F0%9F%92%AB",alibaba_rcm,1300000,18900,161200,43700
2,19,meme sound - 🔥Jaytzybreezy🔥,"fortnite, fyp, fortnitechapter5",slayyzie,164200,772,15800,689
2,20,original sound - Cey&Jai❤️,,itsceyandjai,336100,792,16400,1152
2,21,original sound - Duke Basketball,,dukembb,232100,180,14700,1029
2,22,original sound - Jillian !,"fyp, sick, cold, cough",harperzilmer4,515799,5384,39800,3843
2,23,original sound - GuffIsKaka,"roblox, viral, fyp, dahood",guffiskaka,76200,2447,16800,2158
2,24,original sound - Maddie👻,"sam4colby0, samandcolby, samandcolby, edit, colbybrock, colbybrock, samandcolbyedit, dance, friends, follow, snc, xplr, conjuringhorror, conjuringhouse, therealconjuringhouse, foryoupage, foryoupageofficiall, fyp, fyp%E3%82%B7, foryou, @samandcolby, @colbybrock, @samgolbach",sam4colby0,128699,661,39000,745
2,25,original sound - prodby668,,bellaak0415,929700,4548,39200,1997
3,0,original sound - Yvng Homie,,yvnghomie,87700,1061,10800,233
3,1,original sound - Ricky,"fyp, relatable, school, foryoupage",nappyheadaleexxx,1100000,6411,114500,7137
3,2,оригинальный звук - ㅤㅤㅤㅤㅤㅤㅤ,"diamantblazi, seckoff, bball, basketball, dunk, shoot, duo, basketball, challenge, trend, florida, usa, viral, fyp",diamantblazi,527100,2096,38000,3405
3,3,original sound - SML EDITS 💯💯💯,"fyp, viral, fyp%E3%82%B7%E3%82%9Aviral, santaclaus, smlvideos",sml_isthe_best,118000,963,28700,5258
3,4,original sound - Weirdo,"foryoupage, fyp, funny, comedy",weirdow0rlds2,111300,253,14000,187
3,5,original sound - ind_ian_ajones,bullwhip,ind_ian_ajones,588400,13800,56000,15300
3,6,she love the way im swaginn - arii,,kaylamanousselis,399900,4142,36700,1915
3,7,original sound - thatvidguy,"fy, fyp",thatvidguy2,132800,1085,11900,6185
3,8,original sound - WayOfMarkyV,"fyp, foryoupage, relatable",ycthefirst,94900,373,8129,2132
3,9,nhạc nền - Momoland,,ohikio1,380700,2910,23900,2172
3,10,original sound - Funnyhaha02,"haha, memes, funny, viral, fyp, couple, cute, xuhuong",funnys479,150700,1299,13700,15300
3,11,original sound - GoofyCredits,"mall, rizz, askingout, real, fyp, fyp%E3%82%B7, viraltiktok",goofyahcredits,127700,345,10800,587
3,12,Um excuse me wtf - joobislop ☦︎,"fyp, xyzbca, comedy, foryourpage, nikoburnett",nikoburnett,169100,2903,34300,2335
3,13,original sound - cody,"fyp, foryoupage, foryou, uk, foreyou, study, uni, lecture, foryoupage%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F",n.v8r,225000,875,13900,1668
3,14,Skibidi Toilet - Slowed + Reverb - Lil Big Stack,"skibiditoilet, fyp, humor, comedia, parati, foryou",ar.edits23,98800,1854,18600,11500
3,15,original sound - Bahaa ouattas,"funny, kids, meme, viral, usa",_pipissa_,160300,1035,22000,11000
3,16,original sound - Pubity,"pubity, @asmrlinastaar",pubity,765300,2750,69300,8199
3,17,original sound - John McGinnis,"foryoupage, foryou, fyp",johnmcginnis36,396300,6156,29300,36600
3,18,original sound - LukeDidThat.FanVN,"fpy, viral, likedidthat, asmr, mukbang, usamukbang, usa, hot, taste, spicy, noreaction, bigorsmall, sourchallenge, expensive, food, foodasmr",lukedidthat.fanvn,5685,44,478,116
3,19,original sound - ella,"@lightscamerabarstool, @raspberrysquashie",barstoolsports,16200,184,885,157
3,20,original sound - Straight Outta Viral,"icecream, throw, viral, fyp, funny",straight_outta_viral,46400,643,1896,2836
3,21,Mmm Mremememew Memew - yulia,"pourtoi, dz, leskabylesdefrance, fyp",flipflop_153,1000000,36100,113800,199700
3,22,original sound - illegalbugtrader,"fyp, turtle, adidas",vk.0151,438200,6154,59500,6727
3,23,original sound - clips.theboondocks,,abzbakare,317300,4911,24000,2070
3,24,nhạc nền - Fanny.baby.u6,,funny.baby.6,1400000,5435,232600,31100
3,25,original sound - Brian💂🏼‍♂️,themannii,the_mannii,9721,107,762,78
3,26,original sound - ihyevoxkz,"%E2%9D%A4%EF%B8%8F, her, relatable, %F0%9F%98%8D, love, obsessed, viral, funny, hersmile, anythingforher%F0%9F%98%8D%F0%9F%92%96, %F0%9F%98%AD, %F0%9F%98%82, %F0%9F%98%AB",big_sett0,67200,572,10000,2200
3,27,original sound - Mickey97,"oil, usa, , military, fyp",tegan_spamsz,2000000,46900,195200,21000
3,28,original sound - abdullah😎😎,"fyp, drippy_makkapakka1, foryoupage%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F, foryoupageofficiall, %F0%9F%A4%A3, fyp%E3%82%B7%E3%82%9Aviral, fypagee, foryoupage, funny, funnyvidoes, football, viralvideo, viraltiktok",abdu1145,120100,623,6708,2356
4,0,original sound - textswildin,"@rizz.app, funnytexts, minecraftparkour, texts, texting, textingstories, rizzapp",textswildin,78100,304,8754,198
4,1,TRANSGENDER (PEARL WHITE VIP) - PEARL WHITE,conspiracy,jumpersrewinds,126700,2732,16200,3183
4,2,Love You So - The King Khan & BBQ Show,"@austinsprinz, @grammys, @recordingacademy, foryou, taylorswift, leethe4th, grammys",leethe4th,166600,599,7489,93
4,3,original sound - Quest Gulliford,"@anthonycasper1024, @rosssmith",questg.tv,85100,588,3084,707
4,4,Lemonade Internet Money - joy:),"foryou, fyp",officialdieter,279500,1648,41700,955
4,5,original sound - Entynos,"things, love, girls",entynios,15800,974,2139,15500
4,6,sonido original - • David (Marc's version) ᱬ - • David ᱬ,"@maximoffmarc, @nigth.aep, @hx.space, @maximoffmarc, @maximoffmarc, ucmeedits_, wandamaximoff, scarletwitch, marvel, wandavision, viral",maximoffmarc,135800,296,17600,405
4,7,original sound - ESPN,"@curlycanglez_, slip, food",espn,622600,5288,64599,19400
4,8,FEELS LIKE A FEM QUEEN - Kevin Jz Prodigy,"fyp, fypp, gum, school, funny, fyppppppppppppppppppppppp, silly, oms, middleschooloms",hail3yloveskittens,96300,920,11300,731
4,9,Ya Digg - ✞,"boys, language, advice",advicewithdavid,92000,1414,19200,4680
4,10,original sound - Official Tracy_Konah,"tracykonah0, fyp, viralvideo, fyptiktok",tracykonah0,254400,1421,25700,5343
4,11,original sound - Bestclips,"kaicenat, nickiminaj, chrisnextdoor, dougie, viral, fyp, foryou, blowthisup",bestytclips11,791800,1284,64599,1952
4,12,original sound - ARI 🧜🏾‍♀️,"emojayda, emo, emogirl, foryou, trending, viralvideo, viraltiktok, fyp%E3%82%B7%E3%82%9Aviral, blackclothes, trend, trendingvideo, trendingsound",jaydaamourmillie,5318,74,404,16
4,13,son original - SPIRITED,"capcut, carnival, trending, caribbean",wayspirited,3976,45,536,111
4,14,original sound - AUDENSHOP,relationship,bks2013us,1100000,7398,117800,20600
4,15,ANITA MAX WYNN jersey fazo - fazo💫,"fyp, foryou, sturdy, alibaba%F0%9F%92%AB",alibaba_rcm,441700,2519,34900,2649
4,16,original sound - Jack,"fyp, funny, couplegoals, relatable, fun, humor, trending, love, viral, cute, relationship, pregnant",makayla.domagalski1,45400,72,1943,290
4,17,Laughing - Gianluca Marino,"fy, fyp%E3%82%B7, parati, funny, gracioso, funnyvideo, duet, learnontiktok, baby",_funny_clipzz,870300,3683,126200,13300
4,18,original sound - Defenders,,trapbunniebubbless,748100,18200,39400,1663
4,19,original sound - Claireeee,,clairelizzyxo,2666,14,230,6
4,20,Marvins Room - Bella Nae,"fyp%E3%82%B7%E3%82%9Aviral, foryou, fypage",thereal.jasonperez,470900,4785,42700,5185
4,21,original sound - Funnycute.baby 😘,,funny.baby.111,290900,777,34800,6071
4,22,original sound - Honored,america,anaverageman2,235400,5697,35200,7858
4,23,sonido original - halo,"diamantblazi, seckoff, bball, basketball, fyp, dance, gamewin, gameday, viral, foryou, trend, floridabasketball, florida, usa, usabasketball, trio, dunk, sportstiktok",diamantblazi,40400,261,2552,236
4,24,"Married Life (From ""Up"") - Gina Luciani","relatable, funny, couple, relationship, fyp",kristenandreafe,137500,383,7988,4070
5,0,Finger Dance - user91967901762,"themannii, unbanthemanniishow, freecomedy",the_mannii,34700,734,3367,144
5,1,original sound - ethan poisson,"fyp, foryoupage, viral, couple, daeandemily, comedy, @emilylou.xoxo",emilyylouu1,10800,21,337,72
5,2,original sound - AQmovie,"momsoftiktok, movie, tiktok",aqmovie,13100,77,1336,9
5,3,original sound - Codename Jesse,"memes, foryoupage, fyp, viral, foryou, viralvideo, funnyvideos, comedy, flipaclip",ricoanimations0,419500,4147,52400,10500
5,4,original sound - 😂😂,"meme, funny, viral, fyp, xuhuong",duyen123us3,148400,575,22200,1020
5,5,original sound - Memes!,,memesvid_usa1,1600000,6268,185500,14800
5,6,original sound - LiteralStories,"fyp, fortnite, viral, cooking, fr",literalstoriess,1400000,19900,170300,27600
5,7,original sound - Funnyhaha02,"meme, funny, viral, fyp, xuhuong",funnys479,47900,593,2071,148
5,8,original sound - Pubity,"pubity, @clariorhinchonos, @collab",pubity,101800,450,14900,3275
5,9,original sound - ParisHilton,"@merrickhanna, fyp, xyzbca, nickiminaj",gabriellenevaeh,22200,228,2418,33
5,10,original sound - Baylen Levine,"@lightscamerabarstool, @baylenlevine",barstoolsports,1200000,6421,59700,53700
5,11,nhạc nền - Fuuny_meme.ok,,meme_funny402,2774,15,426,39
5,12,nhạc nền - Cutebaby.funny 👀,,funny.babay.14,12900,91,2193,357
5,13,Originalton - Onehunnidpercentrap,"postmalone, rap, blowthisup",r.apculturelover911,390900,2090,39300,2361
5,14,son original - JUSTPOURRIREBEBACK,"soldataterre, funnyvideos%F0%9F%98%82, videodroles%F0%9F%98%82%F0%9F%98%82%F0%9F%98%82, %F0%9F%A4%A3%F0%9F%A4%A3%F0%9F%A4%A3%F0%9F%A4%A3%F0%9F%A4%A3%F0%9F%A4%A3%F0%9F%A4%A3%F0%9F%A4%A3%F0%9F%A4%A3%F0%9F%A4%A3%F0%9F%A4%A3%F0%9F%A4%A3%F0%9F%A4%A3%F0%9F%A4%A3",justpourrirefosho,2600000,24000,264000,40000
5,15,original sound - Funnyvideo,,funclip_no4,119400,423,16900,7605
5,16,original sound - jovynn,"fyp, miami, artbaselmiami, artbasel, miamiproblems, hialeah, 305",imstephm_,1000000,12400,53900,25000
5,17,original sound - audiosontop,"gym, rulenumber5, gymcouple, gymthings, relationship, gymtok, fitcult, fyp%E3%82%B7, fitness, foryou, wholesome",jas.mijnfit,29500,21,1574,57
5,18,sonido original - halo,"diamantblazi, seckoff, bball, basketball, fyp, dance, gamewin, gameday, viral, foryou, trend, floridabasketball, florida, usa, usabasketball, trio, dunk, sportstiktok",diamantblazi,38200,289,1745,118
5,19,original sound - Rucrewbank,rucrewbank,rucrewbank,476800,5194,66200,11200
5,20,original sound - YKTV,"dadsoftiktok, dadvibes, fyp, foryoupage, hilarious, funnymemes, explore, funnyvideos, tiktokcomedy, funnyvideos, funny, followers, foryou, tiktokfyp",22yktv,214700,916,24200,5828
5,21,original sound - uzivump💓,liluzivert,uzivump,372300,1751,19600,3348
5,22,original sound - SH7,"fyp, foryou, water",editsbysh7,337000,853,24100,4993
5,23,original sound - Barstool Sports,@podfathersshow,barstoolsports,2300000,4093,203300,61500
5,24,original sound - Sour King Drew,"fyp, viral",sourkingdrew,146700,1771,12400,561
5,25,That's My Best Friend - Tokyo Vanity,"fyp, bestfriend, thankful, 222",aylanenad,1400000,8593,132800,14600
