batch,index,music,hashtag,author,likes,comments,shares,saves,video_id
1,0,Where you are (Vocals only) - Halal Beats,"randomfacts, randomcuriosities, randomvideo, fyp, interestingfacts, satisfying, alwayscurious, foryou",rrandomfact,162400,32200,14200,174000,xgwrapper-0-7309965602569948458
1,1,original sound - izzy,"colbybrock, colbybrockedit, fyp, viralvideo, blowup, xyz, xplrizz",xplrizz,243000,5048,79700,5192,-1
1,2,IT GIRL x HOLLABACK GIRL by ALTÉGO - ALTÉGO,duet,b.e.n_rl,711400,7276,90200,27800,-1
1,3,original sound - ThatLittlePuff,"thatlittlepuff, culinaryhacks",thatlittlepuff,541400,763,39400,2823,-1
1,4,original sound - grandma_droniak,,grandma_droniak,1700000,30000,138300,79300,-1
1,5,original sound - ManicMemers,,manicmemer,360100,1077,35600,2400,-1
1,6,original sound - Cody Premer,codypremer,codypremer,27800,87,1146,32,-1
1,7,original sound - The Smoothie Guy,"smoothierecipe, weightloss, healthy, healthyrecipe, redvelvetcake",smoothie_guy,102000,583,44900,5636,-1
1,8,Beat Automotivo Tan Tan Tan Viral - WZ Beat,"shondly, fyp%E3%82%B7, fyp",shondly,55800,1276,5592,6028,-1
1,9,Destiny Destruction (February 14) - Lord Sky,,lady.kay_,986,85,66,30,-1
1,10,som original - EBK.TJAY,"foryoupage, ddosama, sugarhillddot, nycdrill, fyp, edit, blowthisup, chill, ddosamaedit",ebk.tjay7,6902,60,1422,54,-1
1,11,som original - user80831362224,"fortniteclips, fortnitememes, ogfortnite, fortnitebr, aimassist, fyp, viral, fortnitefunny",zxsquids,38500,728,23000,4515,-1
2,0,Pretty (Sped Up) - MEYY,"chipstauk, chipsta, annoyingvoiceguy, sloughfood, sauceudders, halalfoodslough, phillycheesesteak, halalfoodslough, capcut",chipstauk,6578,54,469,43,-1
2,1,original sound - Ray The Sharpener,"fyp, knife, leek, nakiri, knifesharpening, knifesharpener, japaneseknives, kitchenknives, kitchenhacks",raydasharpener,181300,174,7475,167,-1
