batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ina,,ina.katherine,3400000,30100,225200,94600
1,1,original sound - 𝙹 𝙾 𝚈 𝙲 𝙴 𝙻 𝙸𝙽 💋,"serverlife, serverproblems, servertiktok, servers",lujanojoyce,145400,0,21800,844
1,2,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280100,627,15500,163
1,3,sonido original - Alan (Tyler's version),"foryou, pourtoi, frenchtherian, therian, therianfortherian, quadrobist, quadrobicsjump, quadrobics, theriansafeplace, theriotype",marshall.therian,48700,5693,7759,1907
1,4,som original - lalarinha,,breckiehill,73100,1112,80500,747
1,5,ROCKIN’ AROUND THE CHRISTMAS TREE - BRENDA LEE,"comfykicks, sneakerhead, slippers, sneakers, sneakertok, fyp, viralvideo, sneakerslipper, giftideas",comfykicks.com,378400,12300,52600,53100
1,6,original sound - Dawson,,dawseason,978400,3872,119200,18600
1,7,UH THANKS FOR USING MY SOUND - ☆ Clyde / Luna ☆,,vera.jrr,237400,11100,23200,871
1,8,original sound - Brooke 👩🏼‍🎤,,nadeshaig,50200,173,4655,126
1,9,original sound - Wonky Donkey,,_wonky_donkey_,246300,6767,24900,23800
1,10,original sound - carlin,"fyp%E3%82%B7, fyp",carleeleen,258899,2867,27400,2394
2,0,original sound - madi,"fyp, makemeviral, fyp%E3%82%B7%E3%82%9Aviral, maj, blowup, makemefamouse",shelovesmxj,164700,1642,31600,945
2,1,This Is How We Do It (Album Version) - Montell Jordan,"iloveyoubro, friendshipgoals, bromance, sneakersaddict",brotherswhiskey,406300,2311,11600,4958
2,2,Following just the New tiktoker - TikTok Queen🇧🇪 🇮🇹,"light4198, queen_zoei, queenzoeforever",light4198,99700,73400,74000,22800
2,3,original sound - Modeli,,smelimodeli,173700,831,44500,1043
2,4,original sound - JSCM_movies,"movies, foryou, movie, movieclips, fyp",jscm_movies6,587800,19500,110400,12700
3,0,original sound - Kendalle Dabrat,"fyp, plane",bracefacekendalle,403000,3459,45500,1284
3,1,original sound - EX7STENCE™,,claraa.lndz,424000,2424,53200,2642
3,2,original sound - KendraLust,"tellingpeople, pistons, @detroitpistons, stayready",kendralust97,251900,3927,21200,5969
3,3,original sound - Mama G,,mamag50_6,7400000,16800,622400,23200
3,4,original sound - 💟,"wheresmusically, grounded, 2019, confused, funny, fyp",tomboywolf123,711800,20600,43000,966
3,5,original sound - Violet,sexxyred,js.userr66,47600,796,11500,1938
3,6,original sound - SpotifySongs,"foryoupage, fyp, xyzbca, viral, trending, fyp",absolutehumanbeing,94900,10400,15500,5753
3,7,Meow - Dust☆,"@cofflefish, voiceover, voiceovers, elsa, elsafrozen, anna, annafrozen, frozen, frozenmovie, frozenmoment, frozenmoments, frozenelsa, frozenanna, elsaandanna, annaandelisa, frozenelsaandanna, arendelle, disney, disneymovies, disneymovie, disnevplus, disneyanimation, disneyplus, disneyfrozen, princessanna, queenelsa, princehans, hans, princehansofthesouthernisles, hansofthesouthernisles",risottosimp3000_3.0,47000,1104,9773,1930
3,8,original sound - - 𝓇𝒾𝓇𝒾 ☆,"zpt, zepetoy2k, y2kzepeto, zepetofyp, zepetofyp%E3%82%B7, like, comment, share, fyp, fyp%E3%82%B7, viral, viralvideo, y2k, foryou",.serenity76,47,4,11,2
3,9,original sound - allison,fyp,redhairgorl,149700,823,28900,2164
3,10,Ick - Alt Ending - Lay Bankz,"therian, therians, theriansoftiktok, theriansoftiktok, theriansafeplace, theriansarevalid, theriansoftiktok%F0%9F%90%BE, theriansafespace, theriansdontthinktheyareanimals, theriansarentfurries, foryou, foru, foryoupage, fyppppppppppppppppppppppp, fyp, fyp%E3%82%B7%E3%82%9Aviral, fyp%E3%82%B7, therianpack, therianhypehouse, theriotype, theriotypes, theriotypestherian, theriotypesfyp",_.therian_.hypehouse,62,8,53,1
3,11,nonono - [☑️] CAPRI,"fyp, erich",fundsgettingrich,200400,0,17100,443
3,12,original sound - MILITARY EDIT 3,"funnymoments, navy",military_lp,40500,206,5113,123
3,13,original sound - Keller Moore,"cadillac, deville, caddy, beater, fyp",kellermoore,1500000,4682,101200,22200
3,14,alkuperäinen ääni - Aela the huntress,"freepalestine%F0%9F%87%B5%F0%9F%87%B8%E2%9D%A4%EF%B8%8F, ceasefirenow, lps, littlestpetshops, lpstiktok, lpscommunity, lpsmain5, lpstok, lpscommunityisalive, lpscollection, lpsshorthaircat, lpsmascot, lpscustoms, lpscustom, lpscustomizer, basicfunlps, lpsfyp, lps2024, lpspopular, newlpsinstores",majoralps,341,12,49,1
3,15,original sound - RyanTheLeader,,ryantheleader,2400000,12100,123600,81800
3,16,nhạc nền - Justin Flom,"justinflom, magician, streetmagic, funnyvideos, viral, fyp",justinflom.clip,46500,163,3356,371
3,17,original sound - Sierra Larson,"fyp, fypage, trendy, romantoolit, thanksgiving",theonlyromantoolit,97800,665,16500,358
3,18,Creepy and simple horror background music(1070744) - howlingindicator,"foryou, disney, fyp%E3%82%B7, fyp",moviemistakesomg,729400,10600,59900,1538
3,19,original sound - Dayquan & Arianna,"prankonboyfriend, piercingprank, fakenippiercing",dayandari,217600,616,14500,947
3,20,original sound - TrainPal,"dogsoftiktok, fyp",nadaliaaaa,7800000,17800,341400,75600
3,21,original sound - Nieka Richard,"@wockhardt03, principalrichard",niekarichard,8400000,107500,684100,129600
3,22,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,@gavinmagnus,lovealwayspiper,143900,3713,9937,812
3,23,original sound - Deesh🌹,@kellyann2812,baddiegyals_,123700,561,7841,740
3,24,you are my sunshine - christina perri,"lostchild, grief, angel",jomini,1500000,3040,52400,12500
3,25,original sound - Lustra Clear,"randomfacts, satisfyingvideos, viral, fyp",lustraclear,231000,47600,27900,142900
3,26,original sound - Slim 199x,"fyp%E3%82%B7, dance",thomasharris21,234900,7795,29800,27100
3,27,original sound - Breckie Hill,@henry_hockey777,breckiehill,214700,1167,20700,695
4,0,original sound - lowkey.nuts34,,lowkey.nuts34,1100000,27900,225200,166000
4,1,original sound - ashley rose,,ashleyroseclips,14900,81,1481,6
4,2,nhạc nền - Meme Love,,memeking8386us1,292900,7602,52500,10500
4,3,original sound - ANGRY GRANDMA,"fyp, angrygrandma, comedy, shopping, christmas, viral, trending, makethisviral, funny, hilarious, trynottolaughtiktoktv",angrygrandma18,639000,7533,71100,126000
