batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - REEKON Tools,,reekontools,641300,3866,105300,77600
1,1,original sound - Power Slap,,powerslap,1300000,8732,65200,34000
1,2,original sound - daisysdays,"fyp, fyp%E3%82%B7, foryou, koy, emo, princess, goodgirl, police, chickfila, bffs",koy.rose,897300,1704,73800,3342
1,3,оригинальный звук - scar1exa,almightyarcher,almightyarcher,36400,153,2202,131
1,4,som original - Beach Walking Playa Praia,"foryou, fy, fyp, pravoce, 4u, foryoupage, funny, music, fashion, follow, tiktok4fun, beach, praia, brasil, trending, 2024, girls, bikini, maresias, explore, bestvideo, beauty, happy, saopaulo, litoral, sun, life, verao, ferias, summer, tiktok, travel, viral",walkingaround4k,76300,260,6298,1769
1,5,original sound - Corey Hayes,"bigsis, florida, jacksonville, christmas, happyholidays, imintrouble, ididntmeanit, shestilllovesme, icetray, iceball, favoritesibling",lodosswar322,746200,3825,29800,7960
1,6,original sound - Sarah,fyp,kate.nita.secreet72,8914,40,1451,105
1,7,الصوت الأصلي - ديري,"fyp, trending, funnyvideo, funny",_respect.official,3411,24,759,269
1,8,Moment of Silence - Broken Beat - Dj Clizo,"only, %F0%9F%87%BF%F0%9F%87%A6%F0%9F%8C%8E%E2%9D%A4%EF%B8%8F%E2%9A%BD%E2%9B%BD%F0%9F%87%AC%F0%9F%87%BE%F0%9F%87%A7%F0%9F%87%BC%F0%9F%87%A8%F0%9F%87%B2%F0%9F%87%AC%F0%9F%87%BC%F0%9F%87%A8%F0%9F%87%AC%F0%9F%87%AC%F0%9F%87%AB%F0%9F%87%A8%F0%9F%87%A9%F0%9F%87%A7%F0%9F%87%B7%F0%9F%87%AC%F0%9F%87%AD%F0%9F%87%A6%F0%9F%87%BF%F0%9F%87%A7%F0%9F%87%AF, challenge, @mjepa12",13victory,428500,4534,16400,10500
1,9,original sound - Food Dudes,"foodhacks, viralrecipe, tiktokfood, chickfila",fooddudescook,1400000,17000,118500,37100
2,0,Dancin krono remix - Archer🏹,"tropicana_danny_, dance, school",tropicana_danny_,16900,188,2890,215
2,1,sonido original - Funny’s is going with me,,baby_ok122,624100,1674,37900,3625
2,2,original sound - karakee,,karakeeofficial,99500,428,3248,185
2,3,original sound - Ray William Johnson,"drama, tourettes, tourettessyndrome, ticsandroses, huntingtons",realraywilliam,133900,595,8753,238
2,4,original sound - European kid,,theeuropeankid,696400,2039,28600,1866
2,5,My Type - Saweetie,,giuliacorrado_,57200,643,3677,647
2,6,الصوت الأصلي - ديري,"funnyvideos, funny, trending, fyp",_funny.official,8363,23,631,86
2,7,original sound - Starlady ⭐️,,starladyledi,760500,3719,36600,4796
2,8,original sound - massiah90,"jmassiah, fyp, jmassiah90, shadowthedog, shadowrelax",jmassiah901,727800,5862,80600,27700
2,9,Emotional Piano for the Soul (Inspirational Background Music) - Fearless Motivation Instrumentals,,juliasweet5154,7053,1933,193,17
2,10,original sound - Jack TV Official,"foryou, foryoupage, seanbridon, mrseanextra, trendingtiktok, jackbridon, africanparents, senegalaise_tik_tok",jackbridon.tv,510300,6832,44000,18700
2,11,bunyi asal - bbhdhff,,swf77457peo,73000,1127,7881,8694
2,12,som original - manulasilva123,,manulatubarao,406100,9679,36500,42800
