batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ESPN,"@wendy.bri, snow, cold",espn,2000000,19900,170800,108600
1,1,original sound - Syinite,"fortnite, fortnitebr, fortniteclips, gaming, fortnitefunny, fortnitememes",syinite,382200,2165,110000,6932
1,2,original sound - dayz915,"atodamadre%F0%9F%8F%A7, %F0%9F%A4%99%F0%9F%8F%BD%E2%80%BC%EF%B8%8F%F0%9F%8F%A7%E2%80%BC%EF%B8%8F%F0%9F%A4%99%F0%9F%8F%BD, dd%F0%9F%92%ABuniverse, wyoming",dayz.915,522299,3712,36500,142900
1,3,original sound - plug - shop tech,@dan.i3ll3,plugbettertech,31600,1158,1329,146
1,4,original sound - Angel Jimenez,,jimenezzz._,5400000,21000,387700,55400
1,5,Brutus (Instrumental) - The Buttress,"creepy, horror, scary, spooky, haunted",spooky.states,31100,4337,11100,924
1,6,son original - :),"jujutsukaisen, anime, transition, martialarts, flexibility, bo",maruzee_dragon,948600,5039,116200,9999
1,7,original sound - Steve,,itsbgreer,22700,34,3829,125
1,8,Running Up That Hill (A Deal With God) [2018 Remaster] - Kate Bush,"@idk_whynoto, mrbeast, vietnam",yehslacks,816300,4654,64200,579
1,9,オリジナル楽曲 - バヤシ🥑Bayashi,@meatguysteakhouse,bayashi.tiktok,2600000,5621,117900,3464
1,10,original sound - TheShowlorios,"fz150, foamzone150, shoedoc, shoecleaner, 150bucks",theshowlorios,522600,4979,24400,2415
2,0,It's Not so Bad - Cummrs,recovery,paulieepaull,20100,1281,1884,60
2,1,original sound - Seth Meiring,"sethmeiring, susseth",sethmeiring,249800,326,14500,1502
2,2,som original - Thetop10bestvideogames,"topgames, mobilegames, bestgames, freegames, zooba",thetop10bestvideogames,12300,239,1885,59400
2,3,MONACO - Bad Bunny,tiktoktrend,mr.thank_you,51600,5812,4134,2892
2,4,original sound - Harrison James,"greenscreenvideo, gatoradepods, satisfying, for",harrisontjames,45500,544,2522,109
2,5,original sound - Zonky,"jaydablackie, fyp, viral, funny, voiceactor, pizza",zonky00,57100,318,6239,105
2,6,TEACH ME HOW TO DRILL - Lil Mabu & Fivio Foreign,"lilmabu, musicvideo, director, rap, powertv",lilmabu,238000,606,13500,444
2,7,original sound - otakoyakisoba,,otakoyakisoba,1900000,7985,144700,31600
2,8,original sound - Sour King Drew,"viral, fyp",sourkingdrew,10300,141,1296,110
2,9,sunet original - PranksterPulse,,pranksterpulse,315200,731,20600,1032
2,10,her way - audios for edits,"@hypic_global, hypic, hypiccreator",nevaaadaa,51900,272,4843,146
2,11,original sound - Würdestdueher,"w%C3%BCrdestdueher, wasw%C3%BCrdestdueher, wasw%C3%BCrdestdumachen, wasw%C3%BCrdestdutun, entwederode",daneshlove1,128300,39700,11600,321900
2,12,original sound - DKTHEMENACE,,1700hund,298200,3181,24300,740
2,13,original sound - scissorhands,,wonderful_movi,134800,291,7435,434
2,14,Candyman (Ultimix Mixshow) - Christina Aguilera,"teachersoftiktok, texas, newyear",oriana_teacher.ofart,3927,45,155,48
2,15,Living in the sunlight - IdkSterling,"fyp, marriage, weird, crazy, viral, interesting",official_jaythekid,47000,210,2932,259
2,16,original sound - Kimlizasmr,"fyp, foryoupage, food, eating, hotpot, noodles, dumplings, spicy, ramen, cooking, recipe, viral",kimnlizasmr,367900,455,14700,610
2,17,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"datenightideas, datenight, gamenight",adifishy,1500000,1238,54000,7321
2,18,original sound - Kiid katze,,kiidkatze,54700,263,5333,325
2,19,original sound - Gustavo Rocque,"@snoopdogg, @standupots, @jeremiahstandup",stephenkglickman,98400,155,7412,629
2,20,original sound - MAZI VS,"nfl, sportsbettingtiktok",mazivs,24600,319,693,401
2,21,original sound - Ryan Tang,,itsyaboyryantang,107100,911,14400,1478
2,22,original sound - Vector,,_vector_,104400,575,10400,619
2,23,original sound - Rowheim Farooqui,,rowheimfarooqui,34900,85,2250,245
2,24,original sound - Daniel Rivera,chihuahualove,manchasthetiktoker,66100,1555,13200,1748
2,25,original sound - bhmaclsmr2t,"tiktok, fyp, foryou",bhmacs,56700,294,8529,1338
2,26,original sound - antojitoslindamar_,food,antojitoslindamar_,36500,361,2200,198
2,27,original sound - Brianna Renee,"pearphone, iphone, nickelodeon, icarly",briannaxrenee,1900000,6020,126000,6650
2,28,original sound - Noemy,"fyp, viral, funny",noemyiscool_,1300000,4258,109700,8008
3,0,original sound - alexa_de,"miniphone, miniiphone, bezosmax, minismartphone, cute, tiktokshop, pinkphone",alexa_de,4500000,24300,621100,159200
