batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - REEKON Tools,,reekontools,641900,3876,105400,77600
1,1,original sound - active <3,fyp%E3%82%B7,tina_042,345800,4093,19000,945
1,2,original sound - ABKYS,,aubreykeeyyysss,30400,1339,1125,120
1,3,original sound - 𝙸𝚝’𝚜 𝚖𝚘𝚘𝚗 🌙🤍,"%E0%B8%AA%E0%B9%82%E0%B8%A5%E0%B8%A7%E0%B9%8C%E0%B8%AA%E0%B8%A1%E0%B8%B9%E0%B8%97, biscoitocut, %E0%B8%AA%E0%B8%9B%E0%B8%B5%E0%B8%94%E0%B8%AA%E0%B9%82%E0%B8%A5%E0%B8%A7%E0%B9%8C, @brookiezpt0, @moon.safe.zpt, zepeto, foryoupage, zepetodance, zepetofyp, handdance, moonsafezpt, moon_safe, 4upage, zpt, zptfyp, transition, fyp%E3%82%B7, viral, fyp%E3%82%B7%E3%82%9Aviral, fyppppppppppppppppppppppp",moon.safe,3968,98,923,113
1,4,original sound - Araceli De la Cruz,,dlc.arac3lii,590600,1661,40700,2666
1,5,som original - LG,"theriancommunity, furryfandom, paperdragonpuppetcommunity, lgbtqpluscommunity, therianlove, quadrobics, loveyourself, fyp",jinxmyth77,81,41,173,0
1,6,original sound - Teacher Tori,"test, professor, correction, school, teacher, englishteacher",teachertoristuff,165200,4634,7618,3146
1,7,original sound - ice spice,"seeothersodas, ad",icespicee,227900,1378,14700,708
1,8,Lemme get that - Frizz🗽.,@pavyaddison,mommyyjoshuaa,280600,2064,21900,759
1,9,original sound - ✨Delilah✨,"@thaatbishlilyy, @badbishlily, @ksmartyr, capcut, fyp",live_laugh_luv.lio,147,7,349,3
1,10,original sound - ✨Kay and Tay✨,"@nerdynuts, kayandtayofficial, couples, relationships, pregnant, nerdynuts",kayandtayofficial,616800,1397,31400,881
1,11,original sound - Raihann,,sylviaquezada619,5900000,33600,601100,114400
2,0,original sound - funnyxay,momofteens,mrskarib,808900,816,33800,2396
2,1,thats crazy - ®️2002™,"fyp, cashier, tacobell, fastfood, relateable",aa.mayaaaaaaaa,64200,250,3759,610
2,2,hold on - alixe.,"fyp, crush, viral",joshterrellclips,12100,111,1417,66
2,3,오리지널 사운드 - SnowFox,"popularvibe, theweeknd, fortnite, foryou, fyp",spams..kenz,160800,1285,19300,2310
2,4,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,"fyp, sendhelp, trending, foryoupage, girlmama, momof2, love, rylee, ryan, momlife, love",tekab0,48800,163,4796,105
2,5,WHIP! - Tayo Ricci,,tayoricci,581700,3009,19200,1747
2,6,Chill and gentle lo-fi/10 minutes(1455687) - nightbird_bgm,"foryoupage, khan_ok99, viral, usa%F0%9F%87%BA%F0%9F%87%B8, uae%F0%9F%87%A6%F0%9F%87%AA, uk%F0%9F%87%AC%F0%9F%87%A7, france%F0%9F%87%AB%F0%9F%87%B7, standwithkashmir, burhan_tv, unfrezzmyaccount",savageshwan,16000,573,996,328
2,7,original sound - Jay,,diamantblazi,18400,438,1936,262
2,8,original sound - violingirlprincess,,violingirlprincess,258600,19900,13000,6570
2,9,som original - aveerplayer-ĐƏ,"fyp, viral, spoiledbrat, destroyingthings, codrage, ragequit, rage, spoiledbrat",witch.hat.vr_,13100,739,1711,174
2,10,original sound - We_Tha_Future5,"blackmom, fyp, viral, content, relateable",we_tha_future5,105300,395,11900,1875
2,11,original sound - Alana Cho,,alanachoofficial,532400,239,21600,440
2,12,original sound - jovynn,"fyp, miami, artbaselmiami, artbasel, miamiproblems, hialeah, 305",imstephm_,1100000,12500,54800,25200
2,13,theresthedoorbich - moviepass,@sashatherese_,sashamorpeth,88000,95,2983,86
2,14,original sound - carlin,"fyp%E3%82%B7, fyp",carleeleen,278700,3149,29800,2650
2,15,original sound - C&P,"interacialcouple, relationship, whitehusband, fyp%E3%82%B7",priscillasilva04,234800,1771,16900,2581
2,16,nhạc nền - TheChurcoFamily,"beautiful, family",thechurcofamily90,131800,590,8168,652
2,17,You Gotta Move - Mississippi Fred McDowell,"blackhistorymonth, relatable, fyp%E3%82%B7, xybca, viral",cota_.47,49200,335,3842,582
2,18,som original - SingingLoudly,"riffoff, pitchperfect, song, music, singing",singing.loudly1,2700000,6450,176700,7155
2,19,IT GIRL x HOLLABACK GIRL by ALTÉGO - ALTÉGO,@iammarcohall,brookeashleyhall,59100,153,2190,271
2,20,original sound - tsquadgotmyheart,"tommytheclownedits%E2%9D%A4%EF%B8%8F%F0%9F%96%A4, vspedits, tsquadedits, tsquad, trintommytheclown, chasstommytheclown",tsquadgotmyheartfr,7534,68,1665,77
2,21,original sound - Ramzan Jani Official,"mehakshehzadi_, shamsakanwal_1, viralvideo",shamsakanwal_1,19900,247,870,37
2,22,Originalton - - 𝓐𝒏𝒏𝒂💕💎,"at, zepetotiktok, zepetofyp, hangs, open, zepeto, open, girl, zeptogirl, mia%F0%9F%92%8B",katiewhyddssdr,22,1,3,0
2,23,original sound - karly 🍋,,goodluckkarly,173100,3632,2889,763
2,24,Adoption - 🧦Funny.Bone.956🧦,"adoptme, adoption, adopt",funny..bone..956,831200,17600,48100,21600
2,25,summer walkerr - ★,,adore._payton,37,2,3,0
2,26,الصوت الأصلي - MR BLUE,"stitch, stitchlover, halloween, christmas, tiktok, foryou, explore, collectionstitch, stitchstuff, liloandstitch, stitchandangel, ohana, disney, edits, artdigital, edit",mr.blue.heart,64500,13100,6127,184
2,27,original sound - Kriss&Esme,"getreadywithme, grwm, grwmmakeup, grwmforschool, grwmroutine, skippingschool, schoollife, school",krissleos,288300,2286,24000,352
3,0,original sound - user99984806,"comebackhome, surprise, soldiercominghome",user9998480236,341600,7171,33200,2945
3,1,Love You So - The King Khan & BBQ Show,,fosddddooo11,19600,4358,7806,6988
3,2,original sound - privalexi on capcut - lexissjsj,"viral, para, trending, paralyzed, recovery, awareness",bellawillwalkagain,11000,1019,275,50
3,3,original sound - pookies,,jays_hubby_forlife4,16,1,1,0
3,4,original sound - ₊ ⊹TSQAUD EDITS ₊ ⊹,"capcut, jayahxomoraaa, jayahbailey%F0%9F%A4%9E%F0%9F%8F%BE%F0%9F%92%95, viral, fyp, blowthisupforme, blowthisup, blowup%3F, makemefamous, kimoraxjayah, tootootommytheclown%F0%9F%92%9C, tsquad, tsquadedits",tsqaudedits_4,5342,42,1209,14
3,5,Ick - Alt Ending - Lay Bankz,"fyp, foryou, viral",xo.miya7,576900,3098,51900,1955
3,6,original sound - gianna,"grwm, teenagegirlsbelike",giannamjoyce,4700000,105500,340400,20900
3,7,original sound - thatvidguy,"fy, fyp",thatvidguy2,133800,1091,11900,6207
3,8,scott street - favsoundds,"fyp%E3%82%B7, zyxcba, grads24, fy, foryoupage, 2024, van, foryou, highschool, seeyouagain",byrnegrads24,2100000,9945,268300,14500
3,9,original sound - Amanda Hankins,christian,tryyywin,187100,941,17200,2376
3,10,GoodGooglyMooglyyy - Undergroundmusiclover,,vera.jrr,288000,2062,33600,764
3,11,original sound - Jake Maldonado,"fyp, foryou",jakemaldonado,35500,205,2808,364
3,12,original sound - Nero & Erika ♥️,fyp,neroanderika,354200,1712,34600,7846
3,13,original sound - ShieTalii,,shietaliii,60600,554,1466,91
3,14,original sound - HikariC,"@amelialov3spin3andcapyb8, pfp, draw, drawing, art, artwork, pencil",kiarta.x,22000,21100,2902,186
3,15,Meow - Dust☆,,caro.mq123,4500000,31200,212800,50300
3,16,i'll be your reason - Antent,"fyp, crush, viral",joshterrellclips,1991,10,201,5
3,17,original sound - Barstool Sports,@patbevpod,barstoolsports,4000000,10400,326300,43600
3,18,original sound - snow💕,"@whiteboytriddy, fyp, fypages",eli_unique_,30400,131,2406,60
3,19,original sound - joe’s italian ice ca,"allroadsleadtojoes, icecream, italianice, softserve, softserveicecream, icecreamcone, vanillaicecream, icecreamlovers, orangecounty, anaheim, anaheimcalifornia, joesitalianice, joesitalianicecream, icecreamshop, socaleats, instafood, desserts, california, oc, gardengrove, fyp, fyp%E3%82%B7, comedy, humor, customerservice",joesice,513100,410,23400,3765
3,20,original sound - odelmis,,odelmiscooks,31700,201,3838,192
3,21,original sound - Josh Liljenquist,,joshlilj,226200,1304,11400,250
3,22,sticky rice - raisin,@sophieraiin,theaishahsofey,152000,588,27600,1296
3,23,original sound - Jackie,"@loweringthebar, @jaxmireles",barstoolsports,507500,2845,39100,19500
3,24,original sound - music_jinx,"fyp, river, lyrics, music, foryou, trending, viralvideo, cover, singing, performance, foryoupage, voiceeffects",music_jinx,1100000,9349,170200,6295
4,0,sonido original - 🩷Kat🩷,"fyp, pareja, parati, amoooor",angel_dulce_1,1900000,6052,163500,32000
4,1,sonido original - halo,"@lilwavy.7, @yohan_lbt, diamantblazi, seckoff, basketball, bball, mediaday, fyp, viral, florida, usa",diamantblazi,509000,2194,38500,2273
4,2,original sound - Danni 🇵🇸,"fyp%E3%82%B7, foryoupage, edit, editor, foryou, ae, slendermami%F0%9F%98%8D, roblox, robloxeditor, trendy, robloxfyp%E3%82%B7, animator, robloxanimation, relateable, relate",eyesondannii,120800,3822,26500,1733
4,3,A WIN IS A WIN - Clifford Taylor IV,"_peachysprinkles, fyp, viral, apartment",_peachysprinkles,111300,257,2483,503
4,4,I Want U - Genshin,"fyp, crush, viral",joshterrellclips,6527,64,649,4
4,5,original sound - mcdreamyneuro 🕊🤍,"capcut, teendad, teenparent, girldad, dadsoftiktok, fyp, fyp%E3%82%B7",kayla.dicenso,273700,596,7437,2081
4,6,everyone using this sound - Zup,girlproblems,eduardtok,432500,7740,34400,23500
4,7,Cyborg Burger Hoodtrap - ProdByTTK,fyp%E3%82%B7%E3%82%9Aviral,theyluvv_10kjayy,24,1,1,0
