batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280300,627,15500,165
1,1,original sound - REEKON Tools,,reekontools,640400,3854,105200,77500
1,2,original sound - Daisy,"@drpepper, fyp, egirl, viral, fakebody",daisybloomss,93300,1144,6982,224
1,3,original sound - 🤷‍♀️,"figureskating, figureskatingtiktok, iceskating, iceskatingtiktok, figureskatingtiktoks, iceskater, figureskater, plussizefigureskater, collegiatefigureskating, onceyougoblackyounevergoback",lainedubin,608200,0,37300,5578
1,4,original sound - MariClareMacLamroc,"fyp, relationship, fy, baby, teenmom, mom, mommy, momlifebelikethat, 15andpregnant, trending, toddler, dinner, dinnerideas, dinnerwithme, dinnertime, dinnerrecipe, dinneridea",_mariclaremaclamroc_,1200000,13500,57700,4907
1,5,original sound - walkerscobbelfanpage,@walkerscobell,walkerscobellfanpage2,71,2,23,2
1,6,original sound - NFL💔LEE,"jaleel, jaleelsisterjada, fyp, fyp%E3%82%B7, foryourpage, foryoupage, foryou",nofakelove_lee,311500,4307,18300,6269
1,7,original sound - Ezra🦋,"fyp%E3%82%B7%E3%82%9Aviral, storytime, fyp, foryou",ezraalbritton,167400,933,7997,723
1,8,оригинальный звук - 🤍|•𝚜𝚙𝚎𝚎𝚍 𝚜𝚘𝚗𝚐𝚜•|🤍,,djami.lyalya,47400,187,4173,212
1,9,Went Silly - King Von,"robloxhoodgame, robloxhoodrp, kingvon, oblock, cheating, ak",krazybando,12000,465,2565,255
1,10,follow ladvblep - julie,foryoupag%D0%B5,liloalith,276900,1364,12600,443
2,0,original sound - 👾👾👾🇲🇰,"skz, straykids, lesserafim, capcut",jisungsl4y3,75100,997,17900,1172
2,1,original sound - Miss Timmer,"middleschool, choirteacher",thatweirdchoirteacher,203800,423,12500,283
2,2,joshuasamuels follow me - 00:00,,jadenrabago,122600,149,6677,723
2,3,Someone who knows how to a little fun - valentijn,@iluvv_stick,jt..spamm,88,5,6,1
2,4,Love You So - The King Khan & BBQ Show,"fyp%E3%82%B7, truecrimecommunity, truecrimetiktok, truecrime",unreal.usa,12100,111,1504,153
2,5,som original - Satisfying SZ,"duet, asmrsounds",ayame.p,2600000,3126,86400,8552
2,6,original sound - angie,,theofficial.jale,29600,97,1799,27
2,7,original sound - Isaac & Andre,,isaacandandrea_,18800,61,860,92
2,8,original sound - zυяι ᥫ᭡,"@marisa.b.a, berryavenue, berryavenueroblox, berryavenuerp, berryavenuecodes, berryave, robloxrp, roblox, berryavenuerp%F0%9F%8F%A1, princesszuriiii, berryavenueoutfitscodes, robloxrpfamily",princesszuriiii,27400,263,5505,151
2,9,original sound - 🐾🍃ᴠᴏɪᴅ🍃🐾,,oliviabright03,89,19,24,1
2,10,this world is sick - Antent,"fyp, crush, viral",joshterrellclips,32600,233,4314,255
2,11,Tell Ms. K (Remix) - Khalia V.,"bestteacherever, thirdgradeteacher, fyp, viral, teacherbae, tiktokteacher, share",itsmekhaliav_,316900,1998,46200,772
2,12,GoodGooglyMooglyyy - Undergroundmusiclover,"mommystwin, googlymoogly, 1monthold",jazlynn.oats,14700000,34600,1100000,238400
2,13,original sound - Wassabi Productions,spicyfruit,realwassabiproductions,110800,487,7676,100
2,14,son original - 💐𝐵🪐,,harperzilmer4,512900,3036,31700,1722
2,15,original sound - doffysmelio,"@lashedchars, fy, fyp, fyp%E3%82%B7%E3%82%9Aviral, foryou, foryoupage, viral, fame, fanpage, fp, fan, cg, coloring, charlidamelio, char, charli, charbar",marschvarl,241,29,28,0
2,16,original sound - The Relationship Hub,,rebeccazamolo,139700,1145,6991,270
