batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - ®️ Louieveegang💙,@louieveemoonteenmoonfam,louieveedee,295700,1560,20200,717
1,1,original sound - Sweetpea 😍 Her,,glxxmike,3300000,19600,264000,89600
1,2,original sound - Selena,"fyp, blinkerchallenge, makeup",sassyselenaaaa,1100000,4186,68300,2830
1,3,son original - romachiyaya0,,anouk.grm,79900,501,4459,324
1,4,"Automotivo XM, Taka Taka Taka Tá - Dj Brunin XM & Mc Lullu & Mc Erikah & Kinechan",@09.02.600,di1araa.s,354300,1761,33900,2021
1,5,original sound - Slim 199x,"@charlesmiller1821, teachersoftiktok, citizen, teachwithme",your.sweet.teacher,5734,123,206,33
1,6,الصوت الأصلي - MR BLUE,"stitch, stitchlover, halloween, christmas, tiktok, foryou, explore, collectionstitch, stitchstuff, liloandstitch, stitchandangel, ohana, disney, edits, artdigital, edit",mr.blue.heart,62900,12600,5947,181
1,7,Moon - Siggerr,"valentine, crush",iwantacinnamonroll,758600,5116,79600,3694
1,8,orijinal ses - caner,"fyp, funny, fun, couplegoals, relatable, humor, viral, relationship, mad, trending",makayla.domagalski1,73000,212,3929,422
1,9,IT GIRL OUT SEPT.30th - aliyahsinterlude,"tiktok, foryou, painting",trippydraws,758300,3556,49000,1809
1,10,Mírame Trend Luis Arredondo - Luxxo,"oruro_bolivia%F0%9F%87%A7%F0%9F%87%B4, graciasporsuapoyo%E2%9D%A3%EF%B8%8F, fip%E3%82%B7viral, viral_video",.....made,101500,1120,11900,1342
