batch,index,music,hashtag,author,likes,comments,shares,saves,video_id
1,0,original sound - 💥Evansane💥 On 🎮Twitch🎮 - Evansane,"palworld, palworldgame, palworldgameplay, palworldclips, fypage, fyp, fyp%E3%82%B7, gaming, gamingontiktok",evansane,535400,3140,58600,73900,xgwrapper-0-7325945011932138798
1,1,,,,864800,1971,44600,1094,-1
1,2,,"@brittneycastro256, moana, actingaudio, liveaction",,697900,1946,37900,706,-1
1,3,,,,759200,9530,213800,259800,-1
1,4,,"animation, animationmeme, youngsheldon, georgecooper, sheldon, sheldoncooper",,195700,4928,25300,2952,-1
1,5,,"relatable, theonlyfamousbrian, money, laundry",,485100,1462,67100,2698,-1
1,6,,"%D1%81%D0%BB%D0%BE%D0%B2%D0%BE%D0%BF%D0%B0%D1%86%D0%B0%D0%BD%D0%B0, %D1%81%D0%BB%D0%BE%D0%B2%D0%BE_%D0%BF%D0%B0%D1%86%D0%B0%D0%BD%D0%B0",,1300000,5390,175100,32100,-1
1,7,,"@2o9.juniorrr, @just_seann2, viral, fyp, princesos, junje",,396400,731,25400,352,-1
1,8,,,,386500,3888,36200,1768,-1
2,0,,"fyp, foryou, mariokart8deluxe, gaming, meme, memecut",,433700,2085,46000,47200,-1
2,1,,"fyp, moon, saturn, astronomy, space",,198900,1490,32299,5881,-1
2,2,,"serverlife, serverproblems, servertiktok, servers",,144600,0,21600,839,-1
2,3,,"battlefield, grndpagaming, fyppppppppppppppppppppppp, battlefield2042, sniper",,2900000,18100,219900,88100,-1
2,4,,"capcut, country, barrelracers, countrygirl, winter, barrelracing, horsewinter, school, schoolsucksdude, l, coolerthanu, peopleridiots",,167300,940,21400,523,-1
2,5,,"capcut, fortnite, arenafortnite, rankedfortnite, beansandbologna, fortnitelobby",,580600,7153,81100,27900,-1
2,6,,,,240600,1593,14100,323,-1
2,7,,"fyp, dog",,648500,3883,73000,15600,-1
2,8,,"capcut, capcut_edit, capcutvelocity, rek",,31300,112,9821,108,-1
2,9,,,,407400,5032,54900,4891,-1
2,10,,"hack, tubingmascara",,472400,1742,28600,2353,-1
2,11,,@0fficial.va3h,,2600000,8968,151500,31300,-1
2,12,,"fyp, viral, food, fries, haha, capcut, trend, song, fyp%E3%82%B7, lol",,292600,8776,47600,2193,-1
2,13,,,,2200000,4157,128300,3963,-1
2,14,,"mattsturniolo, mattsturnioloedit",,253000,1298,76600,1736,-1
2,15,,"cute, rabbit",,6700000,47500,486800,490600,-1
2,16,,"tiktokfood, @chefboylee",,525400,2621,51300,2288,-1
2,17,,"volcano, mashedpotatovolcano, mashedpotatovolcanowithbroccolitrees, yummy, @wesintn",,723600,9053,78400,78000,-1
2,18,,,,313300,2648,33600,3804,-1
2,19,,,,2400000,50700,184500,36400,-1
2,20,,"fyp, foryou, trending, theweeknd, xo, abeltesfaye, xotwod, music",,1700000,6632,161300,14900,-1
2,21,,"%D1%80%D0%B5%D0%BA, %D1%80%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D0%B8, %D1%81%D0%BF%D0%B0%D1%81%D0%B8%D0%B1%D0%BE%D0%B4%D0%B5%D0%B4%D1%83%D0%B7%D0%B0%D0%BF%D0%BE%D0%B1%D0%B5%D0%B4%D1%83",,202500,1741,25200,12100,-1
2,22,,"@iloverussellwilson, @888tweak, football, nba, kobe, soccer, neymar, fyp, foryou",,806600,2572,79900,1241,-1
2,23,,fyp,,2900000,10300,144800,13100,-1
2,24,,"@maria.stinkt, howtolacesneakers, shoeslaces, foryoupage%E2%9D%A4%EF%B8%8F%E2%9D%A4%EF%B8%8F, viral, jordan4, from, cocokick",,247400,711,48800,6868,-1
2,25,,"makeup, lipgloss, bigfamily, notenoughnelsons, nenfam, viral, paisleenelson",,219800,2199,15900,649,-1
2,26,,"2%F0%9F%A4%AF, diy, hometheater, basement, construction, basementrenovation, builder, dreamhome, renovation, homeimprovement, wow, goals, carpenter, interiordesign, buildit",,640100,10600,97000,92400,-1
2,27,,"%D0%BF%D1%83%D1%82%D0%B8%D0%BD, %D0%BF%D1%80%D0%B8%D0%BD%D1%86, %D1%81%D0%B0%D1%83%D0%B4%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%D0%B0%D1%80%D0%B0%D0%B2%D0%B8%D1%8F",,251700,995,24000,9296,-1
2,28,,,,3300000,29500,216200,93300,-1
