batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - Taj.Mahal,,kassieemariee,689400,2198,73600,6060
1,1,original sound - gaby🔱,"fyp, edit, editor, aftereffects, videostar, ae, vsp, percyjackson, pjo, pjoedit, walkerscobell, walkerscobelledit",sc0be11.filmz,825800,6313,210400,8779
1,2,original sound - REEKON Tools,,reekontools,640300,3854,105200,77500
1,3,original sound - ChefPierce 👨🏾‍🍳,fyp,chefpierce,527400,2453,57000,1906
1,4,YKWIM? - 东 百 下小 雨,"viral, sad, love, pain, real",silkyslive,32900,304,3930,118
1,5,original sound - Joe rauth,"fyp, snapchat, convo, pov",joerauth_,501900,795,34700,2632
1,6,เสียงต้นฉบับ - อาหยง_องค์หญิง,@callsing.forgot,arshia_._bk,11900,416,1376,139
1,7,Below The Surface Sped Up - ∞,,edivaniacosta918,1800000,69900,187700,94100
1,8,original sound - 👨‍🍳 لينجويني 👨‍🍳,"%D9%84%D9%8A%D9%86%D8%AC%D9%88%D9%8A%D9%86%D9%8A_%D9%85%D8%B5%D8%B1, %D8%A7%D9%83%D8%B3%D8%A8%D9%84%D9%88%D8%B1, billieeilish, bellapoarch, usa, music, song, viral, funny",linguini,892600,6771,70900,1907
1,9,original sound - Carl movies,"fyp, film, movies",carl.movies,532000,335,33800,277
1,10,original sound - Mayback,"skit, hood",enriquehunts,164700,267,8922,262
1,11,EL PENDRIVE DEL CHORA ARROCHA RAVE - derliscristaldo.elchora,"foryou, foryoupage, fyp, viral, haipefy",777biaa77,126100,1126,20800,3111
2,0,original sound - Chantel,,wrenchingbikerchick,297600,1410,31800,1839
2,1,suara asli - fₐₐⱼ,fyp,aanahhi,2700000,7423,270000,26000
2,2,original sound - L.Neal,"teach, teacher, teacherskid, imateacherskid, teachers, teachersoftiktok, teacherlife, teachersbelike, teachertiktok, teachersontiktok, teacherproblems, teacherhumor, kid, kidsoftiktok, trend, tiktoktrend, valentine, valentinesday, vday, february",l.neal,70700,1228,8584,189
2,3,Golden Hour: Piano Version - Andy Morris,"age, old, young, sweet, cute, ometv",faizylegend,100200,1137,7056,115
2,4,Moi...Lolita - Angèle - Trinix Remix,theunibrowgirl,the.unibrowgirl,51200,3201,4841,14500
2,5,Can't Take My Eyes Off You - Original Extended Version - Boys Town Gang,"@aelfricedenofficial, aelfriceden",iwantacinnamonroll,163700,663,11100,3365
2,6,original sound - Salish & Nidal,"nidal, alwayssnalish, fyp, jordanmatter, couple, jordanmatter, nalishslovebot, ninalove, nidalwonder, salishmatter",salishnidalcute,7022,11,477,17
2,7,original sound - WAVES CHECK,"waves360, waves, fyp, hairstyle",usavip99,306500,1401,19000,847
2,8,original sound - Screedi,,screedi,130900,1273,11400,2041
2,9,original sound - iambriancoro,,iambriancoro,79000,450,8363,875
2,10,Lil Boo Thang - Paul Russell,"foodie, foodphotography, foodporn, foodblogger, birria, birriataco, quesabirria, tacos, recipe, susionlypans, mealprep, dinner, dinnerideas",susi.vidal,293200,2593,25800,5977
2,11,original sound - is it dan ☠️ ?,"ohitsdan, fyp, relatable, school",oh.itsdan,107000,823,14300,1678
2,12,original sound - Uncle Bill ASMR,"asmr, sayingyourname, sayyourname, whispering",unclebillasmr,70700,5476,9169,1994
2,13,original sound - tjccrnf,"fyp, foryou, foryoupage, fyp%E3%82%B7, viral, tiktok, pov",tjccrnf,14200,259,1274,98
2,14,original sound - 𝗮𝗺𝗮𝘆𝗮,"nadiaj, fyp",notnadiajocelyn,237200,1203,26000,527
2,15,Love You So - The King Khan & BBQ Show,"viral, couple, fyp, boyfriend",andrea.lopez44,21300,137,1599,143
2,16,som original - Guimartinsreserva,,guilhermemartins493,8079,79,1693,271
2,17,original sound - NFL💔LEE,"jaleel, jaleelsisterjada, jaleelbrotherjeremiah, jaleelbrotherjayden, fyp, fyp%E3%82%B7, foryourpage, foryoupage, foryou",nofakelove_lee,116000,3164,10700,2109
2,18,original sound - 🥸,fyp,spammingisslamming,161500,311,13700,508
