batch,index,music,hashtag,author,likes,comments,shares,saves
1,0,original sound - fr0sty_rick,"fyp%E3%82%B7, relatable, trending, aylecia, blowthisup, viral, qtips",leci.bby,280200,627,15500,164
1,1,original sound - gaby🔱,"fyp, edit, editor, aftereffects, videostar, ae, vsp, percyjackson, pjo, pjoedit, walkerscobell, walkerscobelledit",sc0be11.filmz,825800,6314,210400,8779
1,2,Never Lose Me - Flo Milli,fyp,bozz.arts,2900000,10500,149700,13300
1,3,original sound - Tianna Robillard,"cincy, cincinnati, whodey, cincinnatibengals, bengals, nfl, bengalsvssteelers2023",tiannarobillard,10100000,10700,550600,23500
1,4,original sound - eggplantsworld,"@isaacmtzzzz, foryoupage, lmao, funny, haha, jokes, foodtiktok, mukbang, foodie",eggplantsworldd,26900,1255,3851,473
1,5,original sound - ⠀ ⠀ ⠀ ⠀ ⠀ ⠀,"relateable, fyp, funny, viral",dats.buddha,3500000,19100,295300,90400
1,6,original sound - BookOfKen,"fyp, couple, relatable, relationship, pregnant, prank, prankonboyfriend, silicone",bookofkens,7691,20,769,6
1,7,original sound - Cuhvoo,"roblox, bladeball",cuhvoo,559800,2869,93300,2083
1,8,som original - Kaiky Assis,,themrrat_,4000000,46600,239800,155300
1,9,original sound - Ian & Mariah,"ianandmariah, couplesoftiktok, babybf",ianandmariah,2200000,29400,270800,37500
1,10,original sound - LOURD,"foryou, fyp, foryoupage",lourdasprec,2600000,15900,261899,52000
1,11,original sound - laughFlix,"foryou, fyp, viral, movie, tv, film, xyzbca, game, storytime, dharmann",moviemirth,225000,1701,27900,411
2,0,original sound - Debbie Valdez,"fyp, couples, couplecomedy, funny, relatable, foryou, couplegoals, relatable, boyfriend, funny, trending, love, viral, xybca, fyp%E3%82%B7",debbiekval,12500,68,1549,71
2,1,what was I made for? - Instrumental - Wheeler,poem,lala_sadii,208300,3293,29100,887
2,2,sonido original - Mauro Rossiello🪬,asmr,maurorossiello,341500,2620,27100,2934
2,3,original sound - LovelyLo,"fortnite, fortniteclips, fortnitelego",imlovelylo,72000,654,11500,352
2,4,prolly my spookiest beat (slowed + reverb) - prodby668,"cheatday, my600lblife",vince.aesthetic,39100,207,2210,98
2,5,original sound - m00bie,"fyp, cinema",m00bie,116300,148,2913,676
2,6,I Won't Wake up This Time (Freaks) - BRAMANE,skateboardingisfun,jaayfilms,32800,112,2720,37
2,7,son original - massymoussi,"@fuck.social.media.100, anesthesia, tacos, hospital, rizz, foryou, nurse",wannaft_banana,385700,4775,46500,32100
2,8,original sound - matterxwonder,"nalish, fyp, viral, edit, love, nidalwonder, saysaymatter, ship",matterxwonder8,137300,491,15100,622
2,9,original sound - AVI,"1avinaas, mandem",1avinaas,1100000,33600,96700,11000
2,10,Creepy simple horror ambient(1270589) - howlingindicator,"facts, randomfacts, learnontiktok, curiosity, satisfying, satisfyingvideos",curiousanonymous,184800,24800,18700,164600
2,11,sonido original - sirmizael,,michomonster,237500,445,13700,851
2,12,original sound - COLLADOTV,"comedy, funny, foryou, nba, basketball, fyp",colladotv,339500,823,59600,1342
2,13,original sound - KHARRII,"@jeremy244560, kharrii, trending, funny",kharrii2,108200,5057,5287,421
2,14,original sound - NinjaMarius,"verbalase, 50k",mariusberg629,48500,0,11900,1769
2,15,original sound - Mo 🩶,"basketball, skit",morganmeyer12,124500,390,8617,205
2,16,original sound - Angelo Bahu,,yoangelolo,7835,50,568,3
2,17,original sound - Amyjackson9213🍉,"momsoftiktok, mommusthaves, fyp",amyjackson9213,63600,414,5420,448
2,18,original sound - jakob greer,,greerzy,231700,1617,13200,1184
2,19,original sound - chrisbreezybrown,"foryou, fyppppppppppppppppppppppp, cornsnake, snake",user20181144218022,4912,158,627,34
2,20,original sound - gianna,,giannamjoyce,486600,2072,37900,885
2,21,Black Wedding - TX2,"emo, poser, rock, rockmusic, hardrock, emomusic, emophase, emoboy, poppunk, rocknroll, alternative, punk, tx2, skit",tx2official,31800,439,4829,111
2,22,original sound - Kristy Sarah,,kristy.sarah,6100000,17100,294600,82200
2,23,original sound - Real Life Mysteries,"realcrimestories, truecrime, crimedocumentaries, crime, realcrime, fyb, viralvideo",reallife_mysteries_,55000,319,6830,351
2,24,Show Me How - Men I Trust,idoooo,shawtybaaad,39100,227,4303,610
2,25,original sound - Farah Shams,,fdontcare,1500000,16100,143100,18800
2,26,original sound - johnniibeanasmr,"@silkygem, asmr, asmrpov, pov, asmrdentist, dentistroleplay, asmrvideo",johnniibeanasmr,305700,2835,50500,2746
2,27,original sound - Matthew Beem 🎮,"jack, jackpembrook, foryour, matthew, @jack.pembrook6",matthewbeem22,10900,30,695,16
3,0,Sauce - Naïka,@zethsapienza,chipstauk,253,16,15,2
3,1,original sound - im_kan_kan,"hotpot, allyoucaneat, azfood, arizonafood",hanneats,49700,155,2817,127
3,2,original sound - jojo🍄🌞🌊🤘,village,jo.bitch1,1900000,6379,123800,23900
3,3,original sound - Lucas and Marcus - Lucas_Marcus.officie,,_lucas.marcus_fanpage,179600,1971,31500,1751
3,4,original sound - David Ngo,rasingcanes,davdlifts,217000,1625,19200,1179
3,5,Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey,"pov, funny, skit, fyp, foryou, foryoupage, tiktok",user7431631711626,7901,27,558,25
3,6,original sound - ASTRO.G,"fyp, relatable, fyppppppppppppppppppppppp, foryoupage, parents",astro.g1,234500,1837,20700,2344
3,7,original sound - spencer_.tok,"spenceruwah, eras, wheels, doors, spencers, fyps, xyzbca, xyzbcas, uwahs, friends, schools, teachers, names, sames, virals",spencer_.tok,84300,1026,19600,769
3,8,original sound - Haley♡,"fyp%E3%82%B7, foryou, school, teachers, thebelldontdismissyouido",hayhay_597,1200000,21100,144400,19400
3,9,original sound - knitgnaw,fyp,knitgnaw,163900,1746,11500,6955
3,10,original sound - Top Talent Video,"911, 911calls, news, jailtime, crimestory, capcut, usanews, police, jail, tiktok, 999",top.talent.video,32900,3448,4577,2144
3,11,original sound - CFood_dbe,shorts,cfood_dbe,8634,81,827,172
3,12,original sound - HornetHaven,"beekeeperlife, honeybeeadventures, beebuzz, hiveexplorer, sweetnectarchronicles, beekeeperdiaries, pollinationnation, honeyharvest, wingedwonders, buzzingbeauty, natureguardians, beeinspired, goldenharvest, hivetotable, buzzingprofits, sweetsuccess, apiaryadventures, honeybusinessmind, beeconomy, liquidgoldtrade, buzzingentrepreneur, honeytreasures, honeylovers, sweettoothjoy, goldenelixirenthusiast, nectaradmirer, honeyhappiness, sweetindulgence, hiveharmony, gourmetgoldenhoney, nature, savorthehoney, tiktoktaste, viralvibes, explorethebuzz, trendingtreats, hivehighlights, sweetsuccessstories, tiktokhive, buzzworthymoments, honeyhackmagic, tiktokflavor, viralvibes, trendingnow, explorepagemagic, videovortex, buzzinghits, instantfamemoments, epicviraljourney, tiktoksensation, viralwonders, videovictory",live.match012,2100000,34400,160000,58000
3,13,orijinal ses - Alpiii,"capcut, fyp, kesfet, cocukvideolari, komik, komikvideolar, %C3%A7ocuk, uykucu, uykusuz, kesfetteyiz, %C3%B6neal, %C3%B6neat, kesfetbeni%C3%B6ne%C3%A7%C4%B1kart, kesfetttt, capcut, capcut_edit",alp_26_27,2000000,18300,249000,107100
3,14,original sound - .,"pov, fyp",tommykok,202700,13000,15500,16600
3,15,original sound - gnarlyaustin,"foryoupage, foryou, fyp%E3%82%B7, dog, funny, joke, greenscreen",gnarlyaustin,341300,6375,35600,8295
3,16,original sound - raya,"fyp, manipulation, gaslighting, gaslighting101",yerbafanatic,1100000,7171,110300,4584
3,17,original sound - Piloveofficial,"@alicezengeya4, tiktokkenya, fyp, cardibimpression, cardib, impressions",piloveofficial,29800,759,1938,30
3,18,original sound - TrendyPulse®,"rap, top10, quiz, ynwmelly, drake, adinross, fettywap, lilbaby, juicewrld, foryou, foryoupage, foryourpage, fyp, fyp%E3%82%B7%E3%82%9Aviral, viral, viralvideo, viraltiktok, trending, trend, centralcee, kaicenattv, ksi, future, nlechoppachallenge, nlechopppa, tayk, stormzy, lilpeep, polog, liltjay, fettywap, kingvon, swaelee",trendypulse_,19100,141,1768,42
